transformation	horizon	start_year	end_year	budget	D01	D02	D03	D04	D05	D06	D07	D08	D09	D10	D11	D12	D13	D14	D15	D16	D17	D18	D19	D20	D21	D22	D23	D24
T01	H01	0	80	110	15	3	10	5	2	3	2	1	9	7	0	9	9	2	5	3	2	1	7	2	0	9	4	0
T02	H01	40	160	140	16	2	4	17	13	14	12	7	4	2	0	4	2	9	1	2	1	5	9	11	0	4	1	0
T03	H01	100	260	160	19	2	3	21	5	17	17	9	3	2	0	13	11	4	2	2	5	6	10	3	0	3	3	0
T04	H01	200	380	190	25	13	18	7	5	6	4	13	4	4	0	4	3	15	12	13	7	8	4	19	0	4	2	0
T05	H02	280	480	150	13	15	15	18	4	4	3	11	2	3	0	7	1	10	4	11	1	9	4	5	0	8	2	0
T06	H02	380	620	170	16	4	4	23	3	18	17	5	4	4	0	8	10	3	5	5	10	9	13	5	0	2	2	0
T07	H02	480	760	180	16	6	6	8	14	18	4	3	11	17	0	8	9	3	5	3	9	2	3	21	0	12	2	0
T08	H02	600	900	200	20	5	5	6	4	5	6	16	13	6	0	2	10	14	6	16	10	10	15	24	0	3	4	0
T09	H03	750	1050	180	14	9	7	8	7	6	6	6	5	3	2	11	13	4	6	14	14	14	16	8	2	3	2	0
T10	H03	850	1200	200	11	7	6	28	18	22	4	22	4	11	1	9	2	3	4	4	4	5	3	19	1	11	1	0
T11	H03	1000	1350	200	16	10	7	8	5	6	5	6	6	3	1	11	12	17	20	13	13	13	17	5	1	3	2	0
T12	H03	1150	1550	220	14	9	10	11	5	6	5	6	20	13	1	4	13	16	5	14	14	3	4	23	1	13	10	0
T13	H04	1300	1650	150	7	4	4	15	14	9	5	11	11	7	1	7	3	5	2	5	5	10	4	13	5	2	1	0
T14	H04	1450	1750	165	4	4	4	16	3	11	3	4	3	1	7	9	17	15	9	5	3	8	16	4	5	9	5	0
T15	H04	1600	1950	180	19	17	7	15	17	9	3	2	3	4	4	7	3	16	10	4	4	2	4	13	6	10	1	0
T16	H04	1750	2150	205	5	5	5	4	16	11	4	13	13	8	8	2	17	4	4	21	18	10	6	15	9	4	3	0
T17	H05	1950	2250	190	3	10	4	16	15	9	2	18	3	3	6	10	12	17	5	13	4	4	4	5	22	2	3	0
T18	H05	2050	2350	210	5	4	3	19	16	10	2	4	16	13	20	4	11	4	7	3	4	6	6	16	23	11	3	0
T19	H05	2200	2500	235	4	3	3	5	18	13	2	5	4	5	23	13	13	19	6	14	6	5	5	19	27	4	17	2
T20	H05	2350	2700	265	18	13	15	5	6	3	4	8	7	4	6	3	14	20	27	15	21	5	5	5	28	13	17	3
T21	H06	2500	2750	265	9	13	14	4	16	5	2	14	6	5	5	4	7	23	15	17	16	2	3	3	41	7	6	28
T22	H06	2600	2850	305	2	4	4	18	19	16	2	5	5	6	26	20	21	6	4	6	4	11	3	15	43	7	29	29
T23	H06	2700	2950	340	7	13	5	18	16	15	2	14	19	23	22	4	4	24	15	17	4	2	3	12	39	8	28	26
T24	H06	2850	3000	390	2	5	17	5	19	4	4	17	5	6	27	7	23	27	21	20	21	10	16	15	47	8	32	32
TOTAL				5000	280	180	180	300	260	240	120	220	180	160	160	180	240	280	200	240	200	160	180	280	300	160	180	120
