id	name	source_domain	primary_field	current_horizon	legacy_ordering_day	relative_chance	requires_all	requires_any	learning_route_count	learning_route_foundations	reference_transformation	role	review_status	presentation_tier	stack_gaps	chronology_risk	review_note
abrasive_belt_finishing	Abrasive Belt Finishing		D06	H04	0	0.002			1	"[{""id"":""local"",""requires_all"":[""abrasive_grinding_control"",""belt_power_transmission""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
abrasive_grinding_control	Abrasive-Grinding Control		D06		0	0.002			1	"[{""id"":""local"",""requires_all"":[""comparative_mineral_hardness"",""precision_machinery""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
abrasive_waterjet_cutting	Abrasive Waterjet Cutting		D06	H05	0	0.002			1	"[{""id"":""local"",""requires_all"":[""pressure_vessels"",""numerical_machine_control""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
acorn_leaching	Acorn Leaching		D01	H01	0	0.002			1	"[{""id"":""local"",""requires_all"":[""edible_resource_recognition"",""food_pounding_mortars""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
acoustic_diaphragms	Acoustic Diaphragms		D13		0	0.002			1	"[{""id"":""local"",""requires_all"":[""elastic_deformation"",""sheet_steel_rolling""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
additive_step_polymerization	Additive Step Polymerization		D04		0	0.002			1	"[{""id"":""local"",""requires_all"":[""polymer_monomer_purification""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
adhesive_bond_design	Adhesive-Bond Design		D04		0	0.002		"[[""joinery"",""elastic_deformation""]]"	1	"[{""id"":""local"",""requires_all"":[""experimental_controls""],""requires_any"":[[""joinery"",""elastic_deformation""]],""progress_multiplier"":1.0}]"			unreviewed				pending
adobe_wall_construction	Adobe-Wall Construction		D08		0	0.002		"[[""framed_construction"",""structural_load_testing""]]"	1	"[{""id"":""local"",""requires_all"":[""clay_testing""],""requires_any"":[[""framed_construction"",""structural_load_testing""]],""progress_multiplier"":1.0}]"			unreviewed				pending
advanced_airframes	Advanced Airframes	production	D11		88000	0.001			2	"[{""id"":""local"",""requires_all"":[""powered_flight"",""wind_tunnel_testing"",""structural_load_testing""],""requires_any"":[],""progress_multiplier"":1.0},{""id"":""mechanical:local"",""requires_all"":[""powered_flight"",""wind_tunnel_testing"",""structural_load_testing"",""cyclic_fatigue"",""elastic_deformation""],""requires_any"":[],""progress_multiplier"":1.15}]"			unreviewed				pending
aerial_bombardment	Aerial Bombardment	security	D20		87000	0.001			1	"[{""id"":""local"",""requires_all"":[""powered_flight"",""powder_artillery""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
aerial_matching	Aerial Matching		D13		0	0.002		"[[""electromagnetic_wave_theory"",""experimental_controls""]]"	2	"[{""id"":""local_theory"",""requires_all"":[""electromagnetic_wave_theory"",""resonant_tuned_circuits"",""cable_insulation""],""requires_any"":[[""electromagnetic_wave_theory"",""experimental_controls""]],""progress_multiplier"":1.0},{""id"":""local_trials"",""requires_all"":[""experimental_controls"",""resonant_tuned_circuits"",""cable_insulation""],""requires_any"":[[""electromagnetic_wave_theory"",""experimental_controls""]],""progress_multiplier"":1.0}]"			unreviewed				pending
aerodynamics	Aerodynamics	knowledge	D11		68000	0.002			4	"[{""id"":""local"",""requires_all"":[""structural_load_testing"",""experimental_controls""],""requires_any"":[],""progress_multiplier"":1.0},{""id"":""mathematical:local"",""requires_all"":[""differential_equations"",""vector_analysis"",""structural_load_testing"",""experimental_controls""],""requires_any"":[],""progress_multiplier"":1.2},{""id"":""mechanical:local"",""requires_all"":[""viscous_resistance"",""momentum_balance"",""structural_load_testing"",""experimental_controls""],""requires_any"":[],""progress_multiplier"":1.15},{""id"":""mechanical:mathematical:local"",""requires_all"":[""differential_equations"",""vector_analysis"",""viscous_resistance"",""momentum_balance"",""structural_load_testing"",""experimental_controls""],""requires_any"":[],""progress_multiplier"":1.38}]"			unreviewed				pending
aerostat_observation	Aerostat Observation	security	D20		83000	0.001			1	"[{""id"":""local"",""requires_all"":[""woven_carriers"",""regional_maps""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
aggregate_road_foundations	Aggregate Road Foundations		D09		0	0.002			1	"[{""id"":""local"",""requires_all"":[""graded_roads"",""structural_load_testing""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
agreed_signal_codes	Agreed Signal Codes		D13		0	0.002			1	"[{""id"":""local"",""requires_all"":[""oral_epics"",""tallies""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
airborne_operations	Airborne Operations	security	D20		91000	0.001			1	"[{""id"":""local"",""requires_all"":[""advanced_airframes"",""professional_corps""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
alumina_refining	Alumina Refining		D04		0	0.002			1	"[{""id"":""local"",""requires_all"":[""ore_assaying"",""metallurgical_mass_balances""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
