field	id	name	foundations	alternative_foundations	mechanism	operating_requirement	consequence
D05	waterwheel_head_surveys	Waterwheel Head Surveys	flow_continuity,hydrostatic_pressure	[]	Compare available head and discharge before selecting a wheel site	Survey workers and seasonal flow observations	Reject sites unable to support the intended shaft load
D05	overshot_waterwheels	Overshot Waterwheels	waterwheel_head_surveys,joinery	[]	Water admitted above the axle transfers gravitational energy through bucket loading	Head race, wheel, maintained buckets and seasonal water	Deliver local shaft work while sufficient flow exists
D05	undershot_waterwheels	Undershot Waterwheels	waterwheel_head_surveys,joinery	[]	Moving stream water pushes submerged blades	Anchored wheel and an adequate current	Use low-head rivers with lower conversion efficiency
D05	breastshot_waterwheels	Breastshot Waterwheels	waterwheel_head_surveys,bearing_surfaces	[]	Water enters near axle height and acts through a confined curved passage	Masonry breast, wheel and controlled inlet	Exploit moderate heads with measured leakage losses
D05	waterwheel_gate_control	Waterwheel Gate Control	feedback_governors	"[[""overshot_waterwheels"", ""undershot_waterwheels"", ""breastshot_waterwheels""]]"	Vary inlet flow to match changing shaft demand	Gate, linkage and assigned operator	Avoid excessive wheel speed and unnecessary water use
D05	millpond_storage	Millpond Storage	waterwheel_head_surveys,drainage	[]	Store inflow behind a controlled outlet to separate supply timing from demand	Embankment, spillway and finite reservoir	Run a mill temporarily when current inflow is insufficient
D05	impulse_turbines	Impulse Turbines	flow_continuity,precision_machinery	[]	A high-speed water jet changes momentum against shaped buckets	Pressure pipe, nozzle, rotor and head	Produce shaft work from high-head water
D05	reaction_turbines	Reaction Turbines	flow_continuity,viscous_resistance	[]	Pressure and velocity changes through submerged passages exert torque	Pressure casing, runner and controlled outlet	Convert medium-head water into rotating work
D05	adjustable_blade_turbines	Adjustable-Blade Turbines	reaction_turbines,feedback_governors	[]	Change runner pitch with flow to maintain useful operating conditions	Movable blade hubs and governors	Broaden efficient operation across variable discharge
D05	turbine_cavitation_control	Turbine Cavitation Control	reaction_turbines,hydrostatic_pressure	[]	Keep local pressure above damaging vapor-cavity conditions	Pressure observations, suitable setting and maintenance	Reduce erosion at the cost of restricted operating range
D05	hydroelectric_generation	Hydroelectric Generation	electrical_generators	"[[""impulse_turbines"", ""reaction_turbines"", ""overshot_waterwheels""]]"	Couple hydraulic shaft power to a generator	Water rights, turbine, generator and staffed switchgear	Provide electricity limited by flow and head
D05	pumped_hydro_storage	Pumped Hydro Storage	hydroelectric_generation,electric_motors	[]	Spend electricity lifting water and recover part during descent	Two reservoirs, reversible machinery and finite water	Shift electrical supply across time with energy losses
D05	windmill_sail_control	Windmill Sail Control	woven_carriers,rotational_dynamics	[]	Adjust exposed sail area to changing wind force	Sails, rigging and a miller	Regulate wind-driven machinery without constant output
D05	windmill_yaw_control	Windmill Yaw Control	bearing_surfaces	"[[""windmill_sail_control"", ""airfoil_wind_rotors""]]"	Turn the rotor plane toward the wind	Rotating cap or yaw bearing and control linkage	Reduce misalignment losses
D05	airfoil_wind_rotors	Airfoil Wind Rotors	aerodynamics,wind_tunnel_testing	[]	Shaped blades generate torque mainly through aerodynamic lift	Manufactured blades, tower and bearings	Convert a bounded wind-speed range to shaft work
D05	wind_turbine_pitch_control	Wind Turbine Pitch Control	airfoil_wind_rotors,feedback_governors	[]	Change blade pitch to limit torque and regulate power	Actuators, sensors and fail-safe controls	Curtail generation in damaging winds
