field	id	name	foundations	alternative_foundations	mechanism	operating_requirement	consequence
D21	resistive_bridge_measurement	Resistive Bridge Measurement	electrical_measurement	[]	Infer an unknown or changing resistance from a qualified balanced circuit comparison	Actual stable reference elements, source and sensitive detector	Measure selected resistance changes with reference and temperature limits
D21	differential_amplifier_circuits	Differential Amplifier Circuits	electrical_measurement	"[[""triode_valves"", ""transistor_amplifiers""]]"	Amplify a difference between input signals while bounding response to their shared component	Matched qualified active devices, power and component tolerances	Extract a differential signal within common-mode and noise limits
D21	negative_feedback_amplifiers	Negative-Feedback Amplifiers		"[[""feedback_stability_analysis"", ""electrical_measurement""], [""triode_valves"", ""transistor_amplifiers""]]"	Return a qualified fraction of amplifier output to reduce error against the input	Actual active gain, feedback network and stability margins	Trade available gain for controlled response without eliminating noise or instability
D21	operational_amplifier_blocks	Operational Amplifier Blocks	differential_amplifier_circuits,negative_feedback_amplifiers	[]	Provide a high-gain differential block usable in several qualified feedback configurations	Actual active circuitry, supply rails and characterized operating limits	Support reusable analog functions without an ideal infinite-gain assumption
D21	instrumentation_amplifier_circuits	Instrumentation Amplifier Circuits	differential_amplifier_circuits	"[[""operational_amplifier_blocks"", ""transistor_amplifiers""]]"	Combine differential gain and high input impedance for a qualified measurement interface	Matched gain elements, reference and supply control and calibrated input limits	Read weak differential sources while retaining drift and common-mode errors
D21	active_filter_circuits	Active Filter Circuits	operational_amplifier_blocks,harmonic_analysis	[]	Shape frequency response with active gain and reactive circuit elements	Qualified components, power and a stable topology	Select a useful signal band with finite attenuation and distortion
D21	sample_hold_circuits	Sample-and-Hold Circuits	signal_sampling	"[[""foil_capacitors"", ""dielectric_layer_control""]]"	Capture an analog signal state and retain it for a bounded processing interval	Qualified switch, storage element, timing and buffered readout	Hold a finite-accuracy sample while retaining acquisition and droop errors
D21	analog_digital_conversion	Analog-to-Digital Conversion	signal_sampling	"[[""binary_counters"", ""arithmetic_logic_units""]]"	Quantize a qualified analog input into a finite digital representation	Actual conversion circuit, reference, timing and input conditioning	Produce bounded numerical measurements with noise and quantization limits
D21	digital_analog_conversion	Digital-to-Analog Conversion	binary_counters	[]	Generate a qualified analog output corresponding to an encoded value	Actual converter, reference, output stage and settling time	Drive an analog interface with finite resolution and reconstruction errors
D21	phase_locked_loop_control	Phase-Locked Loop Control	frequency_stabilization,feedback_stability_analysis	[]	Adjust a controlled oscillator from a qualified phase-error comparison	Actual oscillator, detector and stable loop components	Track a reference over a finite acquisition and lock range
