id	line	design_year	effect	before	after
labor_rotations	labor	1	cohesion	0.03	0.016
labor_rotations	labor	1	fatigue	-0.06	-0.0151
labor_rotations	labor	1	injury_risk	-0.03	-0.0106
labor_rotations	labor	1	labor_efficiency	0.08	0.0396
raw_material_prestaging	production	1	craft_output	0.02	0.0086
raw_material_prestaging	production	1	labor_efficiency	0.007	0.0035
shared_hearth_gatherings	culture	1	cohesion	0.002	0.0011
shared_hearth_gatherings	culture	1	fatigue	-0.01	-0.0025
carried_load_balancing	logistics	2	fatigue	-0.02	-0.005
carried_load_balancing	logistics	2	haul_capacity	0.0095	0.0036
common_ground_marking	infrastructure	2	construction_rate	0.01	0.0029
common_ground_marking	infrastructure	2	task_coordination	0.0061	0.003
communal_work_songs	culture	2	cohesion	0.0026	0.0014
communal_work_songs	culture	2	fatigue	-0.01	-0.0025
communal_work_songs	culture	2	task_coordination	0.0024	0.0012
edible_resource_recognition	nutrition	2	foraging_yield	0.05	0.0457
edible_resource_recognition	nutrition	2	nutrition_quality	0.01	0.0055
household_task_division	labor	2	fatigue	-0.0042	-0.0011
household_task_division	labor	2	injury_risk	-0.005	-0.0018
household_task_division	labor	2	labor_efficiency	0.0026	0.0013
household_task_division	labor	2	task_coordination	0.0075	0.0037
lactational_spacing_awareness	demography	2	maternal_safety	0.02	0.0062
lactational_spacing_awareness	demography	2	neonatal_survival	0.015	0.0052
route_memory	knowledge	2	knowledge_preservation	0.013	0.0085
route_memory	knowledge	2	route_speed	0.09	0.0464
route_memory	knowledge	2	survey_speed	0.04	0.02
route_memory	knowledge	2	travel_speed	0.05	0.025
seasonal_duty_rosters	institutions	2	cohesion	0.002	0.0011
seasonal_duty_rosters	institutions	2	task_coordination	0.002	0.001
seasonal_patterns	ecology	2	foraging_yield	0.08	0.0732
seasonal_patterns	ecology	2	observation_rate	0.04	0.0208
stone_sorting	production	2	survey_speed	0.03	0.015
stone_sorting	production	2	tool_quality	0.04	0.013
watch_rotation	security	2	fatigue	-0.02	-0.005
watch_rotation	security	2	security_efficiency	0.0529	0.0452
watch_rotation	security	2	warfare_readiness	0.0162	0.0125
wound_cleaning	health	2	health_protection	0.05	0.0121
wound_cleaning	health	2	injury_risk	-0.09	-0.0319
wound_cleaning	health	2	maternal_safety	0.02	0.0062
alarm_relay_signals	security	3	security_efficiency	0.0096	0.0082
alarm_relay_signals	security	3	task_coordination	0.0046	0.0023
dawn_task_briefings	labor	3	cohesion	0.0039	0.0021
dawn_task_briefings	labor	3	task_coordination	0.0091	0.0045
edge_testing_by_feel	production	3	injury_risk	-0.0094	-0.0033
edge_testing_by_feel	production	3	tool_quality	0.02	0.0065
hazard_landmark_memory	infrastructure	3	disaster_risk	-0.0149	-0.0126
hazard_landmark_memory	infrastructure	3	knowledge_preservation	0.0068	0.0045
labor_position_customs	demography	3	maternal_safety	0.03	0.0093
labor_position_customs	demography	3	neonatal_survival	0.015	0.0052
landmark_route_naming	logistics	3	knowledge_preservation	0.0051	0.0033
landmark_route_naming	logistics	3	route_speed	0.0108	0.0056
named_descent_lines	demography	3	cohesion	0.012	0.0064
named_descent_lines	demography	3	knowledge_preservation	0.004	0.0026
