field	id	name	foundations	alternative_foundations	mechanism	operating_requirement	consequence
D06	bow_drill_drive	Bow-Drill Drive	cordage,hafted_tools	[]	Convert reciprocating hand motion into controlled tool rotation	Suitable spindle, bow, bearing support and practiced operator	Drill selected materials with finite effort and tool wear
D06	treadle_lathe_drive	Treadle-Lathe Drive	bearing_surfaces,crank_linkages	[]	Supply controlled rotary work from a foot-operated mechanism	Qualified frame, drive, workholding and operator	Free the hands for suitable turning tasks while human power remains limiting
D06	water_powered_hammers	Water-Powered Hammers	water_mills,crank_linkages	[]	Drive repeated forging or processing blows from available water power	Actual water drive, qualified mechanism and skilled crew	Increase supported processing work with flow and maintenance dependence
D06	mechanical_screw_presses	Mechanical Screw Presses	gear_ratios,joinery	[]	Apply controlled force through a qualified screw mechanism	Suitable screw, frame, tooling and operator	Compress or form supported workpieces within structural limits
D06	cam_motion_design	Cam-Motion Design	measured_kinematics,crank_linkages	[]	Shape a rotating or sliding profile to generate declared follower motion	Qualified profiles, contact surfaces and load trials	Coordinate repeatable mechanical motion with wear and speed limits
D06	mechanical_clutches	Mechanical Clutches	friction_measurement,bearing_surfaces	[]	Connect or release transmitted mechanical power through a qualified interface	Compatible drive, clutch, controls and maintenance	Manage machine engagement while heat and wear limit duty
D06	ratchet_motion_control	Ratchet-Motion Control	gear_ratios,hardened_edges	[]	Permit indexed motion in a declared direction through a qualified locking arrangement	Suitable mechanism, load evidence and inspection	Retain or advance selected positions while shock and wear can defeat engagement
D06	belt_power_transmission	Belt-Power Transmission	fiber_grading,bearing_surfaces	[]	Transfer shaft work through a tensioned flexible drive	Suitable belt, pulleys, alignment and maintenance	Distribute available power with slip, tension and wear losses
D06	chain_power_transmission	Chain-Power Transmission	forge_welding,gear_ratios	[]	Transfer rotary work through a qualified linked chain and matching wheels	Compatible components, lubrication and guarded operation	Provide positive drive while wear and alignment constrain service
D06	shaft_alignment_methods	Shaft-Alignment Methods	dimensional_metrology,bearing_surfaces	[]	Measure and adjust connected shaft geometry against operating requirements	References, instruments and accessible machinery	Reduce avoidable loads without eliminating thermal movement or wear
D06	rolling_element_bearings	Rolling-Element Bearings	dimensional_metrology,hardened_edges	[]	Support relative motion through qualified rolling contacts	Accurate components, lubrication, seals and inspection	Reduce selected friction while load, speed and contamination limit life
D06	fluid_film_bearings	Fluid-Film Bearings	viscous_resistance,lubrication_regimes	[]	Support moving surfaces through a maintained fluid film	Qualified geometry, lubricant supply and suitable operating conditions	Carry supported loads while loss of film can cause rapid damage
D06	mechanical_seal_design	Mechanical-Seal Design	packed_piston_seals,friction_measurement	[]	Limit leakage across a moving interface with a qualified seal arrangement	Compatible surfaces, materials and maintenance	Retain process fluids within assessed leakage and wear limits
D06	gear_tooth_generation	Gear-Tooth Generation	gear_ratios,dimensional_metrology	[]	Produce matching tooth profiles through controlled cutting or forming	Qualified tooling, workholding and inspection	Manufacture usable gear pairs with load and accuracy limits
D06	gear_hobbing	Gear Hobbing	gear_tooth_generation,milling_cutter_relief	[]	Generate compatible gear teeth through synchronized tool and work motion	Qualified hob, machine, setup and inspection	Produce selected gears efficiently while geometry and machine limits remain
D06	abrasive_grinding_control	Abrasive-Grinding Control	comparative_mineral_hardness,precision_machinery	[]	Remove material through a qualified abrasive process while controlling heat and geometry	Suitable abrasive, machine, cooling and inspection	Finish selected parts with surface-damage and wear constraints
D06	cutting_fluid_management	Cutting-Fluid Management	calorimetry,lubrication_regimes	[]	Maintain a qualified fluid supply for a machining duty	Compatible fluid, delivery, filtration and maintenance	Control some heat and wear while contamination and disposal remain costs
D06	machine_tool_stiffness_assessment	Machine-Tool Stiffness Assessment	stress_strain_relations,dimensional_metrology	[]	Measure machine deformation under representative working loads	Qualified tests, instruments and workholding	Predict some dimensional error under load rather than relying on unloaded accuracy
D06	interchangeable_component_fits	Interchangeable Component Fits	dimensional_metrology,workshop_standards	[]	Specify and verify compatible dimensional ranges across separately made components	Gauges, controlled production and inspection	Permit qualified replacement without assuming every nominally similar part fits
