field	id	name	foundations	alternative_foundations	mechanism	operating_requirement	consequence
D16	witnessed_obligations	Witnessed Obligations	customary_law	[]	Third parties attest that an obligation was accepted	Recognized witnesses and a way to recall terms	Disputes can compare testimony instead of relying solely on the parties
D16	precedent_collections	Precedent Collections	customary_law,formal_archives	[]	Preserve earlier judgments for comparison with later disputes	Maintained records and trained interpreters	Similar cases can be compared while precedent remains contestable
D16	public_rule_proclamation	Public Rule Proclamation	customary_law	"[[""oral_epics"", ""phonetic_notation""]]"	Repeat rules in accessible public settings with agreed wording	Messengers, public occasions and trusted speakers	Improve awareness without assuming consent or literacy
D16	written_legal_codes	Written Legal Codes	phonetic_notation,formal_archives	[]	Consolidate stated rules into a maintained written text	Scribes, archives and a recognized revision process	Permit reference to recorded rules rather than fluctuating recollection
D16	jurisdiction_boundaries	Jurisdiction Boundaries	regional_maps,customary_law	[]	Specify which authority handles a dispute by place, party or subject	Boundary records and recognized allocation of authority	Reduce competing claims to hear the same matter
D16	court_case_dockets	Court Case Dockets	specialized_courts,formal_archives	[]	Track filings, hearings, decisions and unresolved matters	Clerks and maintained case records	Expose pending work and missed procedural steps
D16	evidentiary_hearings	Evidentiary Hearings	specialized_courts,witnessed_obligations	[]	Provide a defined occasion to present and contest evidence	Adjudicators, parties and rules for examining evidence	Resolve factual disagreement through a repeatable procedure
D16	conflict_of_interest_recusal	Conflict-of-Interest Recusal	specialized_courts,witnessed_obligations	[]	Identify interests that compromise an official decision and substitute a decision-maker	Disclosure, review and available substitutes	Reduce specified conflicts without guaranteeing impartial outcomes
D16	written_judgment_reasons	Written Judgment Reasons	court_case_dockets,phonetic_notation	[]	Record the factual and normative grounds for a decision	Adjudicator time and durable records	Make decisions inspectable and comparable
D16	appellate_review	Appellate Review	written_judgment_reasons,jurisdiction_boundaries	[]	A separate forum examines specified errors in an earlier decision	Review authority, records and allocated hearing capacity	Correct qualifying errors while adding delay and cost
D16	arbitration_procedures	Arbitration Procedures	witnessed_obligations,customary_law	[]	Parties accept a specified third-party process for resolving a dispute	Agreed terms, available arbitrators and enforcement arrangements	Offer a negotiated forum without displacing every public court
D16	mediation_practice	Mediation Practice	witnessed_obligations	[]	An intermediary helps parties identify and negotiate compatible terms	Trained intermediaries and voluntary participation	Resolve some disputes without an imposed decision
D16	legal_aid_organization	Legal Aid Organization	specialized_courts	"[[""public_levies"", ""cooperative_purchasing""]]"	Pool resources to provide procedural assistance to otherwise excluded parties	Funded advocates and eligibility rules	Expand practical access while consuming skilled labor
D16	procedural_notice	Procedural Notice	public_rule_proclamation,court_case_dockets	[]	Give affected parties a defined opportunity to learn and respond before a proceeding	Reliable delivery, records and reasonable response time	Reduce decisions made without an opportunity to participate
D16	administrative_appeals	Administrative Appeals	procedural_notice	"[[""written_judgment_reasons"", ""precedent_collections""]]"	Review an administrative action through an identified challenge process	Review officers, evidence access and enforceable remedies	Allow correction of specified official errors
D16	water_allocation_compacts	Water Allocation Compacts	irrigation_schedules,witnessed_obligations	[]	Specify shares, priorities and shortage procedures among water users	Flow measurement, representatives and enforcement	Coordinate competing use of a finite shared flow
D16	common_land_boundaries	Common-Land Boundaries	geometric_survey,customary_law	[]	Identify shared land and the community entitled to use it	Survey, local testimony and recognized membership rules	Distinguish common access from unbounded open access
D16	resource_use_permits	Resource-Use Permits	common_land_boundaries,material_accounting	[]	Authorize bounded extraction or use under recorded conditions	Monitoring, registries and enforceable conditions	Allocate use while tracking compliance and exclusions
D16	municipal_service_charters	Municipal Service Charters	urban_street_plans	"[[""professional_service"", ""household_councils""]]"	Assign responsibility and resources for specific urban services	Defined mandates, staff and revenue	Make service provision accountable to identifiable offices
D16	intergovernmental_compacts	Intergovernmental Compacts	jurisdiction_boundaries,witnessed_obligations	[]	Several authorities agree responsibilities and dispute procedures for a shared task	Authorized representatives and durable agreements	Coordinate across jurisdictions without merging their governments
D16	public_budget_accounts	Public Budget Accounts	public_levies,material_accounting	[]	Record authorized receipts, commitments and expenditure over a defined period	Accountants, revenue records and spending controls	Compare promises with available resources and actual spending
D16	appropriation_procedures	Appropriation Procedures	public_budget_accounts,household_councils	[]	Separate authorization to spend from possession of public resources	Decision rules, budget records and responsible officials	Constrain spending to approved purposes when enforced
D16	treasury_cash_forecasts	Treasury Cash Forecasts	public_budget_accounts,statistical_sampling	[]	Estimate when receipts and obligations will actually settle	Reliable schedules, balances and forecasting staff	Expose timing shortfalls despite a nominally balanced budget
D16	public_asset_registers	Public Asset Registers	property_registers,material_accounting	[]	Track publicly controlled assets, custody and condition	Inspections, identification and reconciled records	Distinguish ownership on paper from usable public capacity
D16	procurement_specifications	Procurement Specifications	workshop_standards,public_budget_accounts	[]	State measurable requirements for a public purchase before choosing a supplier	Technical staff and funded purchasing authority	Compare offers against a defined need
