field	id	name	foundations	alternative_foundations	mechanism	operating_requirement	consequence
D01	edible_resource_recognition	Edible Resource Recognition		[]	Distinguish locally known food resources through transmitted observations and verified identification	Competent local knowledge, actual accessible resources and careful handling	Expand recognized food opportunities without treating unknown organisms as safe
D01	wild_food_harvest_rotation	Wild Food Harvest Rotation	edible_resource_recognition	[]	Rotate gathering effort according to observed renewal and depletion of local food patches	Accessible patches, repeated observation and coordinated gatherers	Reduce some local overharvest while finite seasonal yields remain
D01	digging_stick_harvesting	Digging Stick Harvesting	hafted_tools,edible_resource_recognition	[]	Use a shaped tool to recover selected underground foods with controlled soil disturbance	Suitable tools, recognized food plants and human effort	Access specific resources while breakage and regrowth constrain repeated harvest
D01	food_pounding_mortars	Food Pounding Mortars		"[[""stone_sorting"", ""hafted_tools""]]"	Break or separate suitable food material through controlled impact in a fitted receptacle	Compatible pounding tools, actual food and labor	Prepare selected foods with finite work and tool wear
D01	hearth_roasting_control	Hearth Roasting Control		[]	Manage distance and exposure of suitable food to a controlled hearth	Fuel, maintained hearth, suitable food and attentive cooks	Prepare evaluated roasted foods while fuel and uneven heat limit output
D01	earth_oven_cooking	Earth Oven Cooking	hearth_roasting_control	[]	Retain and transfer heat through an enclosed heated-earth or stone cooking arrangement	Suitable site and materials, fuel, food and practiced operators	Cook suitable batches with retained heat and finite preparation time
D01	food_steaming_vessels	Food Steaming Vessels	hearth_roasting_control	"[[""clay_shaping"", ""basketry""]]"	Transfer heat to food through a qualified steam-producing vessel arrangement	Compatible vessels, clean water, fuel and careful operation	Prepare selected foods without assuming one heating method suits all products
D01	cereal_dehulling	Cereal Dehulling	grain_milling	[]	Separate protective grain coverings while limiting loss of edible material	Suitable grain, mechanical tools and practiced separation	Recover an edible fraction while accounting for hulls and broken grain
D01	starch_washing_separation	Starch Washing Separation	food_pounding_mortars,clean_water	[]	Separate suitable starch-rich fractions by controlled washing and settling	Recognized feedstock, suitable water, vessels and labor	Produce evaluated starch ingredients with water use and residue losses
D01	alkaline_grain_processing	Alkaline Grain Processing	grain_milling,lime_burning	[]	Apply an established food-compatible alkaline process to suitable grain with controlled washing	Qualified food-grade inputs, suitable vessels, water and trained preparation	Change selected grain processing and nutritional properties within validated product limits
