field	id	name	foundations	alternative_foundations	mechanism	operating_requirement	consequence
D14	ophthalmoscopic_examination	Ophthalmoscopic Examination	optical_lenses	"[[""clinical_observation_rounds"", ""structured_clinical_history""]]"	Use aligned illumination and viewing optics to examine qualified internal eye structures	Suitable instrument, trained examiner and interpretable examination conditions	Add observed ocular findings without guaranteeing a diagnosis
D14	ocular_tonometry	Ocular Tonometry	clinical_observation_rounds	"[[""hydrostatic_pressure"", ""optical_lenses""]]"	Estimate intraocular pressure from a calibrated mechanical or optical response	Qualified instrument, calibration and clinically appropriate examination	Measure a bounded pressure estimate while retaining method and tissue effects
D14	visual_field_perimetry	Visual-Field Perimetry	clinical_visual_acuity_testing	[]	Map response to controlled visual stimuli across the field of vision	Qualified stimulus presentation, response recording and interpretation	Measure spatial visual function beyond central acuity
D14	optical_coherence_tomography	Optical Coherence Tomography	optical_interferometry	[]	Reconstruct depth-resolved tissue reflectivity using qualified low-coherence optical measurements	Compatible source and detector, scanning optics and clinical interpretation	Image selected superficial structures within penetration and artifact limits
D14	electromyographic_recording	Electromyographic Recording	electrical_measurement,neurological_function_examination	[]	Record qualified electrical activity associated with muscle function and distinguish artifacts	Suitable electrodes, amplifiers, trained clinicians and clinical context	Add neuromuscular evidence without treating every waveform as disease
D14	nerve_conduction_testing	Nerve-Conduction Testing	electromyographic_recording	[]	Compare evoked nerve responses across known recording geometry and timing	Qualified stimulation and recording equipment, trained staff and interpretation	Estimate selected peripheral nerve conduction properties
D14	vestibular_response_testing	Vestibular Response Testing	neurological_function_examination	[]	Measure qualified eye or balance responses to assess selected vestibular functions	Appropriate instruments, patient assessment and trained interpretation	Distinguish some balance-system findings without a universal vertigo diagnosis
D14	clinical_coagulation_assays	Clinical Coagulation Assays	clinical_laboratory_quality	[]	Measure defined clotting responses against calibrated assay conditions	Correctly handled specimens, qualified reagents and instruments	Provide test-specific coagulation evidence without measuring every bleeding risk
D14	therapeutic_drug_monitoring	Therapeutic Drug Monitoring	pharmacokinetic_analysis,clinical_laboratory_quality	[]	Interpret measured medicine exposure alongside timing, indication and patient condition	Validated concentration assay, accurate sampling history and clinical review	Support qualified treatment adjustment without assuming concentration alone predicts benefit
D14	histocompatibility_typing	Histocompatibility Typing	immune_response_models,clinical_laboratory_quality	"[[""clinical_immunoassays"", ""molecular_diagnostics""]]"	Characterize clinically relevant donor-recipient immune compatibility beyond ordinary blood grouping	Validated typing evidence, identified samples and qualified interpretation	Inform matching while retaining rejection and other transplant risks
D14	radiopharmaceutical_tracing	Radiopharmaceutical Tracing	radiation_measurement,pharmacokinetic_analysis	[]	Follow the measured distribution of a qualified radiolabeled agent under an evaluated clinical indication	Actual qualified tracer, time-sensitive handling, detectors and clinical oversight	Observe selected physiological distribution with exposure and interpretation limits
D14	single_photon_emission_tomography	Single-Photon Emission Tomography	radiopharmaceutical_tracing	"[[""computed_tomography"", ""numerical_integration""]]"	Reconstruct tracer distribution from detected single-photon emission projections	Qualified emission camera, reconstruction and actual tracer supply	Form a bounded functional image while retaining resolution and attenuation errors
D14	positron_emission_tomography	Positron Emission Tomography	radiopharmaceutical_tracing	"[[""computed_tomography"", ""numerical_integration""]]"	Reconstruct tracer distribution from qualified coincidence detection of annihilation photons	Suitable tracer, coincidence detectors, reconstruction and calibrated timing	Form a functional image without equating uptake with a unique diagnosis
D14	ultrasound_elastography	Ultrasound Elastography	ultrasound_imaging	"[[""structural_load_testing"", ""mechanical_work_energy""]]"	Infer selected mechanical tissue properties from measured deformation or wave response	Qualified excitation and imaging, calibration and clinical interpretation	Add stiffness-related evidence with method- and tissue-specific limits
D14	photoacoustic_clinical_imaging	Photoacoustic Clinical Imaging	ultrasound_imaging,laser_light_generation	[]	Detect qualified acoustic responses to absorbed optical energy to infer tissue features	Compatible optical source, acoustic detection, exposure control and validation	Combine absorption contrast with bounded depth and resolution
D14	fluoroscopic_motion_imaging	Fluoroscopic Motion Imaging	radiographic_imaging	[]	Acquire and interpret sequential radiation images for a qualified dynamic clinical task	Suitable imaging system, exposure management and trained staff	Observe motion or instrument position while retaining radiation and projection limits
D14	digital_subtraction_angiography	Digital Subtraction Angiography	fluoroscopic_motion_imaging,clinical_image_registration	[]	Compare aligned contrast and reference images to emphasize selected vascular structures	Qualified contrast agent, imaging, alignment and clinical monitoring	Improve specified vessel visualization while retaining motion and contrast-related risks
D14	radiology_diagnostic_display_calibration	Radiology Diagnostic Display Calibration	radiographic_imaging,measurement_uncertainty	[]	Qualify display luminance, contrast and viewing conditions for diagnostic interpretation	Calibrated display, reference measurements and controlled viewing environment	Preserve interpretable image presentation without improving the acquired signal
D14	laparoscopic_access_systems	Laparoscopic Access Systems	clinical_endoscopy,aseptic_operating_practice	[]	Provide qualified viewing and instrument access through limited surgical entry points	Actual access instruments, trained surgical team and anesthesia support	Enable selected minimally invasive procedures without granting every surgical technique
D14	robot_assisted_surgical_manipulation	Robot-Assisted Surgical Manipulation	remote_manipulation	"[[""image_guided_intervention_planning"", ""clinical_endoscopy""]]"	Map authorized surgeon motion into constrained instrument movement with evaluated feedback and failure handling	Qualified robot, trained surgical team, maintenance and fallback capability	Support specified assisted procedures without autonomous clinical authority
