field	id	name	foundations	alternative_foundations	mechanism	operating_requirement	consequence
D20	spear_socket_fitting	Spear Socket Fitting	hafted_weapons,copper_casting	[]	Qualify a socketed head-to-shaft connection for a specified spear assembly	Compatible heads and shafts, craft labor and inspection	Produce maintainable spear equipment with actual material and breakage limits
D20	arrow_flight_consistency	Arrow Flight Consistency	bow_craft,standard_measures	[]	Match qualified projectile geometry and mass to a compatible bow service	Suitable shafts, components, skilled craft and evaluated equipment	Reduce equipment variation without granting training or guaranteed accuracy
D20	bowstring_service_life	Bowstring Service Life	bow_craft,fiber_grading	[]	Track and qualify string condition under repeated bow use and local environment	Suitable fibers, replacement stocks and practiced inspection	Maintain usable bows with finite string wear and repair time
D20	crossbow_spanning_mechanisms	Crossbow Spanning Mechanisms	crossbow_mechanism	"[[""gear_ratios"", ""compound_pulleys"", ""wedges_and_levers""]]"	Qualify mechanical assistance for preparing a compatible crossbow for use	Actual crossbow assemblies, suitable mechanisms and trained crews	Trade preparation work and equipment burden against supported bow strength
D20	polearm_balance_design	Polearm Balance Design	hafted_weapons	"[[""centers_of_mass"", ""experimental_controls""]]"	Match a long-handled weapon assembly to qualified handling and structural limits	Suitable shafts, heads, craft work and trained evaluation	Support distinct polearm equipment while reach and handling impose tradeoffs
D20	helmet_fit_and_retention	Helmet Fit And Retention	shield_equipment_fitting	"[[""copper_casting"", ""hide_tanning""]]"	Fit and retain qualified head protection while preserving evaluated movement and perception	Suitable helmets, fitting materials and trained armorers	Improve usable protection without making a wearer invulnerable
D20	textile_armor_layering	Textile Armor Layering	plain_weaving,shield_equipment_fitting	[]	Qualify layered textile protection against defined equipment and environmental conditions	Suitable cloth, assembly labor and inspection	Provide a distinct protection option with weight, heat and durability costs
D20	scale_armor_attachment	Scale Armor Attachment	plain_weaving	"[[""lamellar_armor_assembly"", ""shield_equipment_fitting""]]"	Attach overlapping protective elements to a qualified backing while retaining intended flexibility	Compatible scales, backing, fastenings and armorers	Support evaluated armor assemblies with maintenance and movement costs
D20	military_footwear_fitting	Military Footwear Fitting	hide_tanning	"[[""work_rest_limits"", ""work_motion_studies""]]"	Fit and maintain footwear against actual marching conditions and wearer needs	Suitable footwear, repair supplies and service labor	Reduce avoidable mobility loss while weather and fatigue still matter
D20	remount_condition_assessment	Remount Condition Assessment	livestock_body_condition_scoring	"[[""mounted_remount_school"", ""domesticated_mounts""]]"	Match available mounts to service demands using condition and training evidence	Actual trained animals, veterinary support and feed	Assign viable remounts without creating horses or eliminating exhaustion
D20	pack_artillery_assemblies	Pack Artillery Assemblies	powder_artillery,pack_saddle_load_balancing	[]	Integrate a qualified artillery system into separable transportable assemblies	Compatible equipment, actual pack animals or carriers and trained crews	Move selected support equipment through constrained terrain with assembly delay
D20	field_gun_traverse_mounts	Field Gun Traverse Mounts	powder_artillery	"[[""precision_machinery"", ""gear_ratios""]]"	Support controlled orientation of a qualified field weapon on an evaluated mounting	Compatible mounts, mechanical parts, maintenance and trained crews	Provide bounded laying movement while stability and terrain constrain operation
D20	breech_loading_service_systems	Breech Loading Service Systems	powder_artillery	"[[""pressure_vessels"", ""experimental_controls""]]"	Integrate qualified rear-loading weapon operation with compatible equipment and inspection	Manufactured qualified arms, compatible ammunition and trained maintenance	Support a distinct loading cycle with actual reliability and supply requirements
D20	magazine_feed_systems	Magazine Feed Systems	metallic_cartridges	"[[""precision_machinery"", ""basic_machine_shops""]]"	Supply compatible rounds through an evaluated retained-feed mechanism	Qualified weapon/feed assemblies, ammunition and inspection	Change ready-round handling while capacity, stoppages and replenishment remain
D20	small_arms_parts_interchangeability	Small Arms Parts Interchangeability	field_armorer_teams	"[[""standard_fastener_kitting"", ""dimensional_metrology""]]"	Qualify replaceable weapon components across a specified equipment family	Controlled specifications, gauged parts and trained armorers	Reduce some repair fitting time without making incompatible families interchangeable
D20	ammunition_lot_serviceability	Ammunition Lot Serviceability	ammunition_distribution_accounts,material_accounting	[]	Track compatible ammunition lots and evaluate their retained service condition	Actual stocks, suitable storage, records and qualified inspection	Reject degraded or incompatible stock without manufacturing replacements by decree
D20	crew_served_weapon_cooling	Crew Served Weapon Cooling	automatic_actions	"[[""calorimetry"", ""experimental_controls""]]"	Maintain qualified heat-management limits for a sustained-use crew-served system	Compatible equipment, cooling resources and trained crews	Constrain sustained service by actual heat and maintenance limits
D20	portable_support_weapon_mounts	Portable Support Weapon Mounts	automatic_actions,structural_load_testing	[]	Qualify a transportable support mounting for a specific crew-served system	Compatible equipment, stable supports, carriers and inspection	Provide a support role with burden, setup and mobility costs
D20	mortar_service_integration	Mortar Service Integration	powder_artillery,indirect_fire	[]	Integrate qualified short-range indirect-support equipment with trained crews and supply	Actual approved equipment, compatible stores and command coordination	Offer a distinct mobile support capability within observed conditions
D20	artillery_towing_interfaces	Artillery Towing Interfaces	powder_artillery	"[[""cart_running_gear"", ""vehicle_transmission_design""]]"	Qualify connection and load transfer between an artillery carriage and suitable transport	Compatible carriages, draft or motor transport and trained crews	Move actual equipment with speed, load and maintenance constraints
D20	artillery_prime_mover_services	Artillery Prime Mover Services	motor_transport_columns,artillery_towing_interfaces	[]	Organize compatible powered towing and recovery support for artillery equipment	Actual vehicles, fuel, parts and trained drivers	Improve supported mobility while consuming transport resources
D20	self_propelled_support_platforms	Self Propelled Support Platforms	artillery_recoil_systems	"[[""tracked_running_gear"", ""road_motor_vehicles""]]"	Integrate qualified support equipment with a powered protected carrier	Actual chassis, payload, propulsion, crews and maintenance	Combine movement and support roles with weight and sustainment tradeoffs
D20	armored_vehicle_crew_layouts	Armored Vehicle Crew Layouts	armored_vehicles	"[[""work_motion_studies"", ""human_machine_team_training""]]"	Arrange crew stations and access for evaluated control, visibility and exit needs	Qualified vehicle structure, trained crews and human-factors evaluation	Improve usable operation without adding crew or protection for free
