field	id	name	foundations	alternative_foundations	mechanism	operating_requirement	consequence
D04	metal_annealing_control	Metal Annealing Control	hardened_edges	"[[""precision_thermometry"", ""kiln_control""]]"	Relate controlled thermal treatment to measured metal hardness and workability	Suitable metal, heating equipment, skilled handling and property checks	Restore selected workability while altering other properties
D04	steel_normalizing_control	Steel Normalizing Control	steel_refining	"[[""material_phase_diagrams"", ""experimental_controls""]]"	Apply a qualified thermal cycle to refine a steel's evaluated microstructure	Known steel composition, suitable furnace and structural or mechanical tests	Produce a bounded microstructural condition without universal strength gains
D04	surface_carburization	Surface Carburization	hardened_edges,charcoal	[]	Enrich a suitable metal surface with carbon through a qualified thermal process	Compatible metal, controlled carbon source, thermal equipment and case assessment	Create a graded surface condition while retaining core and distortion constraints
D04	steel_nitriding_qualification	Steel Nitriding Qualification	material_phase_diagrams	"[[""surface_carburization"", ""industrial_catalyst_design""]]"	Qualify nitrogen-enriched surface layers for a specified steel service	Compatible material, controlled industrial treatment and inspection	Improve selected surface properties with composition and fatigue limits
D04	induction_surface_hardening	Induction Surface Hardening	electromagnetic_induction,hardened_edges	[]	Heat selected metal regions electromagnetically for a qualified hardening treatment	Compatible power equipment, workpiece, thermal control and inspection	Localize treatment while geometry and material response limit results
D04	precipitation_hardening_models	Precipitation Hardening Models	material_phase_diagrams	"[[""metal_creep_characterization"", ""aluminum_alloy_heat_treatment""]]"	Relate controlled precipitate populations to a qualified alloy's mechanical behavior	Known alloy, thermal treatment and microstructural or property measurement	Guide selected strengthening with overaging and temperature limits
D04	metal_grain_size_measurement	Metal Grain Size Measurement	compound_microscopy	"[[""material_phase_diagrams"", ""experimental_controls""]]"	Measure representative grain structure using a defined preparation and counting method	Prepared samples, qualified imaging and analysts	Compare microstructure without treating grain size alone as complete performance
D04	residual_stress_assessment	Residual Stress Assessment	stress_strain_relations,dimensional_metrology	[]	Estimate retained internal stresses through qualified measurement and model assumptions	Suitable specimens, instruments and interpretation expertise	Identify distortion or failure contributions with method-specific uncertainty
D04	metal_fracture_toughness_testing	Metal Fracture Toughness Testing	stress_strain_relations	"[[""cyclic_fatigue"", ""structural_load_testing""]]"	Measure resistance to crack extension under a defined qualified specimen condition	Representative material, calibrated loading equipment and trained analysis	Support bounded damage tolerance rather than equating strength with toughness
D04	metal_hydrogen_damage_assessment	Metal Hydrogen Damage Assessment	corrosion_rate_measurement,metal_fracture_toughness_testing	[]	Evaluate susceptibility to hydrogen-related degradation under defined exposure and loading	Characterized material, qualified tests and environmental controls	Restrict unsuitable service conditions without assuming one result covers all alloys
