field	id	name	foundations	alternative_foundations	mechanism	operating_requirement	consequence
D02	river_diversion_weirs	River Diversion Weirs	river_stage_records	"[[""dry_stone_wall_bonding"", ""joinery""]]"	Raise a controlled upstream water level to direct part of a river flow into an intake	Actual channel works, stable foundations and maintained flow openings	Divert bounded flow while retaining upstream flooding and downstream flow consequences
D02	water_intake_screening	Water Intake Screening		"[[""basketry"", ""joinery""]]"	Exclude specified debris and organisms from an intake with a maintainable physical screen	Suitable openings, actual screen area, cleaning access and available intake head	Protect downstream works while retaining clogging, entrainment and head-loss constraints
D02	sediment_scour_outlets	Sediment Scour Outlets	water_settling_basins	[]	Remove accumulated sediment through a controlled low outlet or flushing path	A suitable basin, working outlet and managed destination for sediment-laden water	Restore some storage or intake function at a water and disposal cost
D02	earthen_flood_embankments	Earthen Flood Embankments	geometric_survey	"[[""rammed_earth_construction"", ""soil_compaction_diagnosis""]]"	Construct and maintain a compacted barrier against a specified flood-water level	Suitable soil, controlled placement, foundations, drainage and inspection labor	Reduce frequent inundation within a design envelope while retaining overtopping and breach risk
D02	puddled_clay_water_linings	Puddled-Clay Water Linings	rainwater_cisterns	[]	Compact suitable wet clay into a low-permeability lining with protected continuity	Actual suitable clay, prepared support, placement labor and crack prevention	Reduce seepage without assuming an indefinitely watertight boundary
D02	subsurface_field_drainage	Subsurface Field Drainage	drainage	[]	Collect excess soil water through buried permeable or jointed drainage paths	Suitable outlets, installed drains and soil-specific spacing and maintenance	Lower waterlogging while transferring water and dissolved material downstream
D02	flood_spillway_design	Flood Spillway Design		"[[""river_discharge_rating"", ""river_stage_records""]]"	Provide a controlled overflow path sized against uncertain inflows and erosion limits	Actual bypass capacity, stable construction and maintained outlet	Reduce uncontrolled overtopping without guaranteeing protection from every flood
D02	hydraulic_jump_dissipation	Hydraulic Jump Dissipation	flow_continuity	"[[""waterwheel_head_surveys"", ""hydrostatic_pressure""]]"	Use a controlled transition from fast shallow flow to slower deeper flow to dissipate energy	Qualified channel geometry, tailwater and erosion-resistant structure	Limit downstream scour within a measured operating range
D02	water_hammer_models	Water Hammer Models	hydrostatic_pressure,flow_continuity	[]	Model pressure waves caused by rapid changes in conduit flow	Pipe elasticity, fluid properties, valve timing and transient observations	Identify pressure excursions beyond steady-flow estimates
D02	pressure_reducing_water_valves	Pressure-Reducing Water Valves	water_pressure_zones	[]	Throttle a water path in response to downstream pressure to maintain a bounded pressure setting	Working valve, suitable pressure differential and maintenance access	Control local pressure while dissipating hydraulic energy
D02	pipeline_air_management	Pipeline Air Management	water_pressure_zones	[]	Release accumulated gas and admit air where needed to avoid harmful vacuum or trapped pockets	Correctly located functional vents, pressure limits and inspection	Reduce gas-related flow interruption without treating vents as contamination-proof
D02	hydraulic_ram_pumps	Hydraulic Ram Pumps	water_hammer_models	[]	Use repeated flow interruption to lift a fraction of driving water to a higher head	Sufficient flowing supply, drive pipe, working valves and a pressure chamber	Lift some water without an external motor while discharging the remaining flow
D02	bank_filtration_intakes	Bank-Filtration Intakes	raw_water_quality_sampling	"[[""hydrogeologic_models"", ""groundwater_tracer_interpretation""]]"	Draw source water through characterized bank sediments before collection	Suitable aquifer connection, actual intake capacity and monitored travel and quality	Provide partial pretreatment while retaining breakthrough and source-depletion risks
D02	saltwater_intrusion_models	Saltwater Intrusion Models	hydrogeologic_models	[]	Model movement of saline water in response to freshwater gradients and extraction	Observed heads, salinity profiles and characterized aquifer boundaries	Constrain pumping or recharge choices without assuming a fixed fresh-salt interface
D02	aquifer_compaction_models	Aquifer Compaction Models	aquifer_response_testing	[]	Relate changing groundwater pressure to compressible-layer deformation and storage loss	Pressure histories, deformable-layer properties and deformation observations	Expose potentially irreversible subsidence rather than counting all drawdown as recoverable storage
D02	groundwater_capture_zone_models	Groundwater Capture-Zone Models	hydrogeologic_models	[]	Estimate source areas and travel times supplying an abstraction point	Qualified flow model, boundary conditions and measured or bounded properties	Guide source protection while exposing uncertain contamination travel paths
D02	catchment_water_balance	Catchment Water Balance	watershed_boundary_surveys	[]	Reconcile precipitation, evapotranspiration, storage change and exported flows over a defined catchment	Comparable observations, a declared boundary and uncertainty estimates	Identify unsustainable withdrawals or missing fluxes without manufacturing recharge
D02	granular_carbon_adsorption	Granular Carbon Adsorption	raw_water_quality_sampling	"[[""charcoal"", ""charcoal_retorts""]]"	Pass water through qualified porous carbon that binds selected dissolved compounds	Actual suitable media, contact capacity and measured breakthrough	Remove specified compounds until media exhaustion while producing spent material
D02	water_ion_exchange	Water Ion Exchange	raw_water_quality_sampling	[]	Exchange selected dissolved ions with ions held on a qualified solid medium	Suitable resin or mineral medium, regeneration or replacement supply and waste handling	Remove selected ions while producing a finite spent or regenerant stream
D02	electrodialytic_water_separation	Electrodialytic Water Separation	electrical_measurement,membrane_transport_models	[]	Drive ions through selective membranes using an electrical potential	Qualified membranes, actual power, compatible feed and concentrate handling	Separate ionic species with feed-dependent energy and fouling limits
D02	water_nanofiltration	Water Nanofiltration	water_ultrafiltration	[]	Use a qualified pressure-driven membrane with selective dissolved-solute rejection	Compatible membrane, pumping, characterized feed and reject management	Remove a specified solute fraction without assuming complete salt removal
D02	dissolved_air_flotation	Dissolved-Air Flotation	coagulation_flocculation	[]	Attach released fine gas bubbles to suitable particles and collect the floated layer	Pressurized gas-water contact, separation area, energy and sludge removal	Separate buoyant aggregates poorly removed by ordinary settling
D02	water_aeration_contactors	Water Aeration Contactors	gas_composition_analysis	[]	Exchange volatile constituents between flowing water and a controlled air stream	Qualified contact geometry, air supply and managed off-gas	Remove or add selected gases while retaining contaminant-specific transfer limits
