scenario	century	facet	value	delta_vs_balanced	flag
balanced	100	population	171.20715453525057	0.0	within
balanced	100	growth_pct	0.8205585811106605	0.0	within
balanced	100	life_expectancy	25.82703596617665	0.0	within
balanced	100	infant_mortality	240.4272731166011	0.0	within
balanced	100	child_mortality_1_4	223.29302490182656	0.0	within
balanced	100	maternal_per_100k	1392.140744113143	0.0	within
balanced	100	tfr	6.0023668839558475	0.0	within
balanced	100	cbr	46.933291350328716	0.0	within
balanced	100	cdr	38.87321760126531	0.0	within
balanced	100	food_per_worker	5.519106935379253	0.0	
balanced	100	food_security	0.98	0.0	
balanced	100	food_share	60.0028011204482	0.0	within
balanced	100	defense_share	2.021297952565405	0.0	within
balanced	100	diet	0.8075197610913292	0.0	
balanced	100	health	0.9699999999999999	0.0	
balanced	100	labor_efficiency	0.9573011202902647	0.0	
balanced	100	cap_production	0.6508441650774991	0.0	
balanced	100	craft_output	0.123323046736251	0.0	
balanced	100	tool_quality	0.12689810403110777	0.0	
balanced	100	cap_infrastructure	0.6321600541854077	0.0	
balanced	100	housing_ratio	1.0958970407188753	0.0	
balanced	100	construction_rate	0.15252088566486222	0.0	
balanced	100	cap_logistics	0.2972228873130241	0.0	
balanced	100	trade_capacity	0.13756867152139532	0.0	
balanced	100	ecology	0.17903627895456709	0.0	
balanced	100	ground_health	0.9535799131372179	0.0	
balanced	100	cap_institutions	0.6443706313704074	0.0	
balanced	100	legitimacy	0.8856765873526576	0.0	
balanced	100	state_capacity	0.12183263966896019	0.0	
balanced	100	cap_security	0.5399810995384731	0.0	
balanced	100	warfare_readiness	0.13378109953579934	0.0	
balanced	100	cap_culture	0.881839801768586	0.0	
balanced	100	cohesion	0.9599999999999996	0.0	
balanced	100	known	312.3333333333333	0.0	
balanced	100	per_century	149.66666666666666	0.0	
balanced	100	per_50	55.64971751412429	0.0	within
balanced	100	education	0.743068154924481	0.0	
balanced	100	art_found	427.6666666666667	0.0	
balanced	100	art_studied	60.0	0.0	
balanced	100	art_bonus	0.16799999999999957	0.0	
balanced	100	allure	0.6513679603502264	0.0	
balanced	100	line_knowledge	9.0	0.0	
balanced	100	line_institutions	11.0	0.0	
balanced	100	line_culture	15.333333333333334	0.0	
balanced	100	line_labor	12.666666666666666	0.0	
balanced	100	line_production	14.333333333333334	0.0	
balanced	100	line_infrastructure	12.0	0.0	
balanced	100	line_nutrition	17.0	0.0	
balanced	100	line_health	13.0	0.0	
balanced	100	line_demography	12.666666666666666	0.0	
balanced	100	line_logistics	12.333333333333334	0.0	
balanced	100	line_ecology	10.666666666666666	0.0	
balanced	100	line_security	9.666666666666666	0.0	
balanced	200	population	461.9574111167565	0.0	within
balanced	200	growth_pct	1.0250879182508073	0.0	within
balanced	200	life_expectancy	27.36786609876674	0.0	within
balanced	200	infant_mortality	221.24209960282624	0.0	within
balanced	200	child_mortality_1_4	206.97432490872245	0.0	within
balanced	200	maternal_per_100k	1300.7798872329322	0.0	within
balanced	200	tfr	5.945235195752528	0.0	within
balanced	200	cbr	46.42455089417874	0.0	within
balanced	200	cdr	36.44125671588117	0.0	within
balanced	200	food_per_worker	5.84730652343447	0.0	
balanced	200	food_security	0.98	0.0	
balanced	200	food_share	58.00280112044808	0.0	within
balanced	200	defense_share	2.1223699280631134	0.0	within
balanced	200	diet	0.8961333397327165	0.0	
balanced	200	health	0.9699999999999999	0.0	
balanced	200	labor_efficiency	0.958115530289164	0.0	
balanced	200	cap_production	0.6648719621849387	0.0	
balanced	200	craft_output	0.22235086720696673	0.0	
