field	id	name	foundations	alternative_foundations	mechanism	operating_requirement	consequence
D23	refracting_telescopes	Refracting Telescopes	optical_lenses,lens_centering	[]	Combine aligned objective and viewing optics to collect light and resolve distant angular detail	Qualified lenses, stable tube and mount, focusing mechanism and observer	Extend sky observation within aperture, aberration and atmospheric limits
D23	reflecting_telescopes	Reflecting Telescopes	optical_lenses	[]	Use a figured reflective primary and aligned secondary optics to form a distant image	Reflective optical surfaces, shape inspection, alignment and stable mounting	Collect light without requiring a large transmitting objective while retaining alignment and surface limits
D23	angular_image_calibration	Angular Image Calibration	celestial_reference_frames	"[[""refracting_telescopes"", ""reflecting_telescopes""]]"	Relate instrument image positions to sky angles with distortion and pointing corrections	Known reference positions, repeated observations and instrument calibration	Turn recorded images into bounded positional measurements
D23	stellar_parallax_distance	Stellar Parallax Distance	angular_sky_catalogs,celestial_reference_frames	"[[""refracting_telescopes"", ""reflecting_telescopes""]]"	Infer stellar distance from repeated apparent displacement across a known observer baseline	Sufficient angular precision, baseline knowledge and separated observations	Measure a limited distance range with explicit uncertainty
D23	eclipse_geometry_models	Eclipse Geometry Models	planetary_motion_tables	[]	Predict occultation geometry by comparing apparent sizes, relative motion and shadow alignment	Repeated sky observations, calibrated angular estimates and a stated motion model	Forecast observable eclipses within model limits without requiring modern gravitational theory
D23	variable_star_distance_models	Variable-Star Distance Models	stellar_parallax_distance	"[[""photographic_exposure_measurement"", ""spectroscopy""]]"	Calibrate relationships between changing brightness and luminosity for a qualified class of variable stars	Repeated brightness records, extinction estimates and reference distances	Extend distance inference while retaining population and calibration limits
D23	radio_aperture_synthesis	Radio Aperture Synthesis	tuned_radio_reception,harmonic_analysis,frequency_stabilization	[]	Combine correlated radio measurements from separated apertures to reconstruct angular structure	Synchronized receivers, known baselines, calibration sources and finite computation	Resolve selected sky structure while retaining incomplete spatial sampling
D23	coronagraphic_starlight_suppression	Coronagraphic Starlight Suppression	angular_image_calibration	"[[""refracting_telescopes"", ""reflecting_telescopes""]]"	Suppress a bright source's optical contribution while retaining nearby faint structure	Qualified masks or optical rejection elements, stable wavefronts and alignment	Improve contrast near a bright object without guaranteeing a detectable planet
D23	exoplanet_transit_inference	Exoplanet Transit Inference	angular_image_calibration	[]	Infer candidate orbit and size constraints from repeated stellar dimming with alternative explanations checked	Stable brightness measurements, sufficient observation time and false-positive review	Identify conditional planetary evidence without assuming every dip is a planet
D23	asteroseismic_inference	Asteroseismic Inference	spectroscopy	[]	Infer stellar interior constraints from measured oscillation modes and physical models	Long observations, calibrated brightness or velocity measurements and model comparison	Constrain internal structure without directly observing the stellar interior
D23	launch_vehicle_mass_closure	Launch Vehicle Mass Closure	rocket_staging,orbital_dynamics	[]	Reconcile payload, propellant, structural mass and trajectory losses against mission performance	Measured component masses, propulsion performance and bounded trajectory models	Reject a launch architecture whose required mass or impulse does not close
D23	ascent_load_envelope_models	Ascent Load Envelope Models	launch_vehicle_guidance,spacecraft_structural_testing	[]	Couple atmospheric, acceleration and vibration loads along a proposed ascent	Vehicle geometry, structural properties, environment estimates and validation data	Set a qualified flight envelope without assuming all trajectories are survivable
D23	stage_separation_dynamics	Stage Separation Dynamics	rocket_staging	[]	Model release forces and relative motion so departing bodies clear each other	Qualified release mechanisms, geometry, mass properties and separation tests	Reduce recontact risk while preserving mechanism and timing failures
