field	id	name	foundations	alternative_foundations	mechanism	operating_requirement	consequence
D17	commodity_money_conventions	Commodity Money Conventions		"[[""barter_equivalence_tables"", ""reciprocal_gift_accounts""]]"	Recognize a transferable commodity as a generally accepted intermediate means of exchange	Actual accepted goods, divisible quantities and willing trading partners	Reduce double-coincidence constraints while retaining storage loss and refusal risk
D17	unit_of_account_conventions	Unit of Account Conventions		"[[""barter_equivalence_tables"", ""debt_maturity_records""]]"	Express unlike obligations in one agreed valuation unit without requiring payment in that material	Shared valuation convention and interpretable obligation records	Compare debts while keeping account units distinct from deliverable payment
D17	monetary_piece_stamping	Monetary Piece Stamping	merchant_weight_verification	"[[""metal_annealing_control"", ""metal_casting_feed_design""]]"	Mark standardized metal pieces with an issuer claim of denomination and quality	Metal stock, blanks, dies, striking labor and trusted issuer	Reduce repeated weighing for accepted pieces; stamping cannot guarantee purity or acceptance
D17	redeemable_payment_notes	Redeemable Payment Notes	debt_maturity_records,unit_of_account_conventions	"[[""pictographic_records"", ""knotted_record_systems""]]"	Issue transferable payment promises with stated redemption obligations	Identifiable issuer, authentic notes, actual redemption assets and enforceable terms	Transfer issuer credit while exposing holders to redemption delays and default
D17	payment_token_authentication	Payment Token Authentication		"[[""monetary_piece_stamping"", ""redeemable_payment_notes""]]"	Use repeatable identifying features and comparison checks to distinguish authorized tokens	Controlled issuance tools, reference pieces and trained inspection	Reduce undetected imitation at a continuing inspection cost
D17	price_observation_registers	Price Observation Registers	market_gathering_schedules,unit_of_account_conventions	[]	Record comparable transactions with quantities, quality, place and observation time	Observed trades, record keepers and shared quantity definitions	Reveal local price variation without granting unseen market information
D17	commodity_price_indices	Commodity Price Indices	price_observation_registers	[]	Combine comparable price observations using a stated basket and weights	Repeated observations, basket definitions and revision records	Track basket price changes while exposing substitution and coverage limits
D17	currency_conversion_quotations	Currency Conversion Quotations	unit_of_account_conventions,price_observation_registers	[]	State exchange ratios between accepted payment units with explicit fees and validity	Willing counterparties, actual balances and current observed quotations	Support conversion without assuming infinite liquidity or fixed rates
D17	purchasing_power_comparison	Purchasing Power Comparison	commodity_price_indices,currency_conversion_quotations	[]	Compare the cost of matched baskets across monetary areas	Comparable goods, local prices and quality adjustments	Separate nominal conversion from differences in attainable goods
D17	ascending_bid_auctions	Ascending Bid Auctions	market_gathering_schedules	[]	Allocate a specified lot through successively higher public bids under a stopping rule	Real lot, eligible bidders, credible bids and settlement procedure	Discover a transaction price with delay and collusion risks
D17	sealed_bid_auctions	Sealed Bid Auctions	witnessed_obligations	"[[""pictographic_records"", ""knotted_record_systems""]]"	Collect confidential offers before a fixed close and apply a declared ranking and payment rule	Secure offer custody, comparable lot terms and qualified bidders	Trade public price discovery for a bounded submission period
D17	reverse_procurement_auctions	Reverse Procurement Auctions	commodity_quality_grading	[]	Compare competing supplier offers against one specified deliverable and acceptance rule	Qualified suppliers, genuine demand and deliverable quality tests	Reduce purchasing cost only when actual capable suppliers compete
D17	double_auction_matching	Double Auction Matching	price_observation_registers	[]	Match buyer bids and seller offers under declared priority rules	Actual orders, available goods or balances and settlement capacity	Coordinate repeated trades while retaining unmatched orders and market-power effects
D17	package_bid_allocation	Package Bid Allocation	sealed_bid_auctions,constrained_optimization	[]	Select mutually compatible package offers when complementary lots cannot be valued independently	Explicit bundle bids, capacity limits and auditable allocation computation	Reduce exposure from winning an unusable subset without promising truthful bidding
D17	commodity_forward_delivery	Commodity Forward Delivery	witnessed_obligations,commodity_quality_grading	[]	Agree quantity, grade, delivery location, date and price before physical delivery	Credible counterparties and actual future production or sourcing capacity	Share price uncertainty while retaining harvest, transport and default risk
D17	exchange_contract_standardization	Exchange Contract Standardization	commodity_forward_delivery	[]	Standardize contract sizes, grades, delivery windows and transferable positions	Accepted specifications, position records and delivery governance	Make comparable forward positions transferable without manufacturing the underlying goods
D17	variation_margin_settlement	Variation Margin Settlement	exchange_contract_standardization,price_observation_registers	[]	Transfer collateral as marked contract exposure changes	Observed settlement prices, real collateral and enforceable position limits	Limit accumulating unsecured exposure while creating liquidity calls
D17	option_exercise_contracts	Option Exercise Contracts	commodity_forward_delivery	[]	Trade a bounded right to transact under specified conditions without the holder's exercise obligation	Premium payment, defined exercise terms and a capable obligated counterparty	Separate optional access from mandatory delivery with finite counterparty exposure
D17	market_liquidity_measurement	Market Liquidity Measurement	double_auction_matching	[]	Measure spread, available depth and execution slippage across observed order sizes	Time-stamped orders and actual completed or attempted trades	Distinguish a quoted price from the cost of executing a large order
D17	loan_deposit_creation_accounts	Loan and Deposit Creation Accounts	bank_deposit_accounts,double_entry_bookkeeping	[]	Record a bank loan asset and corresponding deposit liability at origination and track repayment	Authorized lending institution, credit assessment, capital and settlement liquidity	Model credit-created deposits as liabilities rather than newly created physical wealth
D17	credit_underwriting	Credit Underwriting	debt_maturity_records	"[[""reciprocal_gift_accounts"", ""cash_flow_statements""]]"	Assess promised repayment against observed income, obligations and downside cases	Accessible borrower evidence, review labor and explicit uncertainty	Price or refuse credit without treating collateral or reputation as certain repayment
D17	amortization_schedules	Amortization Schedules	interest_accrual_accounts	[]	Separate each scheduled payment into accrued interest and principal reduction	Agreed rate and timing conventions, records and actual payments	Expose remaining debt and payment timing instead of counting every payment as principal
D17	receivables_factoring	Receivables Factoring	invoice_verification	[]	Transfer verified receivable claims for discounted immediate payment with stated recourse	Authentic invoices, buyer funds and debtor collection access	Release working cash while preserving fraud, nonpayment and fee exposure
D17	asset_leasing_accounts	Asset Leasing Accounts	debt_maturity_records	[]	Separate paid temporary use of an asset from ownership and specify maintenance and return duties	Actual serviceable asset, lessor capacity and enforceable use terms	Access equipment without outright purchase while retaining rent and repossession dependence
D17	insolvency_claim_resolution	Insolvency Claim Resolution	collateral_registration	[]	Rank and reconcile competing claims against insufficient assets through a disclosed process	Verified claims, actual realizable assets and recognized adjudication	Distribute losses rather than erase liabilities or replenish missing resources
D17	insurance_risk_pooling	Insurance Risk Pooling		"[[""reciprocal_gift_accounts"", ""partnership_capital_accounts""]]"	Collect contributions against specified shared losses and pay from a finite pool	Defined covered events, pooled reserves and trustworthy claims handling	Share individual shocks while exposing correlated losses and reserve exhaustion
D17	insurance_claim_adjustment	Insurance Claim Adjustment	insurance_risk_pooling	[]	Compare reported loss with coverage, evidence and recoverable value	Accessible loss evidence, adjusters and actual available reserves	Pay qualified claims while preserving investigation cost and disagreement
D17	pension_contribution_accounts	Pension Contribution Accounts	debt_maturity_records	[]	Track contributions and promised later benefits separately from the pool's actual assets	Participant records, funding rules and finite invested or current contribution resources	Expose retirement obligations and funding gaps without guaranteed future purchasing power
D17	correlated_loss_stress_models	Correlated Loss Stress Models	actuarial_loss_tables,probability_theory	[]	Evaluate reserve sufficiency when multiple losses share common causes	Joint exposure data, stated scenarios and model review	Reveal concentration missed by independent-loss assumptions without predicting every crisis
D17	wage_time_accounts	Wage and Time Accounts	witnessed_obligations	"[[""labor_rotations"", ""price_observation_registers""]]"	Link agreed compensation to recorded time and approved work periods	Actual workers, supervisors, payment stock and interpretable time records	Make earned compensation auditable without creating labor or forcing employment
D17	piecework_compensation	Piecework Compensation	witnessed_obligations	"[[""commodity_quality_grading"", ""journeyman_skill_trials""]]"	Pay for accepted output units with stated rejection and rework rules	Measurable output, quality inspection, willing workers and payment resources	Change work incentives while exposing quality shortcuts and uneven earnings
D17	collective_bargaining_procedures	Collective Bargaining Procedures	witnessed_obligations	[]	Authorize representatives to negotiate shared working terms and ratify agreements	Represented workers, counterparties and a recognized negotiation process	Support joint bargaining without automatic agreement or a universal productivity bonus
D17	employment_dispute_mediation	Employment Dispute Mediation	arbitration_procedures	[]	Reconcile conflicting work and pay claims using evidence and mutually accepted mediation	Accessible records, participants and mediator time	Offer a settlement route while allowing unresolved disputes and work interruption
D17	worker_owned_enterprise_accounts	Worker-Owned Enterprise Accounts	partnership_capital_accounts,profit_loss_allocation	[]	Record worker membership claims, voting stakes and distribution of residual earnings	Actual contributed assets, membership rules and operating records	Support worker ownership without assuming superior output or compulsory adoption
D17	consumer_cooperative_rebates	Consumer Cooperative Rebates	cooperative_purchasing,profit_loss_allocation	[]	Return eligible trading surplus according to recorded member purchases	Real surplus after obligations, purchase records and agreed allocation rules	Separate patronage returns from capital dividends without inventing distributable funds
D17	household_budget_accounts	Household Budget Accounts	unit_of_account_conventions	[]	Compare household receipts, essential outlays and remaining commitments over time	Actual household resources and recorded obligations	Expose shortages and tradeoffs without reallocating households outside existing civic authority
D17	unpaid_work_time_surveys	Unpaid Work Time Surveys	wage_time_accounts	[]	Sample time spent on care and other unpaid activities separately from paid employment	Consenting representative respondents, time diaries and survey staff	Make otherwise unpriced labor visible without converting all activity into market output
D17	input_output_production_accounts	Input-Output Production Accounts	industrial_job_costing	[]	Record how outputs of one production activity become intermediate inputs of another	Comparable sector boundaries, actual flow records and valuation conventions	Trace production dependence while avoiding double-counted intermediate output
D17	national_income_reconciliation	National Income Reconciliation	input_output_production_accounts,household_budget_accounts	[]	Reconcile production, expenditure and income views of a defined economy	Survey coverage, institutional accounts and explicit boundary conventions	Detect accounting discrepancies without equating measured output with wellbeing
D17	research_patronage_agreements	Research Patronage Agreements	witnessed_obligations	"[[""demonstration_teaching"", ""worked_example_teaching""]]"	Support a scholar's bounded inquiry through negotiated subsistence, access and reporting duties	A willing competent scholar, actual board or trade goods and local learning time	Sustain uncertain inquiry before formal research markets without purchasing guaranteed discoveries
D17	commissioned_research_scoping	Commissioned Research Scoping		"[[""research_priority_registers"", ""research_patronage_agreements""]]"	Define a purchased question, usable evidence, deliverables and acceptance limits before commissioning	Known capable provider, payment resources and a locally interpretable question	Avoid paying for an irrelevant report while retaining uncertainty of a useful result
D17	research_milestone_payments	Research Milestone Payments	commissioned_research_scoping	[]	Release agreed payment tranches against verified intermediate deliverables	Escrowed or affordable funds, review capacity and honest evidence of milestones	Limit exposure to unfinished work without making failed hypotheses fraudulent by definition
