field	id	name	foundations	alternative_foundations	mechanism	operating_requirement	consequence
D16	rotating_council_seats	Rotating Council Seats	household_councils	[]	Distribute defined council duties through an agreed rotation among eligible participants	Participating households, agreed eligibility and actual time for service	Share service obligations while turnover and exclusion rules have consequences
D16	customary_restitution_schedules	Customary Restitution Schedules	customary_law,witnessed_obligations	[]	Compare assessed harms with publicly understood forms of restitution and negotiated exceptions	Recognized forum, evidence, affected parties and available compensation	Structure dispute repair without creating compensation resources or guaranteeing agreement
D16	intercommunity_oath_compacts	Intercommunity Oath Compacts	witnessed_obligations,household_councils	[]	Bind participating communities to publicly witnessed commitments and consequences for breach	Legitimate representatives, communication and continuing reciprocal interest	Support cooperation while trust, enforcement and changed interests remain limits
D16	lineage_succession_rules	Lineage Succession Rules	genealogical_cross_checking,customary_law	[]	Specify how recognized kin relationships order claims to an office	Accepted kinship evidence, eligible claimants and a legitimate adjudication forum	Make hereditary succession claims more predictable without requiring their adoption
D16	council_elected_succession	Council Elected Succession	household_councils,witnessed_obligations	[]	Select an officeholder through a defined council decision and transfer procedure	Participating selectors, accepted eligibility and actual handover capacity	Offer an elective succession route with selector interests and contested outcomes
D16	succession_regency_arrangements	Succession Regency Arrangements	public_office_handover	"[[""official_mandate_registers"", ""customary_law""]]"	Delegate limited temporary authority when an eligible officeholder cannot act	Recognized delegation rules, capable delegates and accountable records	Maintain specified functions while limiting or contesting temporary authority
D16	confederal_delegate_mandates	Confederal Delegate Mandates	intercommunity_oath_compacts	"[[""official_mandate_registers"", ""witnessed_obligations""]]"	Give community delegates bounded authority and duties to report back	Participating communities, accessible communication and maintained mandates	Coordinate common decisions while retaining limits of delegated consent
D16	subsidiarity_assignment_review	Subsidiarity Assignment Review	jurisdiction_boundaries,intergovernmental_compacts	[]	Compare which level can carry out a function against evidence of capacity and spillovers	Observed service responsibilities, participating authorities and review procedures	Reassign specific responsibilities without assuming central or local control is always superior
D16	plurality_vote_counting	Plurality Vote Counting	tallies,witnessed_obligations	[]	Choose the eligible option with the greatest valid vote count under declared tie rules	Defined electorate, countable choices, observers and accepted counting procedures	Resolve a vote without claiming that the winner has majority support
D16	runoff_election_procedures	Runoff Election Procedures	plurality_vote_counting	[]	Hold a subsequent restricted choice when a declared first-round condition is unmet	Repeated participation, additional counting resources and accepted rules	Permit a later decisive contest at the cost of time and participation changes
