field	id	name	foundations	alternative_foundations	mechanism	operating_requirement	consequence
D12	axiomatic_reasoning	Axiomatic Reasoning		"[[""straightedge_compass"", ""symbolic_algebra""]]"	Derive consequences from explicitly stated premises and inference rules	Shared notation, trained reasoners and checkable arguments	Distinguish a demonstrated consequence from an unsupported assertion
D12	proof_by_induction	Proof by Induction	axiomatic_reasoning,place_value	[]	Establish a base case and a valid step covering a declared ordered family	Precise statements and reviewed reasoning	Prove suitable families of claims without checking each instance separately
D12	constructive_proof_methods	Constructive Proof Methods	axiomatic_reasoning,algorithmic_procedures	[]	Demonstrate existence through an explicit construction within stated rules	Checkable constructions and competent review	Produce usable witnesses for suitable claims while other proof methods remain available
D12	set_theoretic_models	Set-Theoretic Models	axiomatic_reasoning	[]	Represent collections, membership and operations through explicit definitions	Consistent formal language and reviewed arguments	Provide shared foundations for several mathematical models
D12	modular_arithmetic	Modular Arithmetic	place_value,ratio_proportion	[]	Calculate with integer equivalence classes under a declared modulus	Competent calculators, notation and checked examples	Support cyclic calculations and later coding methods
D12	common_divisor_algorithms	Common-Divisor Algorithms	algorithmic_procedures	"[[""place_value"", ""fractional_quantities""]]"	Find common integer divisors through a terminating reduction procedure	Accurate arithmetic and reviewable steps	Simplify suitable numerical relationships with bounded calculation work
D12	prime_factorization_methods	Prime-Factorization Methods	common_divisor_algorithms,combinatorics	[]	Decompose integers into prime factors using declared procedures	Arithmetic capacity and verification	Support number analysis while large instances can remain expensive
D12	rational_approximation_methods	Rational-Approximation Methods	fractional_quantities,ratio_proportion	[]	Approximate quantities by rational values with assessed error	Measured or specified targets and competent calculation	Trade representational simplicity against controlled approximation error
D12	limit_and_convergence_analysis	Limit-and-Convergence Analysis	symbolic_algebra,axiomatic_reasoning	[]	Establish whether a declared sequence or process approaches a specified limit	Precise definitions and checked arguments	Distinguish convergent methods from merely plausible numerical trends
D12	series_expansion_methods	Series-Expansion Methods	limit_and_convergence_analysis,differential_calculus	[]	Represent suitable functions through qualified series and remainder estimates	Applicable models and calculation work	Compute approximations within demonstrated convergence and truncation limits
D12	complex_function_analysis	Complex-Function Analysis	complex_numbers,differential_calculus	[]	Analyze differentiable functions over complex variables under stated assumptions	Formal methods and competent review	Provide tools for selected field, wave and transform problems
D12	ordinary_equation_stability	Ordinary-Equation Stability	differential_equations,linearization_methods	[]	Assess how solutions respond to disturbances or parameter changes	Specified equations and qualified analysis	Identify stable or unstable modeled behavior without proving the physical model correct
D12	partial_differential_models	Partial-Differential Models	differential_equations,vector_analysis	[]	Represent changes across multiple independent variables with stated boundary conditions	Justified models, mathematical expertise and suitable solution methods	Describe spatially varying processes while boundary assumptions remain essential
D12	linearization_methods	Linearization Methods	differential_calculus,matrix_algebra	[]	Approximate a nonlinear relation near a declared reference state	Known equations, a reference state and error assessment	Simplify local analysis while large departures can invalidate the approximation
D12	eigenvalue_analysis	Eigenvalue Analysis	matrix_algebra,polynomial_equations	[]	Determine characteristic modes of a specified linear transformation	Calculation tools and reviewed numerical or symbolic results	Support mode and stability analysis within the model's assumptions
