id,line,name,target_year,band_low,band_high,research_years,status,shared_with,key_threshold,aliases,source_file
route_memory,knowledge,Encoded routes: travel told as a fixed story,2,0,5,1.5,catalog,,,,docs/research/KNOWLEDGE_600_YEARS.md
relay_call_stations,knowledge,Relay calls between camps,3,0,8,1.5,era,,,,docs/research/KNOWLEDGE_600_YEARS.md
counting_words,knowledge,Counting words and finger counts to twenty,5,2,10,2,new,,,,docs/research/KNOWLEDGE_600_YEARS.md
weather_sign_reading,knowledge,Weather-sign reading,6,3,12,2,era,,,,docs/research/KNOWLEDGE_600_YEARS.md
novice_task_shadowing,knowledge,Novices shadow an experienced hand,8,4,15,2,era,,,,docs/research/KNOWLEDGE_600_YEARS.md
tallies,knowledge,Notched-stick tallies,10,5,20,3,catalog,,,,docs/research/KNOWLEDGE_600_YEARS.md
distance_call_signals,knowledge,Long-carrying call signals,12,6,20,2,era,,,,docs/research/KNOWLEDGE_600_YEARS.md
cairn_sightline_marking,knowledge,Cairn sightline marking,15,8,25,3,era,,,,docs/research/KNOWLEDGE_600_YEARS.md
watch_duty_rotation,knowledge,Standing watch duty,18,10,30,3,era,,,,docs/research/KNOWLEDGE_600_YEARS.md
moon_counting,knowledge,Moon counting: nights between full moons,22,12,35,4,new,,,,docs/research/KNOWLEDGE_600_YEARS.md
knot_tally_cross_check,knowledge,Two households cross-check their tallies,25,15,40,3,era,,,,docs/research/KNOWLEDGE_600_YEARS.md
repeated_recitation_training,knowledge,Recitation drills for craft rules,30,18,45,4,era,,,,docs/research/KNOWLEDGE_600_YEARS.md
childrens_question_circles,knowledge,Children's question circles,35,20,50,3,era,culture,,,docs/research/KNOWLEDGE_600_YEARS.md
solstice_horizon_markers,knowledge,Horizon sunrise markers for the solstices,40,25,60,6,new,,,,docs/research/KNOWLEDGE_600_YEARS.md
standard_measures,knowledge,"Body measures: hand, forearm, pace, basket",45,30,65,5,catalog,,,,docs/research/KNOWLEDGE_600_YEARS.md
mnemonic_verse_encoding,knowledge,Verse mnemonics for long lists,50,35,70,4,era,,,,docs/research/KNOWLEDGE_600_YEARS.md
owner_marks,knowledge,Owners' marks on pots and bundles,55,40,75,4,new,,,,docs/research/KNOWLEDGE_600_YEARS.md
paced_distance_counting,knowledge,Paced distance counting,60,45,85,4,era,,,,docs/research/KNOWLEDGE_600_YEARS.md
