field	id	name	foundations	alternative_foundations	mechanism	operating_requirement	consequence
D20	sling_service_training	Sling-Service Training	cordage,formation_drill	[]	Train repeatable use and collective control of sling-equipped skirmishers	Issued slings and projectiles, instructors, practice time and suitable space	Support a light missile role whose performance depends strongly on practiced personnel
D20	javelin_screen_training	Javelin-Screen Training	hafted_weapons,formation_drill	[]	Train missile-equipped foot troops to screen and disengage as an organized role	Issued equipment, trained leaders and collective rehearsal	Provide a mobile screening option with limited carried projectiles
D20	massed_archery_coordination	Massed-Archery Coordination	bow_craft,formation_drill	[]	Coordinate groups of archers around shared observation and command signals	Trained archers, bows, ammunition and functioning command	Concentrate supported missile effort while retaining visibility and ammunition limits
D20	composite_bow_design	Composite-Bow Design	bow_craft,material_accounting	[]	Combine materials with different mechanical behavior in a qualified bow design	Skilled makers, suitable materials, storage and proof trials	Offer a distinct equipment family with manufacturing and environmental tradeoffs
D20	mounted_archery_training	Mounted-Archery Training	bow_craft,domesticated_mounts	[]	Train riders and mounts for controlled bow use while moving	Suitable mounts, equipment, extensive practice and animal support	Support mobile missile troops without making all cavalry competent archers
D20	lamellar_armor_assembly	Lamellar-Armor Assembly	cordage	"[[""bronze_alloying"", ""hardened_edges""]]"	Join overlapping protective elements into a wearable articulated assembly	Qualified plates, fastening materials, makers and fit assessment	Provide replaceable protection with weight, coverage and fastening weaknesses
D20	mail_armor_fabrication	Mail-Armor Fabrication	wire_drawing,hardened_edges	[]	Make a flexible protective mesh from joined metal elements	Skilled makers, suitable metal, inspection and repair labor	Offer flexible protection whose performance varies with the threat and underlayers
D20	articulated_plate_armor	Articulated Plate Armor	hardened_edges,standard_measures	"[[""sheet_steel_rolling"", ""structural_load_testing""]]"	Fit shaped protective plates so joints retain useful movement	Forming capability, tailored fitting, attendants and maintenance	Increase selected protection while imposing weight, cost and fit constraints
D20	shield_equipment_fitting	Shield-Equipment Fitting	shield_wall,timber_grading	[]	Match shield shape, grip and carrying arrangements to the user's formation role	Suitable shields, trained wearers and practical load trials	Trade coverage against visibility, fatigue and movement rather than adding universal defense
D20	lance_cavalry_training	Lance-Cavalry Training	domesticated_mounts,formation_drill,hafted_weapons	[]	Develop a coordinated mounted close-combat role around suitable riding equipment	Trained riders and mounts, equipment, terrain access and sustained practice	Provide a shock-oriented mounted option with substantial upkeep and terrain limits
D20	militia_muster_registers	Militia Muster Registers	public_levies	"[[""census_rolls"", ""material_accounting""]]"	Record military obligations, available personnel and issued equipment for a defined muster	Maintained records, responsible officials and actual eligible people	Make mobilization accountable without generating troops from a nominal obligation
D20	reserve_recall_systems	Reserve Recall Systems	militia_muster_registers,route_memory	[]	Maintain contact and refresher arrangements for previously trained personnel	Records, messengers, refresher time and available equipment	Restore some trained capacity after a delay while disrupting civilian work
D20	junior_leader_development	Junior-Leader Development	formation_drill,guided_practice_cycles	[]	Train subordinate leaders to sustain collective action and report condition	Experienced instructors, supervised responsibility and finite trainees	Reduce dependence on one commander without creating independent population agents
D20	mission_order_practice	Mission-Order Practice	junior_leader_development,military_staffs	[]	Communicate objectives and constraints while delegating execution within authority	Trained leaders, mutual understanding and functioning communication	Improve clarity and adaptability of delegated execution; generals already control battlefield operations before this discovery
D20	staff_wargaming	Staff Wargaming	military_staffs,regional_maps,experimental_controls	[]	Compare candidate campaign plans through explicit assumptions and adversarial review	Staff time, bounded models and available intelligence	Expose some unsupported assumptions without predicting battle with certainty
D20	military_cartographic_reporting	Military Cartographic Reporting	regional_maps,crew_handoffs	[]	Attach observation time, uncertainty and source to campaign-map information	Survey or reconnaissance reports, record keepers and actual delivery	Distinguish confirmed routes from stale or unverified information
D20	reconnaissance_patrol_doctrine	Reconnaissance-Patrol Doctrine	military_cartographic_reporting,watch_rotation	[]	Organize patrols around observation and return of information	Trained scouts, travel provisions and reachable routes	Gather dated local intelligence while absence and losses constrain coverage
D20	counter_reconnaissance_coordination	Counter-Reconnaissance Coordination	reconnaissance_patrol_doctrine,formation_drill	[]	Coordinate security forces to contest opposing observation	Available patrol strength, communications and local knowledge	Reduce some hostile information access without revealing unseen scouts automatically
D20	field_concealment_practice	Field-Concealment Practice	habitat_observation_records,watch_rotation	[]	Adapt visible signatures and exposure to observed terrain and conditions	Suitable materials, trained personnel and time	Reduce detection in supported conditions while movement and sensors can defeat concealment
D20	camp_security_organization	Camp-Security Organization	watch_rotation,field_fortifications	[]	Organize a temporary force's observation, access and warning responsibilities	Guards, appropriate camp space and shared signals	Improve warning while consuming personnel otherwise available for rest or work
D20	signals_detachment_training	Signals-Detachment Training	agreed_signal_codes,junior_leader_development	[]	Train specialist teams to maintain and relay command information	Signal equipment, practiced teams and actual paths between stations	Support command communication with range, delay and interruption limits
D20	protected_military_communications	Protected Military Communications	signals_detachment_training,cryptographic_identity_management	[]	Apply authenticated communication and accountable access to command traffic	Working links, protected credentials, trained operators and revocation procedures	Reduce some false or exposed messages while key loss and disconnected forces remain vulnerable
D20	campaign_ration_specifications	Campaign-Ration Specifications	food_drying,material_accounting	[]	Specify carried food by usability, keeping quality and the supported force's needs	Qualified food, packaging, inspection and issuing staff	Support predictable provisioning while diets, spoilage and carrying limits still matter
D20	ammunition_distribution_accounts	Ammunition-Distribution Accounts	material_accounting,supply_groups	[]	Track compatible ammunition from stores through transport to actual units	Manufactured stocks, carriers, records and receiving personnel	Prevent paper allocations from being treated as delivered fire capacity
D20	campaign_water_services	Campaign Water Services	clean_water,supply_groups,water_service_inspections	[]	Provide inspected water access and replenishment for a moving force	Known usable sources or delivered water, containers and service personnel	Constrain campaign endurance by real water availability and quality
