field	id	name	foundations	alternative_foundations	mechanism	operating_requirement	consequence
D08	dry_stone_wall_bonding	Dry Stone Wall Bonding	stone_sorting	[]	Arrange interlocking stone courses with evaluated bearing and stability	Suitable stones, skilled labor, sound ground and ongoing inspection	Build bounded walls without requiring mortar while movement and weather remain limits
D08	corbelled_span_construction	Corbelled Span Construction	dry_stone_wall_bonding	[]	Bridge a limited opening by progressively projecting supported masonry courses	Suitable units, stable supports and skilled construction	Create evaluated small spans with geometry and loading constraints
D08	voussoir_arch_assembly	Voussoir Arch Assembly	stone_sorting,masonry_arch_centering	[]	Assemble shaped masonry units over temporary support so compression reaches suitable abutments	Compatible units, centering, qualified supports and skilled masons	Construct load-bearing masonry arches with actual thrust and settlement limits
D08	masonry_arch_centering	Masonry Arch Centering	standard_measures	"[[""joinery"", ""rammed_earth_construction""]]"	Support unfinished arch masonry with qualified removable temporary works	Suitable timber framing or earth support, stable ground, labor and inspection	Carry temporary loads until the completed arch can support its qualified duty
D08	masonry_thrust_assessment	Masonry Thrust Assessment	voussoir_arch_assembly,structural_load_testing	[]	Assess the path of compressive force and lateral thrust in a masonry assembly	Known geometry, load evidence and competent structural interpretation	Evaluate supports without assuming every visually complete arch is stable
D08	masonry_bond_patterns	Masonry Bond Patterns	lime_mortar,stone_sorting	[]	Arrange masonry units and joints to distribute loads through evaluated wall bonds	Suitable units, compatible mortar, masons and inspection	Build coherent walls while workmanship and material condition constrain capacity
D08	mortar_compatibility_assessment	Mortar Compatibility Assessment	lime_mortar,masonry_moisture_management	[]	Match repair mortar behavior to existing masonry and environmental exposure	Characterized masonry, suitable trial mixes and qualified craft assessment	Repair joints without assuming harder mortar is always more compatible
D08	masonry_repointing	Masonry Repointing	mortar_compatibility_assessment	[]	Renew deteriorated exposed mortar joints while preserving sound units and joint function	Compatible mortar, appropriate tools, access and trained masons	Restore selected joint service through real labor and materials
D08	stone_lintel_qualification	Stone Lintel Qualification	stone_sorting	"[[""structural_load_testing"", ""experimental_controls""]]"	Assess a stone member spanning an opening under a defined support and load condition	Suitable sound stone, handling equipment and qualified assessment	Provide bounded straight spans with material flaw and tensile limits
D08	timber_post_beam_connections	Timber Post Beam Connections	joinery,timber_grading	[]	Qualify fitted connections between structural posts and beams for stated loads	Appropriate timber, craft tools, fitted joints and inspection	Transfer supported frame loads with joint slip and decay constraints
D08	timber_splice_connections	Timber Splice Connections	joinery,timber_grading	[]	Join structural timber lengths through an evaluated load-transfer connection	Suitable members, fitted connections and qualified craft work	Extend supported members while connection capacity limits service
D08	timber_lateral_bracing	Timber Lateral Bracing	framed_construction	"[[""structural_load_testing"", ""experimental_controls""]]"	Provide evaluated paths for lateral loads through a timber frame	Qualified braces, connections, foundations and skilled construction	Reduce unsupported frame movement without eliminating storm or seismic risk
D08	engineered_wood_lamination	Engineered Wood Lamination	adhesive_bond_design,timber_grading	[]	Bond graded wood elements into a qualified structural product	Suitable timber, compatible adhesive, pressing equipment and quality checks	Produce supported structural members with moisture and bond-life limits
D08	cross_laminated_timber_panels	Cross Laminated Timber Panels	engineered_wood_lamination	[]	Arrange and bond timber layers in differing directions for evaluated panel behavior	Qualified wood, adhesive, industrial pressing and inspection	Produce panel stock with directional load, fire and moisture constraints
D08	timber_moisture_movement_design	Timber Moisture Movement Design	timber_seasoning	"[[""masonry_moisture_management"", ""experimental_controls""]]"	Accommodate measured wood dimensional changes at building joints and interfaces	Known timber condition, suitable details and qualified installers	Reduce some cracking or binding while moisture movement persists
D08	concrete_curing_control	Concrete Curing Control	concrete_mix_design	[]	Maintain evaluated moisture and thermal conditions during concrete property development	Actual placed concrete, curing resources, time and inspection	Develop supported material properties rather than granting full capacity at placement
D08	concrete_compaction_practice	Concrete Compaction Practice	concrete_mix_design	"[[""concrete_formwork_systems"", ""experimental_controls""]]"	Consolidate placed concrete through a qualified method while avoiding harmful segregation	Compatible mix, accessible forms, equipment or craft labor and inspection	Reduce selected voids while placement conditions still affect quality
D08	reinforced_concrete_bond_anchorage	Reinforced Concrete Bond Anchorage	reinforcement_detailing,stress_strain_relations	[]	Qualify force transfer between embedded reinforcement and surrounding concrete	Appropriate detailing, actual materials, placement quality and engineering review	Develop supported reinforcement action without assuming every embedded bar is anchored
D08	concrete_crack_width_assessment	Concrete Crack Width Assessment	reinforcement_detailing,dimensional_metrology	[]	Measure and interpret cracking against a specified structural and exposure condition	Accessible structure, suitable measurements and competent assessment	Distinguish monitored behavior from damage needing intervention
D08	concrete_corrosion_protection	Concrete Corrosion Protection	reinforcement_detailing,corrosion_rate_measurement	[]	Limit evaluated reinforcement corrosion through compatible design and maintenance measures	Suitable materials, actual exposure controls and inspection	Extend supported service while corrosion risk and repair costs remain
D08	structural_steel_buckling_restraint	Structural Steel Buckling Restraint	structural_steel_connections,column_buckling	[]	Provide qualified restraints to slender steel members under stated loads	Compatible bracing, connections and inspected construction	Support evaluated capacity while local and global instability remain possible
D08	composite_floor_shear_connection	Composite Floor Shear Connection	structural_steel_connections,reinforced_concrete_bond_anchorage	[]	Transfer qualified interface shear between steel support and concrete floor components	Actual connectors, steel, concrete and verified installation	Develop supported composite action within slip and failure limits
D08	structural_load_path_redundancy	Structural Load Path Redundancy	structural_load_testing,construction_sequence_analysis	[]	Evaluate alternative paths for loads after a specified local loss of support	Known structure, qualified analysis and properly built connections	Limit some disproportionate damage without guaranteeing survival of every event
D08	long_span_cable_roofs	Long Span Cable Roofs	building_wind_load_assessment	"[[""steel_cable_bridges"", ""standing_running_rigging""]]"	Support a qualified roof through tensioned cable geometry and stable anchors	Suitable cables, anchors, covering and construction control	Enclose larger spans while wind, pretension and movement constrain use
D08	membrane_roof_prestress	Membrane Roof Prestress	long_span_cable_roofs	"[[""fiber_composite_lamination"", ""plain_weaving""]]"	Qualify tension and form in a flexible roof membrane supported by an evaluated boundary	Compatible membrane, anchors, maintained pretension and inspection	Provide lightweight enclosure with tear, weather and maintenance limits
D08	retaining_wall_drainage	Retaining Wall Drainage	geotechnical_retaining_walls,drainage	[]	Relieve evaluated water pressure behind a retaining structure through maintained drainage paths	Compatible drains, outlets, filter materials and inspection	Reduce supported hydraulic loading while blocked drainage restores risk
D08	excavation_support_staging	Excavation Support Staging	mine_shoring,construction_sequence_analysis	[]	Maintain qualified ground and adjacent-structure support as an excavation changes	Site evidence, temporary works, skilled crews and monitoring	Create usable excavation space without assuming unsupported ground remains stable
D08	foundation_underpinning	Foundation Underpinning	shallow_foundation_assessment,foundation_settlement_monitoring	[]	Transfer existing building loads through a qualified staged foundation intervention	Known loads, site investigation, temporary support and competent crews	Restore or alter support with actual construction risk and disruption
D08	ground_improvement_compaction	Ground Improvement Compaction	shallow_foundation_assessment	"[[""soil_compaction_diagnosis"", ""experimental_controls""]]"	Densify suitable ground through a qualified site-specific compaction process	Appropriate soil, actual equipment and field measurements	Improve evaluated bearing behavior without treating every soil as compactable
D08	ground_grouting_qualification	Ground Grouting Qualification	hydrogeologic_models,shallow_foundation_assessment	[]	Qualify introduction of compatible material into selected ground voids or pathways	Site investigation, suitable materials, specialist equipment and monitoring	Modify supported ground behavior while spread and environmental effects remain constrained
