effect	block_end_year	raw_block_total	scale	running_total	target
adoption_rate	100	0.0053	1.0	0.0053	0.108
adoption_rate	150	0.011	1.0	0.0163	0.1245
adoption_rate	200	0.008	1.0	0.0243	0.141
adoption_rate	250	0.033	1.0	0.0573	0.1575
adoption_rate	300	0.051	1.0	0.1083	0.174
adoption_rate	350	0.01	1.0	0.1183	0.194
adoption_rate	400	0.109	0.878	0.214	0.214
adoption_rate	450	0.137	0.146	0.234	0.234
adoption_rate	500	0.0283	0.777	0.256	0.256
adoption_rate	550	0.1287	0.171	0.278	0.278
adoption_rate	600	0.1493	0.147	0.3	0.3
chemical_control	550	0.1	1.0	0.1	0.384
clay_yield	50	0.05	1.0	0.05	0.225
clay_yield	250	0.02	1.0	0.07	0.3172
clay_yield	300	0.02	1.0	0.09	0.3375
cohesion	50	0.3752	0.533	0.2	0.2
cohesion	100	0.1373	0.175	0.224	0.224
cohesion	150	0.1167	0.171	0.244	0.244
cohesion	200	0.0937	0.213	0.264	0.264
cohesion	250	0.0847	0.213	0.282	0.282
cohesion	300	0.0501	0.359	0.3	0.3
cohesion	350	0.0687	0.252	0.3173	0.3173
cohesion	400	0.052	0.333	0.3347	0.3347
cohesion	450	0.0466	0.372	0.352	0.352
cohesion	500	0.0887	0.18	0.368	0.368
cohesion	550	0.0621	0.258	0.384	0.384
cohesion	600	0.0841	0.19	0.4	0.4
conception_support	50	0.065	1.0	0.065	0.2156
conception_support	100	0.082	1.0	0.147	0.2188
conception_support	150	0.03	1.0	0.177	0.2219
conception_support	450	0.005	1.0	0.182	0.2406
conception_support	500	0.008	1.0	0.19	0.2438
conception_support	550	0.027	1.0	0.217	0.2469
conception_support	600	0.03	1.0	0.247	0.25
construction_rate	50	0.4677	0.289	0.135	0.135
construction_rate	100	0.1795	0.15	0.162	0.162
construction_rate	150	0.0767	0.323	0.1867	0.1867
construction_rate	200	0.081	0.306	0.2115	0.2115
construction_rate	250	0.1202	0.206	0.2362	0.2362
construction_rate	300	0.043	0.576	0.261	0.261
construction_rate	350	0.1395	0.215	0.291	0.291
construction_rate	400	0.333	0.09	0.321	0.321
construction_rate	450	0.175	0.171	0.351	0.351
construction_rate	500	0.1035	0.319	0.384	0.384
construction_rate	550	0.043	0.767	0.417	0.417
construction_rate	600	0.0405	0.815	0.45	0.45
container_capacity	50	0.4	0.413	0.165	0.165
container_capacity	100	0.11	0.3	0.198	0.198
container_capacity	150	0.01	1.0	0.208	0.2282
container_capacity	200	0.02	1.0	0.228	0.2585
container_capacity	250	0.07	0.868	0.2887	0.2887
container_capacity	400	0.02	1.0	0.3087	0.3923
container_capacity	450	0.05	1.0	0.3587	0.429
container_capacity	500	0.02	1.0	0.3787	0.4693
container_capacity	600	0.08	1.0	0.4587	0.55
craft_output	50	0.313	0.431	0.135	0.135
craft_output	100	0.271	0.1	0.162	0.162
craft_output	150	0.157	0.158	0.1867	0.1867
craft_output	200	0.063	0.393	0.2115	0.2115
craft_output	250	0.072	0.344	0.2362	0.2362
craft_output	300	0.079	0.313	0.261	0.261
craft_output	350	0.076	0.395	0.291	0.291
craft_output	400	0.1	0.3	0.321	0.321
craft_output	450	0.184	0.163	0.351	0.351
craft_output	500	0.037	0.892	0.384	0.384
craft_output	550	0.079	0.418	0.417	0.417
craft_output	600	0.069	0.478	0.45	0.45
cultivation_yield	50	0.315	0.476	0.15	0.15
cultivation_yield	100	0.115	0.261	0.18	0.18
cultivation_yield	150	0.282	0.098	0.2075	0.2075
cultivation_yield	200	0.075	0.367	0.235	0.235
cultivation_yield	250	0.02	1.0	0.255	0.2625
cultivation_yield	300	0.045	0.778	0.29	0.29
cultivation_yield	350	0.03	1.0	0.32	0.3233
cultivation_yield	400	0.03	1.0	0.35	0.3567
cultivation_yield	450	0.092	0.435	0.39	0.39
cultivation_yield	500	0.07	0.524	0.4267	0.4267
cultivation_yield	550	0.03	1.0	0.4567	0.4633
cultivation_yield	600	0.085	0.51	0.5	0.5
disaster_resilience	50	0.2086	0.503	0.105	0.105
disaster_resilience	100	0.02	1.0	0.125	0.126
disaster_resilience	150	0.13	0.156	0.1452	0.1452
disaster_resilience	200	0.0575	0.335	0.1645	0.1645
disaster_resilience	250	0.025	0.77	0.1838	0.1838
disaster_resilience	300	0.06	0.321	0.203	0.203
disaster_resilience	350	0.165	0.141	0.2263	0.2263
disaster_resilience	400	0.12	0.194	0.2497	0.2497
disaster_resilience	450	0.0875	0.267	0.273	0.273
disaster_resilience	500	0.0375	0.684	0.2987	0.2987
disaster_resilience	550	0.02	1.0	0.3187	0.3243
disaster_resilience	600	0.07	0.448	0.35	0.35
disaster_risk	50	0.0711	0.844	0.06	0.06
disaster_risk	100	0.0803	0.09	0.0672	0.0672
disaster_risk	150	0.0574	0.105	0.0732	0.0732
disaster_risk	200	0.0396	0.152	0.0792	0.0792
disaster_risk	250	0.0534	0.101	0.0846	0.0846
disaster_risk	300	0.0367	0.147	0.09	0.09
disaster_risk	350	0.0076	0.684	0.0952	0.0952
disaster_risk	400	0.0537	0.097	0.1004	0.1004
disaster_risk	500	0.0228	0.439	0.1104	0.1104
disaster_risk	550	0.0051	0.941	0.1152	0.1152
disaster_risk	600	0.0153	0.314	0.12	0.12
disease_exposure	50	0.347	0.288	0.1	0.1
disease_exposure	100	0.099	0.121	0.112	0.112
disease_exposure	150	0.101	0.099	0.122	0.122
disease_exposure	200	0.036	0.278	0.132	0.132
disease_exposure	250	0.142	0.063	0.141	0.141
disease_exposure	300	0.035	0.257	0.15	0.15
disease_exposure	350	0.192	0.05	0.1596	0.1587
disease_exposure	400	0.054	0.143	0.1673	0.1673
disease_exposure	450	0.211	0.05	0.1779	0.176
disease_exposure	550	0.032	0.441	0.192	0.192
disease_exposure	600	0.03	0.267	0.2	0.2
dry_storage	50	0.25	0.54	0.135	0.135
dry_storage	100	0.02	1.0	0.155	0.162
dry_storage	200	0.05	1.0	0.205	0.2115
dry_storage	250	0.02	1.0	0.225	0.2362
dry_storage	300	0.03	1.0	0.255	0.261
dry_storage	450	0.02	1.0	0.275	0.351
dry_storage	500	0.05	1.0	0.325	0.384
ecological_pressure	50	0.102	1.0	0.102	0.125
