field	id	name	foundations	alternative_foundations	mechanism	operating_requirement	consequence
D05	fuel_moisture_assessment	Fuel Moisture Assessment	standard_measures	"[[""calorimetry"", ""experimental_controls""]]"	Relate measured fuel moisture to usable heating performance and storage behavior	Representative samples, suitable measurement tools and recorded combustion evidence	Distinguish dry fuel energy from mass of wet stock
D05	combustion_air_regulation	Combustion Air Regulation	kiln_control	[]	Adjust combustion air delivery against observed fuel behavior and required heat	Controllable air paths, suitable fuel, operator attention and ventilation	Improve evaluated heat delivery while excess air and incomplete burning remain losses
D05	furnace_draft_design	Furnace Draft Design	combustion_air_regulation	"[[""flow_continuity"", ""kiln_control""]]"	Arrange pressure and flow paths to sustain qualified combustion exhaust movement	Suitable flues, construction materials, inspection and trained operation	Support predictable draft without treating enclosed fire as automatically safe
D05	industrial_burner_atomization	Industrial Burner Atomization	fuel_refining	"[[""compressed_air_systems"", ""pressure_vessels""]]"	Disperse qualified liquid fuel into an evaluated burner flow for controlled combustion	Compatible burner, pumps or atomizing service, fuel and maintained controls	Use selected liquid fuels within measured combustion limits
D05	biomass_gasification	Biomass Gasification	charcoal,gas_composition_analysis	[]	Convert biomass into a characterized combustible gas through controlled partial conversion	Prepared feedstock, qualified reactor, gas cleaning and operators	Supply variable fuel gas while consuming biomass and producing residues
D05	producer_gas_cleanup	Producer Gas Cleanup	biomass_gasification	"[[""textile_filtration_media"", ""gas_composition_analysis""]]"	Remove specified particulates and condensable contaminants from fuel gas	Qualified separation equipment, expendable media, monitoring and residue handling	Protect compatible downstream equipment while gas quality limits use
D05	anaerobic_biogas_generation	Anaerobic Biogas Generation	gas_composition_analysis	"[[""microbial_growth_measurement"", ""fermentation_control""]]"	Capture gas from controlled oxygen-limited decomposition of suitable organic feedstock	Qualified digestion vessel, feedstock handling, temperature control and operators	Supply finite biogas and residual material without treating waste as unlimited fuel
D05	biogas_upgrading	Biogas Upgrading	anaerobic_biogas_generation,gas_composition_analysis	[]	Adjust raw biogas composition to a specified fuel-use requirement	Qualified separation plant, energy, consumables and gas-quality testing	Produce compatible fuel at measured recovery and processing cost
D05	ethanol_fuel_qualification	Ethanol Fuel Qualification	fermentation_control,fractional_distillation	[]	Qualify produced ethanol and blends against a specified engine or burner application	Suitable product, composition testing, compatible storage and actual end-use equipment	Permit selected fuel use without assuming universal engine compatibility
D05	biodiesel_conversion	Biodiesel Conversion	seed_oil_pressing	"[[""industrial_catalyst_design"", ""experimental_controls""]]"	Convert characterized oils or fats into a qualified fuel product through a controlled process	Suitable feedstocks, process chemicals, plant, quality testing and residue handling	Supply evaluated fuel while preserving feedstock and land-use costs
D05	fuel_supply_chain_balancing	Fuel Supply Chain Balancing	calorimetry,freight_route_optimization	[]	Match scheduled fuel delivery and reserve stocks to measured plant consumption	Real suppliers, transport capacity, storage and accountable inventory	Reduce avoidable fuel starvation without inventing reserves
D05	steam_engine_valve_timing	Steam Engine Valve Timing	heat_engine_cycles,crank_linkages	[]	Coordinate steam admission and exhaust with mechanical motion in a qualified engine	Compatible engine components, steam supply, lubrication and fitting skill	Control usable shaft output with measured timing and loss tradeoffs
D05	compound_steam_expansion	Compound Steam Expansion	steam_engine_valve_timing,steam_condensers	[]	Expand steam through successive compatible stages to recover additional useful work	Qualified cylinders or stages, pressure boundaries and maintained steam plant	Improve selected cycle performance at added equipment and maintenance cost
D05	steam_turbine_blading	Steam Turbine Blading	heat_engine_cycles	"[[""impulse_turbines"", ""reaction_turbines"", ""airfoil_wind_rotors""]]"	Transfer steam momentum through evaluated rotating and stationary blade rows	Qualified alloys, precise rotors, steam supply and inspection	Produce shaft power within speed, moisture and thermal limits
D05	steam_turbine_governing	Steam Turbine Governing	steam_turbine_blading,feedback_governors	[]	Regulate turbine admission against measured speed and load changes	Maintained valves, speed sensing, qualified control and independent protection	Match bounded shaft demand without exceeding tested operating limits
D05	heat_recovery_steam_generators	Heat Recovery Steam Generators	boiler_feedwater_treatment	"[[""combined_cycle_generation"", ""thermal_plant_heat_balances""]]"	Recover exhaust heat into controlled steam production through qualified exchanger surfaces	Suitable exhaust source, feedwater, pressure equipment and operators	Reuse available waste heat with pressure-drop and thermal limits
D05	thermal_plant_heat_balances	Thermal Plant Heat Balances	calorimetry,flow_continuity	[]	Account for fuel input, useful work, rejected heat and inventory changes across a plant	Calibrated measurements, defined boundaries and operating records	Expose losses and prevent counting recovered heat twice
D05	cooling_tower_operation	Cooling Tower Operation	thermal_plant_heat_balances,raw_water_quality_sampling	[]	Reject heat through controlled air-water contact with water-quality management	Qualified tower, fans or natural draft, makeup water, treatment and maintenance	Remove bounded heat loads with actual evaporation and weather constraints
D05	air_cooled_heat_rejection	Air Cooled Heat Rejection	thermal_plant_heat_balances,mechanical_building_ventilation	[]	Reject process heat to ambient air through qualified exchanger and airflow paths	Suitable surfaces, airflow equipment, power and maintenance	Reduce direct cooling-water use while ambient conditions constrain output
D05	condensate_return_networks	Condensate Return Networks	steam_condensers,pressure_pipe_jointing	[]	Return suitable recovered condensate while controlling pressure and contamination	Maintained piping, traps, pumps where needed and quality checks	Recover some heat and feedwater without assuming all condensate is reusable
D05	insulated_process_heat_piping	Insulated Process Heat Piping	thermal_storage_tanks,pressure_pipe_jointing	[]	Limit heat loss along qualified process-heat distribution paths	Compatible insulation, pipe supports, inspection and maintained seals	Deliver more of the actual available heat over bounded distances
D05	solar_resource_measurement	Solar Resource Measurement	weather_observation_logs,electrical_measurement	[]	Measure incident solar energy under characterized orientation and weather conditions	Calibrated sensors, maintained observations and site context	Estimate local solar supply without assuming nameplate output day and night
D05	photovoltaic_array_matching	Photovoltaic Array Matching	photovoltaic_power,electrical_measurement	[]	Arrange compatible modules and electrical paths against measured current-voltage behavior	Qualified modules, interconnects, protection and test equipment	Reduce selected mismatch losses while shading and defects remain
D05	maximum_power_point_control	Maximum Power Point Control	photovoltaic_array_matching,feedback_governors	[]	Adjust converter operating point using measured source behavior	Compatible power converter, sensors, control and actual solar input	Recover a larger share of available electrical power within converter limits
D05	solar_tracking_mounts	Solar Tracking Mounts	solar_resource_measurement,gear_ratios	[]	Orient a qualified solar collector through a measured motion schedule or feedback	Maintained mount, drive, controls and wind-compatible structure	Increase suitable collection while consuming drive work and maintenance
D05	photovoltaic_degradation_diagnosis	Photovoltaic Degradation Diagnosis	photovoltaic_array_matching	"[[""semiconductor_reliability_stress_tests"", ""electrical_measurement""]]"	Distinguish selected module degradation from environmental variation through measured evidence	Inspection access, qualified testing and retained baseline records	Target repair or replacement without restoring lost material performance by knowledge alone
D05	wind_farm_wake_planning	Wind Farm Wake Planning	wind_resource_assessment,flow_continuity	[]	Assess interacting rotor wakes and site layout against energy and load evidence	Measured wind field, suitable models, land or sea access and turbine data	Reduce some wake losses with site and uncertainty constraints
D05	wind_rotor_load_monitoring	Wind Rotor Load Monitoring	airfoil_wind_rotors,cyclic_fatigue	[]	Measure and interpret operational loads against qualified rotor lifetime limits	Suitable sensors, structural records, access and inspection crews	Identify damaging operation and schedule actual maintenance
D05	wind_turbine_drivetrain_services	Wind Turbine Drivetrain Services	wind_generator_conversion,lubrication_regimes	[]	Maintain qualified torque-transfer components using condition evidence and repair plans	Compatible parts, lubrication, lifting access and trained crews	Restore available turbine service with real downtime and parts costs
D05	floating_wind_platform_integration	Floating Wind Platform Integration	wind_generator_conversion,marine_anchor_systems	"[[""ship_stability_assessment"", ""ocean_settlement_mooring_integration""]]"	Couple an offshore rotor to a qualified floating support and power-export system	Site-qualified platform, moorings, cable, installation vessels and maintenance access	Use suitable deep-water wind resources within motion and weather limits
D05	hydropower_sediment_management	Hydropower Sediment Management	hydroelectric_generation,sediment_budget_accounts	[]	Manage reservoir and intake sediment against measured capacity and downstream effects	Monitoring, suitable release or removal facilities and operating crews	Preserve selected hydraulic service while handling real sediment consequences
D05	hydropower_environmental_dispatch	Hydropower Environmental Dispatch	hydroelectric_generation,stream_environmental_flows	[]	Schedule generation under measured river-flow and ecological obligations	Actual inflows, controllable plant, agreed constraints and observations	Trade dispatch timing against downstream needs rather than creating extra water
D05	hydraulic_penstock_transients	Hydraulic Penstock Transients	hydroelectric_generation,elastic_deformation	[]	Analyze pressure changes caused by changing flow in a qualified water conduit	Measured pipe and valve properties, analysis and inspected pressure-control equipment	Bound damaging transients while control actions retain operating constraints
