field	id	name	foundations	alternative_foundations	mechanism	operating_requirement	consequence
D13	syllabic_script_encoding	Syllabic Script Encoding	phonetic_notation	"[[""clay_record_tablets"", ""wax_tablet_records"", ""pictographic_records""]]"	Represent recurring spoken syllabic units with agreed written signs	A usable sign inventory, writing medium and trained readers	Encode speech through a syllabic convention without requiring an alphabet
D13	consonantal_script_encoding	Consonantal Script Encoding	phonetic_notation	"[[""clay_record_tablets"", ""wax_tablet_records"", ""pictographic_records""]]"	Represent a language primarily through agreed consonantal signs with context or auxiliary marks	A suitable language convention, medium and trained readers	Support a consonantal writing route with its own ambiguity and teaching needs
D13	alphabetic_script_encoding	Alphabetic Script Encoding	phonetic_notation	"[[""clay_record_tablets"", ""wax_tablet_records"", ""pictographic_records""]]"	Represent consonantal and vocalic distinctions through an agreed segmental sign system	Maintained sign-sound conventions and literacy instruction	Support alphabetic recording without claiming universal superiority over other scripts
D13	written_word_boundary_conventions	Written Word-Boundary Conventions	pictographic_records	[]	Mark or infer conventional boundaries among written units under an agreed reading practice	A shared orthographic convention, actual texts and readers	Reduce specified parsing ambiguity without imposing spaces on every script
D13	punctuation_scope_conventions	Punctuation Scope Conventions	pictographic_records	[]	Use agreed marks or layout to signal grouping, pause and scope in written expression	Maintained conventions and interpretable text production	Express selected structure without eliminating linguistic ambiguity
D13	stable_document_locators	Stable Document Locators		"[[""bookbinding_assemblies"", ""clay_record_tablets""]]"	Assign references that locate passages consistently within a declared document version	Ordered records, maintained version identity and locator conventions	Support precise citation while retaining edition and reordering differences
D13	controlled_subject_vocabularies	Controlled Subject Vocabularies	library_cataloging	[]	Maintain agreed subject terms and relationships for consistent record description	Curators, usable terminology and revision records	Improve cross-record retrieval without enforcing one universal conceptual scheme
D13	archival_appraisal_methods	Archival Appraisal Methods	archival_finding_aids	[]	Assess records for evidentiary and anticipated use value against declared retention constraints	Actual records, accountable reviewers and documented appraisal criteria	Choose preservation priorities without declaring discarded history unimportant
D13	record_retention_schedules	Record Retention Schedules	archival_appraisal_methods	[]	Assign review, retention and authorized disposition conditions to defined record classes	Recognized authority, inventories and preservation or disposal capacity	Manage finite archives without automatic deletion merely because a method is learned
D13	optical_character_recognition	Optical Character Recognition	computer_vision,multilingual_character_encoding	[]	Infer encoded text from measured images of written or printed characters	Actual image capture, qualified character models and correction capacity	Produce a provisional transcription with retained recognition errors
