field	id	name	foundations	alternative_foundations	mechanism	operating_requirement	consequence
D15	organ_function_comparison	Organ Function Comparison	comparative_anatomy	"[[""experimental_controls"", ""clinical_observation_rounds""]]"	Relate observed organ activity to whole-organism functions through controlled comparisons	Suitable observations, qualified research models and recorded evidence	Distinguish structural resemblance from demonstrated function
D15	circulatory_flow_models	Circulatory Flow Models	comparative_anatomy	"[[""clinical_pulse_assessment"", ""experimental_controls""]]"	Relate observed cardiac action and vessel flow to a closed circulation model	Appropriate observations, qualified investigators and consistent records	Support physiological interpretation without granting a cardiac treatment
D15	respiratory_gas_exchange_models	Respiratory Gas Exchange Models	gas_composition_analysis	"[[""cellular_respiration_models"", ""organ_function_comparison""]]"	Relate measured organism gas exchange to transport across respiratory surfaces	Qualified gas measurements, suitable models and controlled conditions	Explain bounded respiratory behavior while measurement scale matters
D15	renal_filtration_models	Renal Filtration Models	organ_function_comparison	"[[""flow_continuity"", ""clinical_chemistry""]]"	Relate renal filtering and selective handling to fluid and solute balance	Appropriate physiological evidence and qualified analysis	Support renal reasoning without providing replacement therapy
D15	endocrine_feedback_models	Endocrine Feedback Models	organ_function_comparison	"[[""metabolic_pathway_analysis"", ""experimental_controls""]]"	Model hormone-mediated coordination and feedback among biological processes	Appropriate biochemical evidence, qualified comparisons and analytical staff	Explain selected regulation without treating a hormone measurement as a complete diagnosis
D15	neural_impulse_observation	Neural Impulse Observation	electrical_measurement	"[[""tissue_histology"", ""comparative_anatomy""]]"	Measure and compare electrical signaling in qualified nervous-tissue observations	Suitable instruments, reviewed research models and trained investigators	Support evidence of neural signaling while recording does not decode all thought
D15	synaptic_transmission_models	Synaptic Transmission Models	neural_impulse_observation	"[[""enzyme_catalysis"", ""gene_expression_measurement"", ""tissue_histology""]]"	Relate communication between nerve cells to converging electrical and molecular evidence	Qualified observations, analytical methods and research staff	Explain specified signaling processes without implying complete behavioral prediction
D15	muscle_contraction_models	Muscle Contraction Models	tissue_histology,mechanical_work_energy	[]	Relate muscle force and shortening to evaluated cellular and molecular processes	Suitable measurement, qualified research models and recorded comparisons	Support mechanical and physiological understanding without automatically increasing strength
D15	homeostatic_control_models	Homeostatic Control Models	endocrine_feedback_models	"[[""feedback_governors"", ""differential_equations""]]"	Describe maintained biological conditions as interacting regulated processes	Repeated physiological measurements and qualified model comparison	Distinguish regulated variation from a fixed ideal value
D15	circadian_rhythm_measurement	Circadian Rhythm Measurement	seasonal_patterns,experimental_controls	[]	Measure recurring biological timing and its relation to environmental cues	Repeated observations, suitable timekeeping and controlled evidence	Characterize rhythms without assuming every organism shares one schedule
D15	plant_transpiration_measurement	Plant Transpiration Measurement	experimental_controls	"[[""photosynthetic_process_analysis"", ""crop_calendars""]]"	Measure water loss through plants in relation to environmental and physiological conditions	Suitable plants, qualified water-loss measurements with adequate references and controlled observations	Inform crop-water models without assuming all water loss causes equal growth
D15	plant_water_potential_models	Plant Water Potential Models	plant_transpiration_measurement,hydrostatic_pressure	[]	Relate plant water movement to evaluated gradients and tissue properties	Appropriate measurement methods, specimens and analysis	Explain water stress and transport within model limits
D15	plant_nutrient_transport	Plant Nutrient Transport	nutrient_response_trials	"[[""metabolic_pathway_analysis"", ""experimental_controls""]]"	Trace uptake and distribution of selected nutrients within suitable plants	Characterized inputs, qualified measurements and controlled plant trials	Support nutrient-use reasoning without creating nutrients
D15	plant_hormone_response_trials	Plant Hormone Response Trials	developmental_stage_series,experimental_controls	[]	Compare growth responses associated with specified endogenous signaling processes	Suitable plants, controlled observations and qualified analytical evidence	Distinguish signaling effects from general growth conditions
D15	seed_embryo_development	Seed Embryo Development	developmental_stage_series,seed_dormancy_trials	[]	Observe seed formation and embryo development across defined stages	Suitable specimens, observation tools and recorded comparisons	Support propagation research without ensuring every seed germinates
D15	plant_pathology_diagnosis	Plant Pathology Diagnosis	biological_classification	"[[""germ_theory"", ""experimental_controls""]]"	Distinguish plausible causes of plant damage using qualified organism and environmental evidence	Appropriate samples, trained investigators and suitable tests	Guide bounded plant-health interpretation without assuming every symptom is infectious
D15	plant_resistance_trait_trials	Plant Resistance Trait Trials	heredity_experiments,plant_pathology_diagnosis	[]	Evaluate inherited plant responses to a defined naturally occurring stress under reviewed trials	Suitable plant lines, qualified contained observations and repeated evidence	Identify context-specific resistance without promising universal immunity
D15	symbiotic_nitrogen_fixation_models	Symbiotic Nitrogen Fixation Models	plant_nutrient_transport	"[[""microbial_community_analysis"", ""microbial_observation""]]"	Relate specific plant-microbe associations to measured nitrogen inputs and exchange	Qualified natural-system observations, analytical methods and plant material	Explain a bounded biological nutrient source without making all crops self-fertilizing
D15	mycorrhizal_exchange_measurement	Mycorrhizal Exchange Measurement	plant_nutrient_transport,microbial_observation	[]	Measure resource exchange in defined plant-fungal associations	Suitable identified organisms, controlled observations and qualified tracing	Support ecological and crop interpretation while benefit depends on conditions
D15	plant_stomatal_response	Plant Stomatal Response	plant_transpiration_measurement,microscopic_cell_observation	[]	Relate observed pore behavior to environmental cues and gas-water exchange	Qualified microscopy, suitable plants and controlled conditions	Explain a specific transport-control mechanism without a general yield bonus
D15	meiotic_recombination_models	Meiotic Recombination Models	chromosome_behavior,genetic_linkage_mapping	[]	Relate chromosome exchange and segregation to observed inheritance combinations	Qualified cytological and inheritance evidence	Explain variation patterns without controlling every offspring outcome
D15	sex_linked_inheritance_models	Sex Linked Inheritance Models	chromosomal_inheritance,heredity_experiments	[]	Relate specified trait transmission to sex-chromosome inheritance in the studied organism	Reliable pedigree evidence and qualified chromosome observations	Interpret bounded inheritance patterns without applying one species model universally
D15	cytoplasmic_inheritance_models	Cytoplasmic Inheritance Models	heredity_experiments,microscopic_cell_observation	[]	Explain selected inheritance patterns through transmitted cellular components beyond nuclear chromosomes	Appropriate cross-generation observations and cellular evidence	Distinguish organelle-related transmission from ordinary nuclear models
D15	quantitative_trait_variance	Quantitative Trait Variance	population_genetics,statistical_inference	[]	Partition observed trait variation under an explicit inheritance and environment model	Representative phenotype and relationship data with qualified analysis	Estimate conditional contributions without equating heritability with immutability
D15	population_structure_correction	Population Structure Correction	population_genetics,statistical_sampling	[]	Account for relatedness and sampling structure in comparisons of inherited variation	Representative data, suitable models and independent evaluation	Reduce specified confounding without guaranteeing causal inference
D15	genome_wide_association_analysis	Genome Wide Association Analysis	genomic_variant_analysis,population_structure_correction	[]	Compare many measured variants with a defined phenotype under controlled statistical testing	Suitable cohort data, consent where relevant, computation and validation	Identify supported associations without declaring every linked marker causal
D15	causal_variant_evidence_review	Causal Variant Evidence Review	genome_wide_association_analysis,gene_expression_measurement	[]	Combine independent evidence to assess whether a candidate variant contributes to a specified effect	Qualified observational and functional evidence with accountable review	Narrow causal hypotheses while retaining unresolved mechanisms
D15	phylogenetic_relationship_inference	Phylogenetic Relationship Inference	biological_classification	"[[""sequence_alignment"", ""comparative_anatomy""]]"	Infer evolutionary relationships from declared character or sequence evidence and models	Representative identified samples, suitable computation and uncertainty assessment	Compare supported ancestry hypotheses without equating similarity with certainty
D15	molecular_clock_calibration	Molecular Clock Calibration	phylogenetic_relationship_inference,sequence_alignment	"[[""radiometric_geochronology"", ""heredity_experiments""]]"	Relate molecular change to time using explicit calibration evidence and model assumptions	Suitable sequence evidence, independent time constraints and analysis	Estimate lineage timing with interval uncertainty rather than exact universal rates
D15	comparative_genome_synteny	Comparative Genome Synteny	genome_assembly,sequence_alignment	[]	Compare conserved order and rearrangement of genomic regions among qualified assemblies	Compatible annotated assemblies and suitable analysis	Support evolutionary interpretation while assembly artifacts remain possible
D15	chromatin_organization_models	Chromatin Organization Models	chromosome_behavior	"[[""protein_structure_analysis"", ""biological_staining""]]"	Relate DNA-protein organization to observed accessibility and cellular state	Qualified structural and molecular evidence with trained interpretation	Explain selected genome packaging behavior without changing the DNA sequence by definition
D15	epigenetic_state_measurement	Epigenetic State Measurement	chromatin_organization_models,gene_expression_measurement	[]	Measure specified DNA-associated or chromatin marks and compare their relation to expression	Qualified assays, representative biological material and analytical controls	Characterize states without assuming every mark is causal or inherited across generations
D15	transcription_regulation_models	Transcription Regulation Models	genetic_code_analysis,gene_expression_measurement	[]	Relate production of RNA to evaluated regulatory interactions and conditions	Suitable molecular evidence, controlled comparisons and research staff	Explain selected expression changes rather than infer protein output directly from DNA alone
D15	rna_processing_models	Rna Processing Models	transcription_regulation_models,nucleic_acid_characterization	[]	Relate precursor RNA to observed processed products under defined cellular conditions	Qualified RNA measurements and comparative evidence	Explain alternative processing without treating every transcript as the same product
D15	translation_control_models	Translation Control Models	genetic_code_analysis	"[[""protein_separation"", ""gene_expression_measurement""]]"	Relate protein synthesis rates to evaluated translation machinery and regulation	Suitable molecular measurements and qualified models	Distinguish protein-production control from transcript abundance
D15	protein_turnover_measurement	Protein Turnover Measurement	protein_separation,metabolic_pathway_analysis	[]	Measure synthesis and removal of selected proteins over defined observation intervals	Qualified time-series measurements and controlled evidence	Estimate dynamic protein abundance without treating it as static expression
D15	membrane_transport_models	Membrane Transport Models	cell_theory,electrochemical_cells	[]	Relate selective membrane movement to gradients and qualified transport mechanisms	Suitable cellular evidence, measurement and analysis	Explain bounded material exchange rather than assume cells freely admit every solute
D15	ion_channel_recording	Ion Channel Recording	membrane_transport_models,electrical_measurement	[]	Measure qualified electrical events associated with membrane conductance	Suitable recording equipment, reviewed research material and trained investigators	Support specific transport models without directly proving organism-level treatment
D15	cell_adhesion_models	Cell Adhesion Models	tissue_histology	"[[""protein_structure_analysis"", ""experimental_controls""]]"	Relate cellular attachment and tissue organization to evaluated molecular interactions	Qualified observations, appropriate specimens and analysis	Explain selected tissue behavior without automatically engineering a functional organ
D15	programmed_cell_death_models	Programmed Cell Death Models	cell_division_observation	"[[""gene_expression_measurement"", ""developmental_stage_series""]]"	Distinguish regulated cellular death processes through converging evidence	Qualified observations and controlled biological comparisons	Support developmental and disease reasoning without a guaranteed intervention
D15	biological_fluorescence_imaging	Biological Fluorescence Imaging	biological_staining,experimental_optics	[]	Use qualified emitted-light contrast to locate selected biological features	Appropriate optics, characterized labels, specimens and interpretation	Observe specified features with photobleaching and labeling limits
D15	confocal_biological_imaging	Confocal Biological Imaging	biological_fluorescence_imaging,laser_light_generation	[]	Reject selected out-of-focus signal to reconstruct qualified optical sections	Compatible microscope, controlled scanning, samples and analysis	Improve supported spatial discrimination while depth and light exposure constrain observations
D15	live_cell_time_lapse	Live Cell Time Lapse	cell_culture_methods,microscopic_cell_observation	[]	Record qualified living-cell changes over time while monitoring observation effects	Suitable culture support, stable imaging and tracked conditions	Reveal dynamics that fixed snapshots miss without assuming imaging is harmless
D15	biological_electron_microscopy	Biological Electron Microscopy	electron_physics,vacuum_pumps	[]	Use qualified electron imaging to examine prepared biological structure	Appropriate instrument, prepared specimens, utilities and trained interpretation	Resolve selected structure while preparation artifacts and sampling remain
D15	cryogenic_molecular_imaging	Cryogenic Molecular Imaging	biological_electron_microscopy,protein_structure_analysis	[]	Reconstruct qualified molecular structure from cryogenically preserved specimens and measured images	Suitable instrument, cryogenic preparation, computation and expert review	Infer selected structures with uncertainty rather than directly photograph every atom
D15	flow_cytometric_measurement	Flow Cytometric Measurement	biological_fluorescence_imaging,flow_continuity	[]	Measure qualified optical properties of individual suspended cells in a controlled stream	Appropriate instrument, prepared samples and calibrated analysis	Compare cell populations while gating and sample handling affect results
D15	biological_electrophoretic_separation	Biological Electrophoretic Separation	protein_separation,electrical_measurement	[]	Separate qualified biological molecules by evaluated migration in an electrical field	Suitable apparatus, media, power and analytical controls	Resolve specified molecular fractions without identifying them from position alone
D15	biological_chromatographic_separation	Biological Chromatographic Separation	protein_separation	"[[""chemical_distillation"", ""experimental_controls""]]"	Separate selected biological molecules through differing interactions with qualified stationary and mobile phases	Compatible media, equipment, samples and analytical staff	Recover or compare defined fractions with yield and purity tradeoffs
D15	biological_mass_spectrometry	Biological Mass Spectrometry	spectroscopy,electron_physics	[]	Infer molecular mass-related information from qualified ion measurements of biological samples	Suitable instrument, preparation, reference evidence and expert analysis	Characterize selected molecules with detection and interpretation limits
D15	metabolomic_profile_analysis	Metabolomic Profile Analysis	biological_mass_spectrometry,metabolic_pathway_analysis	[]	Compare measured small-molecule profiles under controlled sampling and analytical conditions	Representative specimens, qualified measurement and computation	Reveal supported metabolic differences without treating every association as mechanism
D15	stable_isotope_biological_tracing	Stable Isotope Biological Tracing	metabolic_pathway_analysis,spectroscopy	[]	Follow a qualified stable-isotope label to infer selected material transformations	Suitable benign labeled material, analytical equipment and reviewed observations	Trace specific pathways while label dilution and model assumptions limit inference
D15	nucleic_acid_amplification_measurement	Nucleic Acid Amplification Measurement	dna_replication_models,nucleic_acid_characterization	[]	Use qualified amplification to detect or compare a defined nucleic-acid target	Appropriate analytical reagents, instruments, controls and trained laboratory staff	Improve bounded target detection while contamination and interpretation limits remain
D15	rna_sequence_quantification	Rna Sequence Quantification	dna_sequence_reading,rna_processing_models	[]	Estimate RNA representation from a qualified sequencing and sampling workflow	Suitable samples, analytical instruments, computation and controls	Compare expression evidence while sampling and processing bias remain
D15	environmental_dna_surveys	Environmental Dna Surveys	nucleic_acid_amplification_measurement,ecological_detection_models	[]	Infer supported organism presence from qualified environmental genetic evidence	Representative samples, controls, analytical capacity and reference data	Extend biodiversity observation without equating DNA detection with a living local population
D15	multiomic_evidence_integration	Multiomic Evidence Integration	metabolomic_profile_analysis,rna_sequence_quantification	[]	Compare different molecular measurement layers while retaining their distinct errors and scales	Matched qualified data, computation and independent interpretation	Support converging hypotheses without assuming more data ensures causality
D15	lineage_resolved_cell_models	Lineage Resolved Cell Models	single_cell_analysis,developmental_stage_series	[]	Infer or track qualified relationships among observed cell states over time	Appropriate observations, identifiers where suitable and uncertainty-aware analysis	Study cell development without treating computational trajectories as proven ancestry
D15	organ_on_chip_models	Organ On Chip Models	cell_culture_methods,microfluidic_channel_design	[]	Maintain selected tissue functions in a qualified small-scale flow device for bounded experiments	Suitable cells, device, media, pumps and characterization	Model specific responses without replacing a whole organism or proving clinical efficacy
D15	tissue_perfusion_models	Tissue Perfusion Models	tissue_scaffold_engineering,flow_continuity	[]	Relate delivered fluid transport to evaluated exchange needs in a tissue model	Qualified constructs, flow equipment, measurements and analysis	Bound tissue-support conditions without creating a functional transplant
D06	microfluidic_channel_design	Microfluidic Channel Design	flow_continuity	"[[""glass_tube_drawing"", ""photolithographic_patterning""]]"	Qualify small-channel geometry and interfaces against measured fluid transport and surface effects	Suitable fabricated channels, compatible fluids, connection equipment and qualified measurements	Support bounded small-volume handling with pressure, wetting and contamination constraints
