field	id	name	foundations	alternative_foundations	mechanism	operating_requirement	consequence
D15	comparative_anatomy	Comparative Anatomy	herbal_classification,habitat_observation_records	[]	Compare the arrangement and form of structures across organisms	Identified specimens, observation tools and trained interpreters	Recognize shared and differing biological structures without assuming identical function
D15	biological_classification	Biological Classification	herbal_classification,habitat_observation_records	[]	Group organisms using explicit diagnostic traits and revisable relationships	Specimen collections, descriptions and taxonomic expertise	Make observations about an organism comparable across observers
D15	biological_reference_collections	Biological Reference Collections	biological_classification,formal_archives	[]	Retain identified examples linked to collection and observation records	Curators, storage and reliable specimen provenance	Permit later checking of identification and description
D15	microscopic_cell_observation	Microscopic Cell Observation	compound_microscopy,specimen_slide_mounting	[]	Observe recurring small structures in suitable biological preparations	Microscopes, prepared samples and trained observers	Distinguish cellular structures from unaided gross anatomy
D15	cell_theory	Cell Theory	microscopic_cell_observation,comparative_anatomy	[]	Relate organism structure and growth to cells and their continuity	Comparative observations and repeatable evidence	Provide a foundation for interpreting tissues as organized cellular systems
D15	cell_division_observation	Cell-Division Observation	microscopic_cell_observation,experimental_controls	[]	Compare successive cellular states during growth and reproduction	Suitable samples, observation records and adequate resolving power	Recognize repeatable division patterns without yet explaining inheritance
D15	tissue_histology	Tissue Histology	cell_theory,specimen_slide_mounting	[]	Compare organized cellular patterns within different tissues	Prepared sections, optical contrast and qualified interpretation	Relate tissue organization to observed function or abnormality
D15	biological_staining	Biological Staining	microscopic_cell_observation,chemical_distillation	[]	Use selective contrast to distinguish structures in biological preparations	Qualified stains, preparation equipment and controlled comparisons	Reveal some structures while introducing preparation artifacts
D15	developmental_stage_series	Developmental Stage Series	comparative_anatomy	[]	Compare organisms at successive stages of development	Identified specimens or observations and consistent staging	Trace changes in form without equating different individuals with one continuous observation
D15	heredity_experiments	Heredity Experiments	progeny_rows,controlled_pollination	[]	Compare trait patterns across controlled parentage and successive generations	Breeding records, sufficient offspring and suitable traits	Infer inheritance patterns while separating some environmental effects
D15	segregation_models	Segregation Models	heredity_experiments,probability_theory	[]	Model how discrete inherited factors can separate and recombine across offspring	Controlled crosses, counts and model checking	Predict specified inheritance ratios with explicit assumptions
D15	chromosome_behavior	Chromosome Behavior	cell_division_observation,biological_staining	[]	Track stained nuclear structures through cell division	Suitable preparations, microscopy and repeated observations	Link visible chromosome movements to cellular reproduction
D15	chromosomal_inheritance	Chromosomal Inheritance	chromosome_behavior,segregation_models	[]	Relate patterns of inherited traits to chromosome transmission	Cytological and breeding evidence	Connect a physical cellular structure with hereditary behavior
D15	genetic_linkage_mapping	Genetic Linkage Mapping	chromosomal_inheritance,statistical_inference	[]	Infer relative marker relationships from non-independent inheritance	Mapped crosses, marker records and statistical analysis	Estimate genetic relationships without directly reading DNA sequence
D15	population_genetics	Population Genetics	heredity_experiments,probability_theory,statistical_sampling	[]	Model changes in inherited variants under reproduction, migration and selection	Population observations, genetic evidence and explicit assumptions	Distinguish several processes that can change variant frequencies
D15	evolutionary_selection_models	Evolutionary Selection Models	habitat_observation_records	"[[""mass_seed_selection"", ""selective_herd_breeding"", ""population_genetics""]]"	Relate differential survival and reproduction to population change	Longitudinal evidence and measured environmental conditions	Explain context-dependent trait changes without implying directed progress
