field	id	name	foundations	alternative_foundations	mechanism	operating_requirement	consequence
D01	root_crop_propagation	Root-Crop Propagation	seed_selection	[]	Replant selected vegetative portions that retain viable growing tissue	Suitable plants, healthy planting material and prepared ground	Multiply a crop without relying on seed reproduction
D01	stem_cutting_propagation	Stem-Cutting Propagation	root_crop_propagation	[]	Induce selected stem portions to form roots	Suitable species, moisture control and healthy parent material	Multiply selected plants while also carrying some parent-associated disease risks
D01	fruit_tree_grafting	Fruit-Tree Grafting	hafted_tools	"[[""stem_cutting_propagation"", ""root_crop_propagation""]]"	Join compatible living tissues so a selected shoot grows on a rootstock	Compatible plants, skilled workers and protected unions	Combine selected shoot traits with a different root system
D01	orchard_pruning	Orchard Pruning	fruit_tree_grafting,seasonal_patterns	[]	Remove selected growth to manage canopy shape and fruiting structure	Trained labor, tools and knowledge of the crop's growth cycle	Change light distribution and harvest access with species-dependent yield effects
D01	orchard_pollination_planning	Orchard Pollination Planning	controlled_pollination,orchard_pruning	[]	Place compatible flowering plants and pollinators within effective reach	Flowering overlap, pollinator habitat and suitable weather	Improve fruit set where pollination is limiting
D01	vegetative_stock_sanitation	Vegetative-Stock Sanitation	stem_cutting_propagation,case_records	[]	Separate healthy propagation sources from suspect material and track their descendants	Inspected mother stocks, separate handling and records	Reduce propagation of observed disease without guaranteeing pathogen freedom
D01	seed_dormancy_trials	Seed-Dormancy Trials	germination_trials	[]	Compare treatments that release dormant seeds from different species	Identified seed lots, controls and suitable trial conditions	Distinguish dormant viable seed from dead seed
D01	vernalization_trials	Vernalization Trials	seed_dormancy_trials,crop_calendars	[]	Test whether a period of cold changes later flowering behavior	Controlled exposure, crop observations and comparison groups	Match planting schedules to a crop's cold requirement
D01	photoperiod_crop_trials	Photoperiod Crop Trials	field_variety_trials,crop_calendars	[]	Compare flowering and growth under different day lengths	Recorded light periods and comparable crop conditions	Identify varieties suited to a region's seasonal light cycle
D01	hybrid_seed_production	Hybrid Seed Production	controlled_pollination,progeny_rows	[]	Maintain selected parent lines and cross them to produce a defined hybrid generation	Isolated parents, controlled pollen transfer and quality checks	Supply hybrid seed while retaining dependence on maintained parent lines
D01	seed_lot_identity	Seed-Lot Identity	seed_reserves,cargo_seals	[]	Preserve the identity and provenance of seed through storage and distribution	Labeled containers, custody records and separate handling	Trace mixed or unsuitable seed to its source
D01	seed_banks	Seed Banks	seed_lot_identity,germination_trials	"[[""seed_reserves"", ""mechanical_refrigeration""]]"	Preserve diverse seed accessions and periodically test viability	Suitable storage, regeneration plots and curators	Retain recoverable crop diversity with finite storage and regeneration costs
D01	raised_bed_cultivation	Raised-Bed Cultivation	drainage,intensive_gardens	[]	Elevate growing soil above surrounding paths or waterlogged ground	Earthmoving labor, soil and maintained drainage	Improve root-zone drainage while increasing construction and watering needs
D01	terrace_cultivation	Terrace Cultivation	structural_load_testing	"[[""contour_cultivation"", ""geometric_survey""]]"	Create supported level growing surfaces on sloping land	Retaining structures, drains and continuing maintenance	Reduce slope runoff while introducing failure risks and construction costs
D01	flood_recession_farming	Flood-Recession Farming	seasonal_patterns,soil_moisture_scheduling	[]	Plant into moist exposed ground after predictable inundation recedes	Suitable floodplain, timing knowledge and access to recession land	Use retained moisture while remaining exposed to flood timing uncertainty
D01	relay_cropping	Relay Cropping	crop_calendars,row_spacing_trials	[]	Establish a following crop before the previous crop is fully removed	Compatible crop timing, labor and adequate water	Overlap growing periods while increasing competition and harvest complexity
D01	mixed_species_cropping	Mixed-Species Cropping	row_spacing_trials,field_variety_trials	[]	Grow complementary species together and compare their joint performance	Compatible plants, spatial planning and separate harvest methods	Diversify output with context-dependent competition and labor costs
D01	draft_ploughing	Draft Ploughing	pack_animals,hafted_tools	[]	Use trained draft animals to pull a soil-working implement	Animals, harness, implement and feed	Increase worked area where soil and traction permit
D01	mouldboard_ploughs	Mouldboard Ploughs	draft_ploughing,forge_welding	[]	Lift and turn a soil slice with a shaped working surface	Suitable metalwork, traction and replaceable wearing parts	Bury surface residues while increasing disturbance and draft demand
D01	field_harrowing	Field Harrowing	draft_ploughing,seedbed_firming	[]	Break clods and level the seedbed with repeated shallow soil contact	Harrow, traction and suitable soil moisture	Prepare a finer seedbed at added labor and soil disturbance
D01	mechanical_seed_drills	Mechanical Seed Drills	gear_ratios,sowing_depth_trials,row_spacing_trials	[]	Meter seed into prepared rows at a controlled rate and depth	Metering mechanism, openers, traction and calibrated seed supply	Reduce placement variation without removing soil and crop constraints
D01	threshing_frames	Threshing Frames	grain_milling,joinery	[]	Separate grain from harvested heads through repeated mechanical impact or rubbing	Harvested crop, working surface and labor	Recover grain while risking breakage and contamination if poorly operated
D01	winnowing_practice	Winnowing Practice	threshing_frames,seasonal_patterns	[]	Use differences in aerodynamic behavior to separate grain from lighter residues	Suitable airflow, containers and repeated handling	Clean threshed grain while losing some material
D01	mechanical_reapers	Mechanical Reapers	crank_linkages,gear_ratios,hardened_edges	[]	Drive a cutting mechanism across standing crops	Traction, cutters, maintenance and suitable crop conditions	Reduce cutting labor while requiring coordinated collection
D01	combine_harvesters	Combine Harvesters	mechanical_reapers,threshing_frames,winnowing_practice	[]	Combine cutting, threshing and separation on one mobile machine	Propulsion, calibrated mechanisms, fuel and repair capacity	Reduce harvest handling steps within crop and terrain limits
D01	grain_moisture_testing	Grain-Moisture Testing	measurement_uncertainty,precision_thermometry	[]	Estimate grain water content using a calibrated comparison method	Representative sampling and calibrated instruments	Distinguish grain suitable for storage from grain needing drying
D01	forced_air_grain_drying	Forced-Air Grain Drying	grain_moisture_testing,electric_motors	[]	Pass controlled airflow through grain to remove moisture	Fans, energy, air passages and monitoring	Dry harvests faster while consuming energy and risking uneven treatment
D01	roller_grain_milling	Roller Grain Milling	grain_milling,precision_machinery	[]	Pass grain through adjustable rollers to control size reduction	Rollers, drive power and measured gaps	Produce controlled fractions with machinery and maintenance costs
D01	flour_sifting	Flour Sifting	grain_milling,woven_carriers	[]	Separate milled particles through meshes of defined opening size	Screens, labor or drive power and clean handling	Produce selected flour fractions while retaining separated bran and coarse material
D01	grain_malting	Grain Malting	germination_trials	"[[""food_drying"", ""forced_air_grain_drying""]]"	Allow controlled germination before arresting growth by drying	Suitable grain, moisture, temperature and drying capacity	Develop useful grain enzymes while consuming some stored reserves
D01	dough_leavening	Dough Leavening	fermentation_control,flour_sifting	[]	Retain fermentation gases within a prepared dough structure	Flour, water, a maintained ferment and suitable conditions	Change texture and processing time without increasing available food mass
D01	controlled_baking	Controlled Baking	kiln_control,dough_leavening	[]	Apply a repeatable heating schedule to prepared food	Oven, fuel, monitoring and trained operators	Produce more consistent cooked food with fuel and moisture losses
D01	edible_oil_clarification	Edible-Oil Clarification	seed_oil_pressing,commodity_quality_grading	[]	Remove suspended solids and unwanted entrained moisture from a suitable expressed food oil using controlled settling and filtration	Food-suitable oil, clean settling vessels, filtration media and quality checks	Produce clarified oil and separated residues without repeating the oil-pressing discovery
