field	id	name	foundations	alternative_foundations	mechanism	operating_requirement	consequence
D05	ember_tending	Ember Tending		[]	Maintain a living ember bed through fuel placement, shelter and controlled air	Existing natural or transferred fire, dry combustible stock, sheltered site and repeated attention	Keep usable fire between cooking or heating tasks; unattended or exhausted embers die
D05	friction_fire_ignition	Friction Fire Ignition		[]	Concentrate rubbing work into an ember and transfer it into prepared tinder	Suitable dry wood, tinder, physical effort and practiced handling	Recreate fire without a surviving flame; wet material and poor technique can defeat ignition
D05	percussion_fire_ignition	Percussion Fire Ignition		[]	Strike compatible materials to produce hot particles that ignite receptive tinder	Spark-producing stone or qualified metal pairs, prepared tinder and repeated trials	Provide an alternative ignition route whose material requirements differ from friction
D05	hearth_heat_retention	Hearth Heat Retention		"[[""ember_tending"", ""friction_fire_ignition"", ""percussion_fire_ignition""]]"	Arrange a contained hearth and refractory surrounding mass to reduce unwanted heat loss	Suitable non-spalling hearth material, fuel, air supply and smoke escape	Increase useful local heating per fuel load without removing combustion losses
D05	fuel_air_drying	Fuel Air Drying		[]	Expose split or loose fuel to moving air while excluding rain and ground moisture	Harvested fuel, space, shelter, handling and drying time under suitable weather	Reduce water carried into the fire; weather and stock thickness limit throughput
D05	hydrocarbon_catalytic_cracking	Hydrocarbon Catalytic Cracking	fuel_refining,industrial_catalyst_design	[]	Break heavy hydrocarbon molecules into a controlled distribution of lighter products	Qualified feed, catalyst, heat, separation and coke handling	Change fuel yields while consuming feed and catalyst capacity; products require qualification
D05	hydrocarbon_hydrotreating	Hydrocarbon Hydrotreating	fuel_refining,industrial_catalyst_design	[]	React selected contaminants and unsaturated compounds with supplied hydrogen	Compatible reactor, hydrogen, catalyst, heat and off-gas treatment	Produce a cleaner qualified stream with hydrogen consumption and residual waste
D05	steam_methane_reforming	Steam Methane Reforming	industrial_catalyst_design,industrial_heat_exchangers	[]	Convert methane and steam into a hydrogen-bearing synthesis gas using supplied heat	Methane, water, catalyst, heat source and gas separation	Supply hydrogen feedstock with carbon-bearing byproducts and conversion losses
D05	water_gas_shift_conversion	Water Gas Shift Conversion	industrial_catalyst_design,gas_composition_analysis	[]	Convert carbon monoxide and steam toward hydrogen and carbon dioxide	Suitable feed gas, steam, catalyst and temperature control	Adjust synthesis gas composition; does not remove downstream separation work
D05	synthetic_hydrocarbon_synthesis	Synthetic Hydrocarbon Synthesis	industrial_catalyst_design,gas_composition_analysis	[]	Assemble hydrocarbons from conditioned synthesis gas over a catalyst	Qualified gas supply, catalyst, pressure equipment, heat removal and product separation	Make liquid fuel or chemical feed from an alternative carbon source at finite conversion yield
D05	catalytic_methanation	Catalytic Methanation	industrial_catalyst_design,gas_composition_analysis	[]	React hydrogen with carbon oxides to produce methane and water	Hydrogen, carbon-bearing feed, catalyst, cooling and gas qualification	Store supplied chemical energy in methane with conversion losses and carbon accounting
D05	ammonia_fuel_conversion	Ammonia Fuel Conversion	combustion_air_regulation,gas_composition_analysis	[]	Qualify ammonia combustion and control its distinct ignition and emissions behavior	Ammonia delivery, compatible burner, ignition support, ventilation and exhaust treatment	Use ammonia as a fuel carrier only where measured usable output and emissions permit
D05	ammonia_hydrogen_release	Ammonia Hydrogen Release	industrial_catalyst_design,gas_composition_analysis	[]	Dissociate supplied ammonia and separate a qualified hydrogen stream	Ammonia, heat, catalyst and residual-ammonia removal	Recover hydrogen for compatible consumers while paying conversion and purification costs
D05	alkaline_water_electrolysis	Alkaline Water Electrolysis	water_electrolysis	[]	Use an alkaline electrolyte and separated electrodes for repeated water splitting	Water, compatible electrolyte, electrodes, separator, electricity and gas handling	Produce separated hydrogen and oxygen with measured electrical consumption
D05	polymer_electrolyte_water_splitting	Polymer Electrolyte Water Splitting	water_electrolysis,membrane_transport_models	[]	Conduct protons through a qualified polymer membrane during water splitting	Purified water, suitable membrane and catalysts, electricity and pressure management	Offer a distinct electrolyzer operating envelope with material and lifetime constraints
D05	solid_oxide_water_splitting	Solid Oxide Water Splitting	water_electrolysis,ceramic_sintering_kinetics	[]	Transport oxygen ions through hot ceramic electrolyte to split supplied steam	Qualified ceramic cells, steam, high-temperature heat, electricity and thermal cycling control	Substitute some electrical demand with supplied heat without treating that heat as free
D05	thermochemical_water_splitting	Thermochemical Water Splitting	thermochemical_heat_storage,gas_composition_analysis	[]	Use a regenerating reaction cycle driven by external heat to separate water products	Demonstrated cycle chemistry, high-grade heat, corrosion-resistant equipment and separation	Investigate heat-driven hydrogen production subject to measured cycle closure and losses
D05	lithium_intercalation_cells	Lithium Intercalation Cells	electrochemical_cells,porous_battery_separators	[]	Move lithium ions reversibly between qualified host electrodes	Compatible electrodes, dry controlled assembly, electrolyte, separator and charge limits	Create rechargeable cells with chemistry-specific capacity, degradation and fault behavior
D05	sodium_intercalation_cells	Sodium Intercalation Cells	electrochemical_cells,porous_battery_separators	[]	Move sodium ions between qualified host structures during cycling	Compatible sodium-host electrodes, electrolyte, separator and controlled formation	Provide a different material supply route for rechargeable storage; not a drop-in lithium replacement
D05	solid_electrolyte_cells	Solid Electrolyte Cells	electrochemical_cells	"[[""material_phase_diagrams"", ""membrane_transport_models""]]"	Conduct ions through a solid separator while maintaining electrode contact	Qualified electrolyte, interfaces, pressure or fabrication control and cycling evidence	Investigate cell designs constrained by contact loss, defects and measured conductivity
D05	metal_air_storage	Metal Air Storage	electrochemical_cells,gas_composition_analysis	[]	Couple oxidation of a supplied metal with an air electrode and a defined regeneration route	Metal, electrolyte, air management and either external regeneration or qualified recharge	Use metal inventory as an energy carrier with explicit replenishment and air-electrode limits
D05	electrochemical_double_layer_storage	Electrochemical Double Layer Storage	electrochemical_cells,foil_capacitors	[]	Store charge at high-area electrode-electrolyte interfaces	Porous electrodes, compatible electrolyte, separator, voltage limits and balancing	Supply short-duration high-power buffering with leakage and limited stored energy
D05	liquid_air_energy_storage	Liquid Air Energy Storage	cryogenic_air_separation,heat_engine_cycles	[]	Liquefy supplied air during charging and recover work during controlled warming and expansion	Electricity, compression and cryogenic equipment, thermal reservoirs and turbines	Shift energy through a cryogenic inventory with substantial heat-management and round-trip losses
D05	solid_mass_gravity_storage	Solid Mass Gravity Storage	mechanical_work_energy,mechanical_clutches	[]	Raise a controlled solid mass and recover work through its descent	Mass, elevation, load-rated structures, lifting equipment and brakes	Store finite potential energy separately from power rating; structure and travel bound capacity
D05	tidal_stream_generation	Tidal Stream Generation	reaction_turbines,tidal_harmonic_analysis	[]	Extract work from reversing tidal currents through a submerged rotor	Measured currents, foundations or moorings, marine service access and electrical connection	Generate site-dependent periodic power while accounting for wakes and ecological disturbance
D05	wave_oscillating_water_columns	Wave Oscillating Water Columns	mechanical_work_energy,hydrostatic_pressure	[]	Use wave motion in a chamber to drive oscillating air through a suitable turbine	Wave resource, chamber, compatible turbine, mooring or shoreline works and storm survival	Convert a portion of wave energy with highly variable output and marine maintenance
D05	wave_point_absorbers	Wave Point Absorbers	mechanical_oscillation	"[[""electrical_generators"", ""mechanical_work_energy""]]"	Convert relative motion between floating and reacting bodies into useful power	Qualified buoy, reaction system, power takeoff, mooring and sea access	Harvest local wave motion subject to stroke, fatigue, storm and conversion limits
D05	ocean_thermal_energy_conversion	Ocean Thermal Energy Conversion	heat_engine_cycles,industrial_heat_exchangers	[]	Drive a cycle between sufficiently different ocean temperatures	Warm and cold water access, large heat exchangers, pumping and marine structures	Produce net power only after subtracting pumping and auxiliary loads from low-gradient output
