field	id	name	foundations	alternative_foundations	mechanism	operating_requirement	consequence
D04	mineral_pigment_preparation	Mineral-Pigment Preparation	stone_sorting,clay_testing	[]	Separate and prepare mineral colorants with observed consistency and compatibility	Suitable mineral sources, grinding tools and handling knowledge	Supply durable colors whose suitability depends on the surface and binder
D04	ore_comminution	Ore Comminution	ore_assaying,wedges_and_levers	[]	Reduce ore particle size to expose useful material for subsequent separation	Suitable breaking or grinding equipment, energy and wear parts	Prepare feedstock at a cost in energy, dust and equipment wear
D04	gravity_mineral_concentration	Gravity Mineral Concentration	ore_comminution,mineral_specific_gravity	[]	Separate suitably liberated particles by differences in movement under gravity	Qualified feed, water or other appropriate medium and separation equipment	Concentrate selected minerals while losing some valuable material to rejects
D04	magnetic_mineral_separation	Magnetic Mineral Separation	ore_comminution,magnetic_compass_navigation	[]	Separate mineral fractions through measured differences in magnetic response	Suitable separators, characterized feed and power or magnetic material	Recover responsive fractions without treating every ore as magnetically separable
D04	flotation_mineral_concentration	Flotation Mineral Concentration	ore_comminution,experimental_controls	[]	Exploit controlled differences in particle-surface behavior to separate suitable mineral fractions	Qualified process equipment, water, agents and residue management	Concentrate selected feeds with recovery, cost and waste tradeoffs
D04	metallurgical_mass_balances	Metallurgical Mass Balances	material_accounting,ore_assaying	[]	Account for useful material and losses across a metallurgical process	Measured feeds, products, residues and sampling	Expose recovery losses rather than treating ore grade as finished metal output
D04	copper_electrorefining	Copper Electrorefining	copper_smelting,electrochemical_cells,electrical_measurement	[]	Purify copper through a qualified electrochemical transfer process	Suitable feed, electrochemical plant, electricity and residue control	Supply higher-purity copper with energy and processing requirements
D04	zinc_metal_recovery	Zinc Metal Recovery	ore_assaying,chemical_distillation	[]	Recover and collect zinc through a qualified route suited to its feed and volatility	Appropriate plant, controlled feed, energy and emissions handling	Supply a distinct metal stream while losses and impurities depend on the route
D04	brass_alloying	Brass Alloying	copper_smelting,ore_assaying	"[[""zinc_metal_recovery"", ""experimental_controls""]]"	Produce and assess copper-zinc alloys through a qualified direct or ore-based process	Suitable inputs, controlled melting or cementation and property trials	Offer different forming, appearance and corrosion properties from bronze
D04	nickel_metal_recovery	Nickel Metal Recovery	ore_assaying,metallurgical_mass_balances	[]	Separate and refine nickel from a characterized feed through a qualified process	Suitable plant, reagents or heat, energy and controlled residues	Provide nickel for selected alloys and devices with feed-dependent processing costs
D04	chromium_alloy_feedstocks	Chromium Alloy Feedstocks	electric_arc_furnaces,ore_assaying	[]	Produce qualified chromium-bearing metallurgical inputs for alloy use	Suitable feed, furnaces, energy and emissions control	Supply alloy inputs without implying pure chromium is required for every alloy
D04	stainless_steel_alloying	Stainless-Steel Alloying	steel_refining,chromium_alloy_feedstocks	[]	Control alloy composition and processing to support a protective surface condition	Qualified feedstocks, melting and processing, testing and suitable service conditions	Resist selected corrosion environments while retaining grade and exposure limits
D04	alumina_refining	Alumina Refining	ore_assaying,metallurgical_mass_balances	[]	Separate a qualified aluminum-oxide feed from suitable mineral sources	Appropriate chemical plant, energy, water and residue management	Prepare feed for aluminum production while creating substantial process demands
D04	aluminum_electrolysis	Aluminum Electrolysis	alumina_refining,electrical_generators,electrochemical_cells	[]	Reduce qualified alumina to aluminum through a maintained electrolytic process	Suitable cells, large electricity supply, electrodes and controlled handling	Produce a light metal through an energy-intensive industrial chain
D04	aluminum_alloy_heat_treatment	Aluminum-Alloy Heat Treatment	aluminum_electrolysis,precision_thermometry,stress_strain_relations	[]	Alter selected alloy microstructures through controlled thermal processing	Qualified alloys, furnaces, temperature control and property verification	Change strength and formability with alloy-specific aging and process limits
D04	titanium_metal_production	Titanium Metal Production	ore_assaying,chemical_distillation,metallurgical_mass_balances	[]	Produce and consolidate qualified titanium through controlled reduction and handling	Specialized plant, suitable feed, energy and contamination control	Supply corrosion-resistant light structural metal at high processing cost
D04	powder_metallurgy	Powder Metallurgy	ore_comminution,precision_thermometry	[]	Consolidate characterized metal powders into useful bodies under controlled conditions	Qualified powders, tooling, compaction or sintering equipment and inspection	Form selected materials and shapes with porosity and contamination constraints
D04	cemented_carbide_materials	Cemented-Carbide Materials	powder_metallurgy,hardened_edges	[]	Bind hard carbide phases in a qualified composite tool material	Suitable powders, consolidation equipment and property tests	Provide wear-resistant tooling with brittleness and material-supply tradeoffs
D04	nickel_superalloys	Nickel Superalloys	nickel_metal_recovery,precision_thermometry,cyclic_fatigue	[]	Control alloy phases and processing for declared high-temperature mechanical service	Qualified melting and forming, alloy inputs and long-duration testing	Retain selected hot-section properties while creep and oxidation still limit life
