field	id	name	foundations	alternative_foundations	mechanism	operating_requirement	consequence
D19	reed_excitation_instruments	Reed-Excitation Instruments	wind_instrument_bores	[]	Couple a flexible vibrating reed to a qualified resonating air passage	Suitable reed material, shaped passage and player practice	Produce a controllable sound family with reed wear and response limits
D19	bowed_string_excitation	Bowed-String Excitation	stringed_instrument_resonance	[]	Sustain string vibration through controlled frictional interaction with a moving bow	Qualified string, bow surface and practiced control	Support sustained and articulated tones without guaranteeing expressive skill
D19	keyboard_action_mechanisms	Keyboard Action Mechanisms	instrument_craft_standards	"[[""joinery"", ""cam_motion_design""]]"	Translate key motion into a controlled instrument excitation or valve action	Actual linkages, return elements, alignment and maintenance	Coordinate repeatable note control with mechanical response limits
D19	pipe_organ_wind_distribution	Pipe-Organ Wind Distribution	wind_instrument_bores	"[[""flexible_chamber_air_pumping"", ""compressed_air_systems""]]"	Distribute regulated air to selected resonating pipes through controlled valves	Actual air source, wind channels, valves and maintained seals	Support an instrument array while retaining air and control capacity
D19	fretted_string_intonation	Fretted-String Intonation	musical_tuning_systems,stringed_instrument_resonance	[]	Place and qualify stopping points against string length, tension and intended tuning	Suitable fingerboard, strings, measurement and adjustment	Support repeatable pitch positions within instrument and tuning compromises
D19	lip_reed_instrument_design	Lip-Reed Instrument Design	wind_instrument_bores	[]	Couple player lip vibration with a shaped resonant air column and mouthpiece	Qualified geometry, actual material and player technique	Provide a distinct excitation route while retaining player and acoustic limits
D19	polyphonic_part_composition	Polyphonic Part Composition	musical_tuning_systems	"[[""antiphonal_performance"", ""musical_notation_systems""]]"	Compose coordinated simultaneous melodic parts under a declared musical convention	Competent performers, shared cues and compositional practice	Support multi-part works without imposing one harmonic tradition
D19	musical_orchestration	Musical Orchestration	instrument_craft_standards	"[[""ensemble_rehearsal_direction"", ""musical_notation_systems""]]"	Assign musical material across instrument ranges, timbres and practical ensemble limits	Available performers and instruments with known behavior	Shape ensemble texture without creating absent instrument capacity
D19	musical_transposition	Musical Transposition	musical_tuning_systems	[]	Map musical relationships into a different pitch reference while tracking instrument and range limits	A shared interval convention and competent performers or notation users	Adapt a work to another qualified range without preserving every timbral effect
D19	tactile_music_notation	Tactile Music Notation	tactile_character_codes,musical_notation_systems	[]	Encode musical structure in a qualified tactile reading convention	Readable tactile medium, agreed code and trained readers	Provide nonvisual score access without automatically teaching performance
D19	dance_movement_notation	Dance Movement Notation	pictographic_records	[]	Record selected body position, direction and timing through a shared movement notation	Agreed symbols, competent observers and demonstrators	Preserve specified choreography while retaining unrecorded expressive detail
D19	choreographic_group_patterns	Choreographic Group Patterns	rhythmic_ensemble_practice	[]	Coordinate performer movement and spacing into rehearsable group patterns	Actual dancers, usable space and shared cues	Support repeatable group movement without a universal preferred dance form
D19	puppet_linkage_control	Puppet Linkage Control	joinery	[]	Map rod, string or joint controls into a constructed figure's intended movement	Actual articulated figure, control mechanism and practiced operator	Animate a physical figure within its mechanical limits
D19	stage_blocking_sightlines	Stage Blocking and Sightlines		"[[""public_theatre"", ""ritual_gathering_organization""]]"	Arrange performer positions and movement around audience visibility and dramatic intent	Actual performance space, performers and rehearsal	Improve intended visibility without assuming one staging works in every venue
D19	scenic_perspective_construction	Scenic Perspective Construction	linear_perspective_drawing	[]	Construct a staged visual depth effect for a declared audience viewpoint	Actual scenery, measured venue and controlled viewing assumptions	Create an intended visual illusion with viewpoint-dependent limits
D19	stage_rigging_systems	Stage Rigging Systems		"[[""counterweight_cranes"", ""compound_pulleys""]]"	Suspend and move qualified performance loads through maintained rigging	Actual rated hardware, structure, trained crew and inspection	Move scenery or equipment within a verified load and travel envelope
D19	theatrical_cue_coordination	Theatrical Cue Coordination	ensemble_rehearsal_direction	[]	Coordinate timed changes in performance, lighting, sound and stage equipment from a shared cue plan	Actual performers and crew, maintained cue references and rehearsed recovery	Synchronize a production while retaining missed cues and limited staff
D19	improvisational_rule_systems	Improvisational Rule Systems	rhythmic_ensemble_practice	[]	Define shared constraints that allow performers to generate material during performance	Practiced participants and an understood interaction convention	Support responsive creation without preauthoring every event
D19	score_performance_alignment	Score-Performance Alignment	musical_notation_systems	[]	Relate observed performance events to a declared score while accounting for expressive timing	Actual score and performance observations with competent interpretation	Locate passages and deviations without treating interpretation as an error
D19	music_sequencer_control	Music Sequencer Control	musical_notation_systems	"[[""cam_motion_design"", ""stored_program_control""]]"	Encode and execute a timed sequence of instrument-control events	Compatible mechanism or electronics, timing and an actual sound-producing instrument	Repeat specified event patterns without reproducing all live expression
D19	sound_synthesis_oscillators	Sound-Synthesis Oscillators	feedback_radio_oscillators	[]	Generate and shape controlled electrical audio waveforms as musical material	Actual oscillators, controls, power and sound-output equipment	Create a range of synthetic sounds within circuit and playback limits
D19	sampled_sound_instruments	Sampled-Sound Instruments	digital_audio_processing	[]	Trigger and transform stored sound fragments through a qualified performance interface	Actual recordings, storage, playback computation and permissions	Build an instrument from retained sound while preserving sampling and access limits
D19	spatial_audio_rendering	Spatial Audio Rendering	digital_audio_processing,performance_space_acoustics	[]	Transform audio into a qualified spatial presentation for a declared listener and playback layout	Actual channels or headphones, calibration and rendering resources	Create bounded spatial cues without identical perception in all spaces
D19	motion_capture_performance	Motion-Capture Performance	computer_vision	[]	Measure performer motion and map it into an evaluated animated or interactive representation	Actual sensing, calibration, performers and processing	Transfer selected movement features while retaining occlusion and interpretation errors
D19	volumetric_performance_recording	Volumetric Performance Recording	motion_picture_capture	"[[""computer_vision"", ""lidar_terrain_surveying""]]"	Reconstruct a time-varying spatial representation from qualified multiple views or depth observations	Actual capture array, calibration, storage and computation	Support limited viewpoint changes without recording unseen detail automatically
D19	procedural_visual_generation	Procedural Visual Generation	interactive_media_design	[]	Generate visual form from declared rules and parameters with interpretable author control	Actual algorithms, rendering resources and authored constraints	Explore visual variations without automatic artistic merit or provenance certainty
D19	interactive_narrative_state_design	Interactive Narrative State Design	interactive_media_design	[]	Represent story-relevant state and conditions for participant-dependent narrative transitions	Authored content, coherent state rules and observed play	Support responsive narrative while retaining unreachable or contradictory state risks
D19	performance_latency_compensation	Performance Latency Compensation	participatory_virtual_performance	[]	Plan timing, buffering or prediction around measured remote performance delays	Actual links, timing observations and compatible performance design	Support selected remote collaboration without eliminating propagation delay
D19	multisensory_accessibility_mapping	Multisensory Accessibility Mapping	performing_arts_accessibility	[]	Translate specified artistic cues across sensory presentations with participant feedback	Actual alternative outputs, skilled interpretation and access consultation	Expand access to selected features without assuming exact sensory equivalence
D19	collection_environment_control	Collection Environment Control	museum_collection_curation	"[[""humidity_measurement"", ""archival_media_lifetime_testing""]]"	Maintain measured environmental conditions appropriate to identified collection materials	Actual monitoring, storage enclosure and finite climate-control or passive protection capacity	Slow selected deterioration while retaining material-specific risks
D19	collection_transport_mounts	Collection Transport Mounts	museum_collection_curation	[]	Support and isolate an identified object against qualified handling and transport loads	Actual compatible supports, packing, route assessment and trained handlers	Reduce specified movement damage without guaranteeing loss-free transport
D19	paint_layer_consolidation	Paint-Layer Consolidation	pigment_image_composition	"[[""adhesive_bond_design"", ""tempera_paint_formulation""]]"	Stabilize a failing paint layer with a tested compatible intervention and documented limits	Qualified conservator, actual compatible material and local trials	Retain vulnerable material while accepting intervention and aging uncertainty
D19	conservation_surface_cleaning	Conservation Surface Cleaning	pigment_image_composition	"[[""monument_conservation"", ""oil_paint_formulation"", ""tempera_paint_formulation""]]"	Remove selected unwanted surface material while monitoring the original substrate response	Qualified tests, compatible tools or media and skilled conservators	Improve a specified surface condition without assuming all discoloration should be removed
D19	heritage_condition_mapping	Heritage Condition Mapping	museum_collection_curation	[]	Locate and compare observed damage or alteration on an identified object or site	Repeatable references, actual observations and compatible records	Track condition change without inferring every cause from appearance
D19	archaeological_context_recording	Archaeological Context Recording	geometric_survey	[]	Record the spatial association and recovery context of material evidence before disturbance	Actual surveyed references, controlled records and qualified field staff	Preserve contextual evidence that object collection alone would lose
D19	stratigraphic_excavation_methods	Stratigraphic Excavation Methods	archaeological_context_recording	[]	Excavate and document distinguishable deposits while preserving their observed relationships	Actual site access, skilled excavation and retained samples and records	Infer relative depositional sequences without assuming every layer is undisturbed
D18	spaced_retrieval_practice	Spaced Retrieval Practice		"[[""guided_practice_cycles"", ""oral_epics""]]"	Schedule repeated recall attempts separated in time and check retained performance	Actual learners, retained material and timely feedback	Improve qualified retention opportunities without guaranteed equal benefit for every task
D18	interleaved_problem_practice	Interleaved Problem Practice	worked_example_teaching	[]	Mix problem types so learners must identify which method applies	Actual suitable exercises, instruction and observed performance	Practice discrimination among methods while retaining task-dependent effects
D18	worked_example_fading	Worked-Example Fading	worked_example_teaching	[]	Progressively remove supplied solution steps as learners demonstrate competence	Qualified examples, learner observations and instructor time	Shift responsibility toward independent solving without assuming fixed pacing fits all learners
D18	self_explanation_prompts	Self-Explanation Prompts	question_driven_tutorials	[]	Ask learners to explain intermediate choices and relate them to underlying principles	Actual tasks, interpretable explanations and corrective feedback	Reveal reasoning gaps without treating fluent explanation as proven performance
D18	learning_error_diagnosis	Learning Error Diagnosis	practical_assessment_rubrics	[]	Distinguish recurring error patterns from their possible knowledge or execution causes	Actual learner attempts, task criteria and qualified observation	Target corrective instruction while retaining uncertainty about causes
D18	mastery_progression_decisions	Mastery Progression Decisions	skill_progression_records	[]	Advance instruction on demonstrated prerequisite performance rather than elapsed attendance alone	Valid tasks, actual assessment capacity and continuing teaching access	Reduce unsupported progression without guaranteeing a perfect competence threshold
D18	transfer_task_assessment	Transfer-Task Assessment	practical_assessment_rubrics	[]	Assess whether learned methods work on meaningfully changed tasks or conditions	Qualified new tasks and independent performance observation	Distinguish practiced repetition from demonstrated transfer
D18	metacognitive_calibration_practice	Metacognitive Calibration Practice	guided_practice_cycles	[]	Compare learners' confidence predictions with actual later task performance	Recorded predictions, valid tasks and feedback	Improve awareness of learning gaps without assuming confidence becomes perfectly accurate
D18	prior_learning_recognition	Prior-Learning Recognition	practical_assessment_rubrics	"[[""journeyman_skill_trials"", ""skill_progression_records""]]"	Assess previously acquired competence against a declared task scope regardless of where it was learned	Accessible evidence, qualified assessors and actual demonstrations	Avoid unnecessary repeated instruction without granting competence from claims alone
D18	skill_decay_measurement	Skill-Decay Measurement	skill_progression_records	[]	Track performance changes after different intervals without practice	Repeated comparable assessments and actual elapsed-use histories	Estimate refresher needs without assigning one universal forgetting rate
D18	competence_refresher_triggers	Competence Refresher Triggers	skill_decay_measurement	[]	Schedule reassessment or retraining from observed decay, task change or prolonged absence	Maintained records, actual training capacity and valid trigger rules	Support continuing readiness without perpetual competence from an old credential
D18	learner_state_models	Learner-State Models	skill_progression_records	"[[""learning_error_diagnosis"", ""assessment_item_response_models""]]"	Infer qualified competence or misconception states from sequences of observed learning actions	Actual performance evidence, interpretable model and uncertainty review	Target instruction while retaining limited visibility into learner knowledge
D18	adaptive_assessment_selection	Adaptive Assessment Selection	learner_state_models	"[[""practical_assessment_rubrics"", ""assessment_item_response_models""]]"	Choose the next assessment task from previous responses under a declared evidence objective	Calibrated task bank, actual responses and selection resources	Use limited assessment time more selectively without automatic fairness or accuracy
D18	assessment_item_response_models	Assessment Item-Response Models	probability_theory,statistical_sampling	[]	Model response probability using declared learner and item properties with checked assumptions	Representative response data and identifiable model conditions	Compare task difficulty and evidence without treating a score as all human ability
D18	assessment_reliability_estimation	Assessment Reliability Estimation	practical_assessment_rubrics,statistical_sampling	[]	Estimate how scores vary across tasks, occasions or assessors	Actual repeated or parallel assessments and qualified analysis	Expose measurement instability rather than mistake every score difference for learning
D18	assessment_bias_review	Assessment Bias Review	assessment_reliability_estimation	[]	Compare task performance and interpretation across relevant groups while examining access and construct differences	Representative evidence, qualified reviewers and accountable criteria	Identify some unfair assessment effects without guaranteeing universal neutrality
D18	training_simulator_model_validation	Training Simulator Model Validation	interactive_training_simulators	[]	Test whether simulated task responses match the declared real-task training purpose	Actual reference behavior, qualified scenarios and independent review	Bound simulator use rather than equate visual realism with valid training
D18	simulator_to_work_transfer	Simulator-to-Work Transfer	training_simulator_model_validation,transfer_task_assessment	[]	Compare real-task performance after simulated instruction with appropriate reference conditions	Actual learners, safe qualified work assessment and monitored outcomes	Determine whether a training system transfers to its intended work
D18	training_task_decomposition	Training Task Decomposition	demonstration_teaching	[]	Separate a complex task into observable decisions and actions while preserving their interaction	Competent practitioners, actual task evidence and reviewed breakdowns	Reveal teachable dependencies without assuming isolated steps prove whole-task ability
D18	work_instruction_configuration	Work-Instruction Configuration	illustrated_instruction_manuals	[]	Bind operating instructions to the actual equipment and process version they describe	Maintained version records, accessible instructions and change review	Reduce use of obsolete instructions without assuming publication guarantees compliance
D18	maintenance_qualification_records	Maintenance Qualification Records	professional_certification	[]	Track actual authorized maintenance competence by equipment type and assessed task scope	Observed competence, equipment-version records and accountable approval	Assign qualified work without treating a general credential as every equipment qualification
D18	capability_gap_forecasting	Capability-Gap Forecasting	cross_training_rosters	[]	Compare projected task demand with observed qualified-worker availability and training lead time	Actual workforce records, credible task forecasts and finite instruction capacity	Anticipate skill shortages without generating trained people automatically
D18	learning_capacity_scheduling	Learning Capacity Scheduling	curriculum_sequence_design	"[[""labor_rotations"", ""queueing_models""]]"	Schedule learners, instructors and apparatus against task dependencies and finite capacity	Actual available people, equipment and workable attendance windows	Plan instruction without counting one instructor or instrument in simultaneous incompatible sessions
D18	practitioner_knowledge_elicitation	Practitioner Knowledge Elicitation	demonstration_teaching	[]	Elicit decision cues and exceptions while experienced workers explain real or reconstructed tasks	Willing competent practitioners, task evidence and reviewed records	Retain some tacit reasoning without assuming an interview captures every skill
D18	cognitive_task_walkthroughs	Cognitive Task Walkthroughs	training_task_decomposition	[]	Review the information and decisions a participant must make at each step of a specified task	Actual interface or procedure, representative user knowledge and qualified review	Identify potential confusion before work without replacing observation of real users
D18	systematic_evidence_search	Systematic Evidence Search	research_data_catalogs	[]	Search defined sources with recorded inclusion rules for a specified research question	Actual accessible records, search capability and review labor	Make evidence selection inspectable while retaining inaccessible and unreported work
D18	research_evidence_synthesis	Research Evidence Synthesis	systematic_evidence_search	"[[""copyist_collation"", ""statistical_analysis_plans""]]"	Compare or combine compatible findings while preserving study differences and uncertainty	Qualified source evidence, comparability review and justified analysis	Estimate a supported combined conclusion without making incompatible studies equivalent
D18	publication_bias_assessment	Publication-Bias Assessment	research_evidence_synthesis,negative_result_archives	[]	Evaluate whether missing or selectively reported results could distort a synthesis	Available study records, explicit missingness assumptions and sensitivity analysis	Expose possible evidence distortion without reconstructing unknown results as facts
D18	multisite_experiment_coordination	Multisite Experiment Coordination	independent_replication_networks	[]	Coordinate qualified procedures and records across sites while tracking local deviations	Actual participating teams, compatible apparatus and communication	Compare evidence across locations without assuming nominally shared protocols are identical
D18	research_data_disclosure_control	Research Data Disclosure Control	research_ethics_review,data_provenance_tracking	[]	Evaluate and limit reidentification or sensitive-information exposure in a proposed data release	Actual data, defined access purpose and qualified risk assessment	Support bounded sharing without promising that all released data is anonymous
D18	consent_scope_tracking	Consent Scope Tracking	research_ethics_review	[]	Maintain participant permissions and withdrawal or reuse conditions alongside research records	Actual consent records, usable identifiers and accountable governance	Constrain authorized reuse without treating one consent as unlimited future permission
D18	organizational_process_mining	Organizational Process Mining	data_provenance_tracking	[]	Infer observed process paths and bottlenecks from qualified event records	Actual event logs, interpretable activity definitions and finite analysis	Compare observed work with intended procedure without seeing unrecorded activities
D06	flexible_chamber_air_pumping	Flexible-Chamber Air Pumping	joinery	"[[""hide_tanning"", ""textile_waterproofing""]]"	Displace air by alternately expanding and compressing a sealed flexible chamber with directed inlet and outlet paths	Actual airtight flexible material, chamber supports, working flow-direction elements and supplied mechanical work	Provide a bounded air flow for compatible crafts or instruments while retaining leakage, material wear and operator effort
