effect	side	block_end_year	raw_block_total	scale	running_total	target
adoption_rate	benefit	100	0.0053	1.0	0.0053	0.108
adoption_rate	benefit	150	0.011	1.0	0.0163	0.1245
adoption_rate	benefit	200	0.008	1.0	0.0243	0.141
adoption_rate	benefit	250	0.033	1.0	0.0573	0.1575
adoption_rate	benefit	300	0.051	1.0	0.1083	0.174
adoption_rate	benefit	350	0.01	1.0	0.1183	0.194
adoption_rate	benefit	400	0.0957	1.0	0.214	0.214
adoption_rate	benefit	450	0.02	1.0	0.234	0.234
adoption_rate	benefit	500	0.022	1.0	0.256	0.256
adoption_rate	benefit	550	0.022	1.0	0.278	0.278
adoption_rate	benefit	600	0.0182	1.0	0.2962	0.3
adoption_rate	benefit	650	0.0106	0.83	0.305	0.305
adoption_rate	benefit	700	0.004	1.0	0.309	0.31
adoption_rate	benefit	750	0.032	0.188	0.315	0.315
adoption_rate	benefit	800	0.0134	0.373	0.32	0.32
adoption_rate	benefit	850	0.0309	0.162	0.325	0.325
adoption_rate	benefit	900	0.0304	0.164	0.33	0.33
adoption_rate	benefit	950	0.0104	0.481	0.335	0.335
adoption_rate	benefit	1000	0.0088	0.568	0.34	0.34
adoption_rate	benefit	1050	0.0032	1.0	0.3432	0.345
adoption_rate	benefit	1100	0.0392	0.173	0.35	0.35
adoption_rate	benefit	1150	0.0026	1.0	0.3526	0.355
adoption_rate	benefit	1200	0.0125	0.592	0.36	0.36
adoption_rate	cost	1200	0.012	1.0	0.012	0.248
adoption_rate	benefit	1250	0.0061	0.82	0.365	0.365
adoption_rate	cost	1250	0.002	1.0	0.014	0.25
adoption_rate	benefit	1300	0.0057	0.877	0.37	0.37
adoption_rate	benefit	1350	0.006	0.833	0.375	0.375
adoption_rate	cost	1350	0.003	1.0	0.017	0.254
adoption_rate	benefit	1400	0.021	0.238	0.38	0.38
adoption_rate	benefit	1450	0.0222	0.225	0.385	0.385
adoption_rate	benefit	1500	0.0188	0.266	0.39	0.39
adoption_rate	benefit	1550	0.0184	0.272	0.395	0.395
adoption_rate	benefit	1600	0.0052	0.962	0.4	0.4
adoption_rate	benefit	1650	0.03	0.167	0.405	0.405
adoption_rate	cost	1650	0.005	1.0	0.022	0.266
adoption_rate	benefit	1700	0.019	0.263	0.41	0.41
adoption_rate	cost	1700	0.002	1.0	0.024	0.268
adoption_rate	benefit	1750	0.0254	0.197	0.415	0.415
adoption_rate	benefit	1800	0.0285	0.175	0.42	0.42
adoption_rate	cost	1800	0.008	1.0	0.032	0.272
adoption_rate	benefit	1850	0.0106	0.629	0.4267	0.4267
adoption_rate	benefit	1900	0.0509	0.131	0.4333	0.4333
adoption_rate	cost	1900	0.003	1.0	0.035	0.276
adoption_rate	benefit	1950	0.0183	0.364	0.44	0.44
adoption_rate	cost	1950	0.0035	1.0	0.0385	0.278
adoption_rate	benefit	2000	0.0112	0.595	0.4467	0.4467
adoption_rate	cost	2000	0.006	1.0	0.0445	0.28
adoption_rate	benefit	2050	0.0185	0.36	0.4533	0.4533
adoption_rate	cost	2050	0.002	1.0	0.0465	0.282
adoption_rate	benefit	2100	0.0058	1.0	0.4591	0.46
adoption_rate	benefit	2150	0.0119	0.633	0.4667	0.4667
adoption_rate	cost	2150	0.002	1.0	0.0485	0.286
adoption_rate	benefit	2200	0.0098	0.68	0.4733	0.4733
adoption_rate	benefit	2250	0.011	0.606	0.48	0.48
adoption_rate	cost	2250	0.002	1.0	0.0505	0.29
adoption_rate	benefit	2300	0.0184	0.362	0.4867	0.4867
adoption_rate	benefit	2350	0.0283	0.236	0.4933	0.4933
adoption_rate	cost	2350	0.001	1.0	0.0515	0.294
adoption_rate	benefit	2400	0.0372	0.179	0.5	0.5
adoption_rate	cost	2400	0.006	1.0	0.0575	0.296
adoption_rate	benefit	2450	0.028	0.714	0.52	0.52
adoption_rate	cost	2450	0.002	1.0	0.0595	0.299
adoption_rate	benefit	2500	0.0071	1.0	0.5271	0.54
adoption_rate	cost	2500	0.004	1.0	0.0635	0.302
adoption_rate	benefit	2550	0.0097	1.0	0.5368	0.5625
adoption_rate	cost	2550	0.004	1.0	0.0675	0.305
adoption_rate	benefit	2600	0.0269	1.0	0.5637	0.585
adoption_rate	cost	2600	0.004	1.0	0.0715	0.308
adoption_rate	benefit	2650	0.0036	1.0	0.5673	0.61
adoption_rate	cost	2650	0.002	1.0	0.0735	0.311
adoption_rate	benefit	2700	0.0183	1.0	0.5856	0.635
adoption_rate	cost	2700	0.003	1.0	0.0765	0.314
adoption_rate	benefit	2750	0.0119	1.0	0.5975	0.6625
adoption_rate	benefit	2800	0.023	1.0	0.6205	0.69
adoption_rate	cost	2800	0.0068	1.0	0.0833	0.32
adoption_rate	benefit	2850	0.0272	1.0	0.6477	0.72
adoption_rate	cost	2850	0.001	1.0	0.0843	0.325
adoption_rate	benefit	2900	0.0212	1.0	0.6689	0.75
adoption_rate	cost	2900	0.002	1.0	0.0863	0.33
adoption_rate	benefit	2950	0.0619	1.0	0.7308	0.775
adoption_rate	benefit	3000	0.0196	1.0	0.7504	0.8
adoption_rate	cost	3000	0.0007	1.0	0.087	0.34
chemical_control	benefit	550	0.1	1.0	0.1	0.384
chemical_control	benefit	1200	0.008	1.0	0.108	0.44
