field	id	name	foundations	alternative_foundations	mechanism	operating_requirement	consequence
D21	semiconductor_cleanroom_control	Semiconductor Cleanroom Control	experimental_controls	"[[""photolithographic_patterning"", ""thin_film_deposition""]]"	Control measured particulate and chemical contamination around qualified semiconductor processes	Filtered process environment, suitable water and gases, trained staff and monitoring	Reduce contamination-related yield losses at continuing utility and maintenance cost
D21	semiconductor_thermal_diffusion	Semiconductor Thermal Diffusion	semiconductor_doping,precision_thermometry	[]	Control dopant redistribution through a qualified thermal process and measured profiles	Suitable wafers, characterized dopant sources, thermal equipment and process metrology	Form specified doped regions with finite process tolerances
D21	ion_implantation_control	Ion Implantation Control	semiconductor_doping,electron_physics	[]	Introduce selected ions into a substrate under controlled beam and dose conditions	Qualified implantation equipment, source materials, vacuum, power and profile measurement	Produce controlled dopant distributions with damage and uniformity limits
D21	implant_damage_annealing	Implant Damage Annealing	ion_implantation_control,semiconductor_thermal_diffusion	[]	Recover selected implantation damage and activate dopants through evaluated thermal treatment	Qualified thermal system, process windows and electrical or structural measurements	Improve specified device properties without erasing diffusion and stress constraints
D21	selective_wet_etching	Selective Wet Etching	photolithographic_patterning,experimental_controls	[]	Remove selected exposed material using qualified chemical selectivity and endpoint evidence	Compatible process chemistry, masking, handling systems and effluent treatment	Transfer selected structures while undercut and material compatibility limit geometry
D21	plasma_pattern_etching	Plasma Pattern Etching	photolithographic_patterning,plasma_physics	[]	Control plasma-assisted material removal to produce evaluated patterned geometry	Qualified plasma tool, process gases, vacuum, power and inspection	Support selected anisotropic features with finite damage and selectivity limits
D21	chemical_mechanical_planarization	Chemical Mechanical Planarization	thin_film_deposition,dimensional_metrology	[]	Combine controlled surface chemistry and polishing to reduce measured topography	Qualified slurries, pads, equipment, cleaning and surface metrology	Prepare sufficiently level surfaces for later fabrication while consuming materials
D21	wafer_alignment_metrology	Wafer Alignment Metrology	photolithographic_patterning	"[[""optical_interferometry"", ""dimensional_metrology""]]"	Measure positional correspondence between patterned layers against alignment references	Calibrated optics, reference marks and qualified positioning	Bound overlay errors rather than assuming successive layers coincide
D21	wafer_electrical_probing	Wafer Electrical Probing	integrated_circuit_fabrication,electrical_measurement	[]	Measure selected device behavior before separating wafer dies	Qualified probe interfaces, test equipment, power and reference criteria	Identify usable dies and process faults without guaranteeing packaged reliability
D21	die_separation_control	Die Separation Control	wafer_electrical_probing,dimensional_metrology	[]	Separate processed dies while limiting edge damage and contamination	Qualified separation tools, handling, cleaning and inspection	Recover finite usable dies from a wafer with measured losses
D21	wire_bond_interconnection	Wire Bond Interconnection	semiconductor_package_engineering,wire_drawing	[]	Form qualified fine-wire electrical connections between die and package contacts	Suitable wire, bond equipment, clean interfaces and pull or electrical checks	Connect compatible dies within current, geometry and reliability limits
D21	flip_chip_interconnection	Flip Chip Interconnection	semiconductor_package_engineering,wafer_alignment_metrology	[]	Join aligned die contacts directly to a compatible carrier through qualified interconnects	Matched surfaces, bonding materials, positioning and inspection	Support dense short package connections with thermal and fatigue constraints
D21	through_silicon_interconnects	Through Silicon Interconnects	plasma_pattern_etching,thin_film_deposition	[]	Form insulated conductive paths through a semiconductor substrate	Qualified deep-feature processes, insulation, fill materials and defect inspection	Support selected vertical connections with electrical and mechanical limits
D21	wafer_bonding_integration	Wafer Bonding Integration	wafer_alignment_metrology,chemical_mechanical_planarization	[]	Join prepared wafer surfaces under qualified interface and alignment conditions	Clean planar surfaces, controlled bonding and interface inspection	Integrate compatible structures while bond defects constrain yield
D21	chiplet_interface_design	Chiplet Interface Design	semiconductor_package_engineering,communication_protocol_negotiation	[]	Specify interoperable electrical, timing and transaction behavior among packaged compute dies	Compatible dies, substrate, qualification evidence and maintained interface specifications	Compose selected functions without assuming any chip can connect to any other
D21	three_dimensional_die_stacking	Three Dimensional Die Stacking	through_silicon_interconnects,wafer_bonding_integration	[]	Integrate vertically connected active dies with evaluated thermal and test access	Known-good dies, bonding equipment, power delivery and heat removal	Increase selected integration density while heat and compounded yield remain costs
D21	package_thermal_path_design	Package Thermal Path Design	semiconductor_package_engineering,calorimetry	[]	Design and measure heat flow from active devices through package interfaces	Qualified interface materials, mechanical assembly and thermal testing	Keep operating components within evaluated temperature envelopes
D21	semiconductor_reliability_stress_tests	Semiconductor Reliability Stress Tests	wafer_electrical_probing,statistical_inference	[]	Relate selected accelerated stress observations to bounded device-failure models	Characterized samples, controlled stress equipment and failure analysis	Estimate reliability limits without equating short tests with unlimited lifetime
D21	electronic_static_discharge_control	Electronic Static Discharge Control	electrical_measurement,semiconductor_package_engineering	[]	Limit uncontrolled charge transfer during qualified component handling	Grounded handling systems, suitable packaging, monitoring and trained workers	Reduce handling damage without making devices immune to every surge
D21	boundary_scan_testing	Boundary Scan Testing	integrated_circuit_fabrication,shift_registers	[]	Use accessible test chains to inspect selected board interconnections and device states	Compatible test logic, documented access, equipment and test vectors	Find supported assembly faults where physical probing is impractical
D21	pipeline_instruction_execution	Pipeline Instruction Execution	microprocessor_architecture	[]	Overlap defined instruction-processing stages while managing hazards	Implemented processor, clocking, control circuitry and verified instruction behavior	Improve selected throughput while hazards and stalls consume cycles
D21	branch_prediction_models	Branch Prediction Models	pipeline_instruction_execution	"[[""statistical_learning"", ""finite_state_models""]]"	Predict likely instruction-control paths from retained execution evidence	Predictor state, processor control and measured workloads	Reduce some control stalls while mispredictions incur real wasted work
D21	out_of_order_execution	Out Of Order Execution	pipeline_instruction_execution	[]	Schedule ready operations while preserving architecturally required effects	Dependency tracking, reorder resources and verified exception handling	Exploit selected execution parallelism at area, power and validation cost
D21	vector_instruction_execution	Vector Instruction Execution	microprocessor_architecture,matrix_algebra	[]	Apply a defined operation across multiple data elements with explicit lane behavior	Compatible execution lanes, memory bandwidth and suitable compiled programs	Accelerate suitable data-parallel work rather than arbitrary programs
D21	cache_coherence_protocols	Cache Coherence Protocols	cache_hierarchy_design,parallel_processor_architecture	[]	Maintain specified shared-memory visibility among cached processor copies	Compatible interconnects, protocol state and verified ordering rules	Support shared parallel programs with coherence traffic and contention costs
D21	hardware_interrupt_handling	Hardware Interrupt Handling	microprocessor_architecture,finite_state_models	[]	Transfer execution to defined event handlers while preserving required machine state	Compatible control hardware, handler software and bounded event sources	Respond to peripheral events without continuous polling of every device
