field	id	name	foundations	alternative_foundations	mechanism	operating_requirement	consequence
D24	critical_service_dependency_models	Critical Service Dependency Models		"[[""water_energy_joint_dispatch"", ""critical_supplier_exposure_maps""]]"	Model cascading loss across water, energy, food, communications and care rather than treating each outage independently	Maintained service topology, measured capacities and operators able to inspect assumptions	Identify common dependencies before investing in nominally separate backups
D24	independent_service_reserve_design	Independent Service Reserve Design	critical_service_dependency_models	[]	Separate backup services from shared fuel, flood, cable and staffing failure domains	Real reserve equipment, independent connections, fuel and trained relief staff	Reduce correlated service failure at continuing maintenance cost
D24	cross_service_restoration_sequence	Cross Service Restoration Sequence	critical_service_dependency_models,black_start_planning	[]	Order restoration so dependent pumps, controls and clinics receive usable upstream services	Damage assessment, working crews, access, repair materials and a feasible starting source	Restore coupled infrastructure through paid staged work
D24	refuge_capacity_qualification	Refuge Capacity Qualification	emergency_coordination_centers	"[[""habitat_food_balance"", ""water_demand_forecasts""]]"	Rate refuge occupancy against the limiting sustained water, food, sanitation, care and ventilation service	Inspected shelter, actual stocks, accessible routes and service staff	Admit and support bounded displaced populations without creating supplies
D24	relocation_reception_networks	Relocation Reception Networks	refuge_capacity_qualification,transport_network_resilience	[]	Match evacuation departures to confirmed reception capacity and reachable transport	Consent and coordination, functioning routes, carriers, fuel and receiving households or shelters	Move actual people without duplicating residents or exhausting destination services
D24	distributed_emergency_fabrication	Distributed Emergency Fabrication	distributed_manufacturing_verification,critical_service_dependency_models	[]	Allocate urgent replacement parts among qualified surviving workshops and inspect substitutes	Compatible drawings, available feedstocks, tooling, power, transport and inspectors	Recover selected services through distributed paid manufacturing
D24	cross_region_recovery_compacts	Cross Region Recovery Compacts	mutual_aid_activation,cross_service_restoration_sequence	[]	Prearrange restoration responsibilities and reciprocal resource claims across affected regions	Participating authorities, verified spare capacity, enforceable commitments and transport	Obtain external recovery help with repayment and competing demand
D24	multi_hazard_refuge_siting	Multi Hazard Refuge Siting	refuge_capacity_qualification	"[[""regional_hydroclimate_projection"", ""hazard_early_warning_services""]]"	Compare refuge sites against overlapping flood, heat, fire and route failure scenarios	Surveyed land, local hazard evidence and infrastructure cost estimates	Reduce displacement into a different exposure while retaining access
D24	prosthetic_intent_decoding	Prosthetic Intent Decoding	prosthetic_fitting	"[[""statistical_learning"", ""real_time_computing""]]"	Infer intended movement from repeatable user signals and calibrated patterns	Fitted sensors, powered prosthesis, individualized training and clinical support	Offer bounded voluntary control of compatible prostheses
D24	prosthetic_sensory_feedback	Prosthetic Sensory Feedback	prosthetic_fitting,rehabilitation_services	"[[""prosthetic_intent_decoding"", ""real_time_computing""]]"	Return measured contact or joint-state cues through a trained sensory channel	Qualified sensors and feedback interface, power, fitting and supervised practice	Improve selected manipulation tasks with feedback rather than restored natural sensation
