field	id	name	foundations	alternative_foundations	mechanism	operating_requirement	consequence
D14	structured_clinical_history	Structured Clinical History	case_records	[]	Elicit the sequence, context and functional effects of symptoms through a repeatable interview	Trained listener, accessible communication, privacy and retained observations	Improve the clinical question before selecting tests or treatments
D14	physical_percussion_examination	Physical Percussion Examination	clinical_observation_rounds	[]	Compare sounds produced by examined body regions to infer selected underlying changes	Practiced examiner and appropriate examination setting	Add bounded physical findings without powered instruments
D14	clinical_palpation_mapping	Clinical Palpation Mapping	clinical_observation_rounds	[]	Systematically compare accessible tissue and movement findings with recorded landmarks	Trained examiner, patient agreement and consistent observation practice	Localize selected findings while preserving limits of touch-based inference
D14	respiratory_rate_assessment	Respiratory Rate Assessment	clinical_observation_rounds	[]	Observe respiratory frequency and effort over a defined interval in context	Competent observer, time reference and repeat assessment	Recognize changes that support further assessment without diagnosing from one number
D14	clinical_visual_acuity_testing	Clinical Visual Acuity Testing	standard_measures	"[[""optical_lenses"", ""case_records""]]"	Measure resolved visual detail using standardized targets and test conditions	Suitable targets, measured viewing setup and trained assessment	Identify measured vision limitations and guide appropriate referral
D14	clinical_hearing_threshold_testing	Clinical Hearing Threshold Testing	standard_measures	"[[""electrical_measurement"", ""resonant_percussion_instruments""]]"	Compare responses to calibrated sound presentations under controlled conditions	Calibrated sound equipment, quiet setting and qualified examiner	Characterize hearing thresholds for support or investigation
D14	neurological_function_examination	Neurological Function Examination	surgical_anatomy,clinical_observation_rounds	[]	Compare defined sensory, movement and response findings across repeated examinations	Qualified examiner, suitable aids and accessible patient communication	Identify patterns requiring targeted investigation without automatic localization certainty
D14	clinical_functional_status_scales	Clinical Functional Status Scales	standard_measures	"[[""rehabilitation_services"", ""clinical_observation_rounds""]]"	Use reproducible task-based measures of function with recorded context	Validated assessment tasks, trained observers and accessible testing	Track meaningful change in daily function separately from laboratory markers
D14	electrocardiographic_recording	Electrocardiographic Recording	electrical_measurement,clinical_pulse_assessment	[]	Record time-varying electrical activity from the heart through qualified surface measurements	Calibrated recorder, electrodes, power and clinical interpretation	Add electrical rhythm evidence without equating every trace change with disease
D14	electroencephalographic_recording	Electroencephalographic Recording	electrical_measurement,neurological_function_examination	[]	Record selected scalp electrical activity and distinguish artifacts from interpretable patterns	Qualified amplifier, electrodes, controlled acquisition and specialist review	Support defined neurological questions with bounded signal evidence
D14	spirometric_testing	Spirometric Testing	flow_continuity,clinical_observation_rounds	[]	Measure reproducible forced respiratory volume and flow under qualified test conditions	Calibrated flow equipment, hygienic consumables and trained coaching	Characterize selected ventilatory limitations rather than all respiratory disease
D14	pulse_oximetric_sensing	Pulse Oximetric Sensing	spectroscopy,clinical_pulse_assessment	[]	Estimate arterial oxygen saturation from calibrated pulsatile optical measurements	Qualified optical sensor, power, signal-quality checks and clinical context	Provide bounded noninvasive oxygenation evidence with known interference limits
D14	blood_gas_analysis	Blood Gas Analysis	clinical_chemistry,electrical_measurement	[]	Measure selected dissolved gases and acid-base properties in appropriately handled blood specimens	Validated analyzer, reagents, controlled sampling and laboratory staff	Support assessment of gas exchange and metabolic disturbance with handling-dependent accuracy
D14	clinical_electrolyte_sensing	Clinical Electrolyte Sensing	clinical_chemistry,electrochemical_cells	[]	Measure selected ionic activity with calibrated selective sensing methods	Qualified electrodes, reference materials, specimens and laboratory quality controls	Guide interpretation of defined electrolyte disturbances
D14	enzymatic_glucose_assays	Enzymatic Glucose Assays	clinical_chemistry,enzyme_catalysis	[]	Couple a glucose-specific biochemical reaction to a calibrated measurable signal	Validated reagent or sensor supply, quality controls and trained interpretation	Measure glucose for an indicated clinical question without inferring all metabolic health
