scenario	century	facet	value	delta_vs_balanced	flag
balanced	100	population	215.57347438179463	0.0	within
balanced	100	growth_pct	1.0568940937095206	0.0	within
balanced	100	life_expectancy	28.691179349620292	0.0	within
balanced	100	infant_mortality	194.8533692698507	0.0	within
balanced	100	child_mortality_1_4	186.9331630810725	0.0	within
balanced	100	maternal_per_100k	1104.4041609037995	0.0	within
balanced	100	tfr	5.850312534804571	0.0	within
balanced	100	cbr	45.091064858718376	0.0	within
balanced	100	cdr	35.090305736008006	0.0	within
balanced	100	food_per_worker	6.749606673055776	0.0	
balanced	100	food_security	0.9798992347005312	0.0	
balanced	100	food_share	34.70000000000001	0.0	OUT OF BOUNDS
balanced	100	diet	0.8310915992918004	0.0	
balanced	100	health	0.9699999999999999	0.0	
balanced	100	labor_efficiency	0.8595910167870684	0.0	
balanced	100	cap_production	0.635511646900573	0.0	
balanced	100	craft_output	0.14103986196562532	0.0	
balanced	100	tool_quality	0.12611890034492196	0.0	
balanced	100	cap_infrastructure	0.6466479295483424	0.0	
balanced	100	housing_ratio	1.0810250909250647	0.0	
balanced	100	construction_rate	0.17142716600085284	0.0	
balanced	100	cap_logistics	0.3533154309188325	0.0	
balanced	100	trade_capacity	0.1401812341994612	0.0	
balanced	100	ecology	0.7927996417204515	0.0	
balanced	100	ground_health	0.985375307949937	0.0	
balanced	100	cap_institutions	0.7013169810332599	0.0	
balanced	100	legitimacy	0.8203462516812771	0.0	
balanced	100	state_capacity	0.13083510763019138	0.0	
balanced	100	cap_security	0.5024940741796078	0.0	
balanced	100	warfare_readiness	0.13736274126673048	0.0	
balanced	100	cap_culture	0.6171132922172146	0.0	
balanced	100	cohesion	0.48224600170934684	0.0	
balanced	100	known	331.25	0.0	
balanced	100	per_century	159.0	0.0	
balanced	100	per_50	61.016949152542374	0.0	within
balanced	100	education	0.745944386544834	0.0	
balanced	100	art_found	460.0	0.0	
balanced	100	art_studied	109.5	0.0	
balanced	100	art_bonus	0.16799999999999957	0.0	
balanced	100	allure	0.5984226584434423	0.0	
balanced	100	line_knowledge	10.25	0.0	
balanced	100	line_institutions	12.25	0.0	
